,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-07-10),近12月累積營收年增率連2個月增加(2022-07-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 11)",2347聯強,2108南帝,2347聯強,5269祥碩,2108南帝,2330台積電,2330台積電,1104環泥,6589台康生技,2201裕隆,2520冠德,2913農林,5306桂盟,6005群益證,2368金像電,1319東陽,2301光寶科,5871中租-KY,5871中租-KY,
1,"('2330台積電', 10)",2108南帝,5269祥碩,2108南帝,3380明泰,5269祥碩,2317鴻海,2412中華電,1315達新,2618長榮航,3035智原,2524京城,2227裕日車,2707晶華,2913農林,2498宏達電,1711永光,4958臻鼎-KY,9910豐泰,9938百和,
2,"('3443創意', 10)",4958臻鼎-KY,4576大銀微系統,4958臻鼎-KY,4576大銀微系統,4576大銀微系統,2308台達電,2303聯電,1409新纖,2610華航,1560中砂,6472保瑞,6166凌華,1101台泥,6166凌華,1515力山,1789神隆,9904寶成,2409友達,6472保瑞,
3,"('3035智原', 9)",5269祥碩,8464億豐,1310台苯,2634漢翔,6274台燿,2303聯電,3008大立光,1434福懋,3576聯合再生,9933中鼎,5530龍巖,5306桂盟,6278台表科,2501國建,9904寶成,2303聯電,9945潤泰新,2356英業達,,
4,"('5274信驊', 9)",6274台燿,3227原相,5269祥碩,2540愛山林,3413京鼎,3008大立光,1216統一,1504東元,4438廣越,9802鈺齊-KY,1560中砂,2478大毅,4906正文,5306桂盟,2009第一銅,2330台積電,1504東元,4123晟德,,
5,"('6643M31', 9)",8464億豐,3563牧德,3380明泰,2308台達電,8464億豐,3711日月光投控,2891中信金,2104國際中橡,6177達麗,3037欣興,3189景碩,2035唐榮,3005神基,2542興富發,1560中砂,2331精英,3532台勝科,9958世紀鋼,,
6,"('6548長科*', 9)",3227原相,4506崇友,4576大銀微系統,1476儒鴻,2204中華,2912統一超,3711日月光投控,2204中華,,2449京元電子,2395研華,6589台康生技,1565精華,3189景碩,2108南帝,2385群光,2915潤泰全,9938百和,,
7,"('2520冠德', 8)",3596智易,6589台康生技,6274台燿,2227裕日車,3563牧德,2892第一金,2892第一金,2239英利-KY,,5274信驊,5534長虹,1532勤美,6116彩晶,2478大毅,1319東陽,2409友達,3682亞太電,9939宏全,,
8,"('4107邦特', 8)",3563牧德,2540愛山林,1605華新,8069元太,4506崇友,2379瑞昱,2880華南金,2323中環,,2330台積電,9941裕融,1614三洋電,2355敬鵬,2035唐榮,3105穩懋,2439美律,2006東和鋼鐵,4107邦特,,
9,"('8069元太', 8)",4506崇友,1598岱宇,8464億豐,3532台勝科,9921巨大,5347世界,4904遠傳,2352佳世達,,3707漢磊,4919新唐,2010春源,1440南紡,9910豐泰,3653健策,2441超豐,6670復盛應用,,,
