,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-06-30),連續三年EPS均大於0且近一季EPS也大於0(2021-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-06-30),近6月累積營收年增率連2個月增加(2021-09-10),近12月累積營收年增率連2個月增加(2021-09-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-06-30),ROE連續三季成長，且近一季ROE>10%(2021-03-31),毛利率連續三季成長，且近一季毛利率>25%(2021-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 9)",6456GIS-KY,2915潤泰全,2915潤泰全,4576大銀微系統,2915潤泰全,6505台塑化,6505台塑化,1315達新,2035唐榮,2454聯發科,2534宏盛,,,,,,,,,
1,"('8016矽創', 8)",3090日電貿,2534宏盛,2634漢翔,3450聯鈞,2534宏盛,1301台塑,2412中華電,1409新纖,3481群創,1723中碳,1808潤隆,,,,,,,,,
2,"('2455全新', 7)",2373震旦行,5508永信建,3530晶相光,1808潤隆,6191精成科,2303聯電,1301台塑,1589永冠-KY,2409友達,6592和潤企業,2454聯發科,,,,,,,,,
3,"('5425台半', 7)",2383台光電,2373震旦行,2534宏盛,6285啟碁,5508永信建,1303南亞,2303聯電,1714和桐,2637慧洋-KY,5347世界,2451創見,,,,,,,,,
4,"('6488環球晶', 7)",3078僑威,1201味全,6456GIS-KY,9802鈺齊-KY,3450聯鈞,1326台化,1303南亞,2312金寶,1305華夏,2409友達,3481群創,,,,,,,,,
5,"('8086宏捷科', 7)",6803崑鼎,8406金可-KY,6191精成科,8358金居,1309台達化,2002中鋼,1326台化,2354鴻準,1440南紡,9943好樂迪,5347世界,,,,,,,,,
6,"('3152璟德', 7)",2385群光,6464台數科,5508永信建,1723中碳,2373震旦行,3045台灣大,2002中鋼,2409友達,3049和鑫,1303南亞,2409友達,,,,,,,,,
7,"('3653健策', 6)",5347世界,2454聯發科,3450聯鈞,5347世界,2383台光電,2884玉山金,1216統一,2511太子,6505台塑化,3037欣興,2637慧洋-KY,,,,,,,,,
8,"('1565精華', 6)",9943好樂迪,9925新保,3090日電貿,2633台灣高鐵,3078僑威,6488環球晶,3711日月光投控,2823中壽,1536和大,6116彩晶,3049和鑫,,,,,,,,,
9,"('5483中美晶', 6)",4107邦特,5347世界,1309台達化,1477聚陽,8406金可-KY,2892第一金,3045台灣大,2923鼎固-KY,8255朋程,3545敦泰,1303南亞,,,,,,,,,
10,"('2395研華', 6)",5904寶雅,2633台灣高鐵,1808潤隆,4167松瑞藥,6803崑鼎,2408南亞科,2884玉山金,3673TPK-KY,1301台塑,2707晶華,6531愛普,,,,,,,,,
11,"('3563牧德', 6)",3131弘塑,9943好樂迪,2031新光鋼,6706惠特,3680家登,2880華南金,6488環球晶,4414如興,6533晶心科,2603長榮,8942森鉅,,,,,,,,,
12,"('2379瑞昱', 6)",3030德律,4107邦特,2373震旦行,5904寶雅,6464台數科,5871中租-KY,2892第一金,,2104國際中橡,2609陽明,2344華邦電,,,,,,,,,
13,"('1723中碳', 6)",3533嘉澤,5904寶雅,2383台光電,3023信邦,2454聯發科,3034聯詠,2408南亞科,,1802台玻,8016矽創,2441超豐,,,,,,,,,
14,"('2441超豐', 6)",5388中磊,8069元太,1201味全,3532台勝科,8358金居,5347世界,2395研華,,1903士紙,1904正隆,2474可成,,,,,,,,,
15,"('9938百和', 6)",3023信邦,3131弘塑,3078僑威,5903全家,9925新保,2801彰銀,2880華南金,,6116彩晶,1232大統益,8415大國鋼,,,,,,,,,
16,"('4904遠傳', 6)",5903全家,3030德律,6285啟碁,1789神隆,6732昇佳電子,2603長榮,3034聯詠,,2355敬鵬,4961天鈺,2327國巨,,,,,,,,,
17,"('8255朋程', 6)",8436大江,2903遠百,8406金可-KY,6531愛普,1723中碳,1402遠東新,4904遠傳,,2027大成鋼,2347聯強,1301台塑,,,,,,,,,
18,"('3045台灣大', 6)",6415矽力-KY,3533嘉澤,6803崑鼎,6751智聯服務,6592和潤企業,3105穩懋,5347世界,,1909榮成,9938百和,1802台玻,,,,,,,,,
19,"('2603長榮', 6)",8462柏文,3023信邦,3680家登,2009第一銅,2451創見,2887台新金,2801彰銀,,1319東陽,2108南帝,1903士紙,,,,,,,,,
20,"('1707葡萄王', 6)",3705永信,6462神盾,6188廣明,1722台肥,5347世界,3037欣興,2603長榮,,6605帝寶,2615萬海,2376技嘉,,,,,,,,,
21,"('2534宏盛', 6)",1702南僑,5903全家,1714和桐,1590亞德客-KY,2633台灣高鐵,2615萬海,2345智邦,,2002中鋼,2014中鴻,8299群聯,,,,,,,,,
22,"('1301台塑', 6)",1590亞德客-KY,8436大江,6464台數科,5007三星,6147頎邦,2344華邦電,1402遠東新,,4157太景*-KY,8112至上,2379瑞昱,,,,,,,,,
23,"('3105穩懋', 6)",2441超豐,1789神隆,2385群光,2412中華電,1477聚陽,5483中美晶,2409友達,,1314中石化,3228金麗科,2027大成鋼,,,,,,,,,
24,"('1303南亞', 6)",2327國巨,8462柏文,2454聯發科,1536和大,6706惠特,8454富邦媒,1102亞泥,,4438廣越,6582申豐,2539櫻花建,,,,,,,,,
25,"('6411晶焱', 6)",2227裕日車,6279胡連,8358金居,8255朋程,4107邦特,4743合一,2887台新金,,2231為升,6411晶焱,2511太子,,,,,,,,,
