,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-12-31),連續三年EPS均大於0且近一季EPS也大於0(2022-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-12-31),近6月累積營收年增率連2個月增加(2023-04-10),近12月累積營收年增率連2個月增加(2023-04-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-12-31),ROE連續三季成長，且近一季ROE>10%(2022-12-31),毛利率連續三季成長，且近一季毛利率>25%(2022-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3661世芯-KY', 10)",6669緯穎,6279胡連,6669緯穎,3019亞光,2609陽明,2884玉山金,2412中華電,1101台泥,3545敦泰,1210大成,5289宜鼎,3019亞光,6669緯穎,6669緯穎,1513中興電,1216統一,1101台泥,2618長榮航,,2548華固
1,"('4137麗豐-KY', 9)",2609陽明,8422可寧衛,3019亞光,1711永光,6279胡連,5880合庫金,2884玉山金,1102亞泥,3576聯合再生,6643M31,6409旭隼,1711永光,1711永光,3019亞光,4968立積,1301台塑,2801彰銀,3706神達,,1726永記
2,"('6643M31', 9)",6279胡連,4576大銀微系統,1711永光,2345智邦,6548長科*,1101台泥,2892第一金,1313聯成,4123晟德,4904遠傳,8464億豐,2439美律,2345智邦,1711永光,3680家登,1477聚陽,9904寶成,8415大國鋼,,
3,"('1707葡萄王', 9)",6548長科*,6202盛群,2609陽明,4576大銀微系統,2345智邦,3034聯詠,5880合庫金,1314中石化,2605新興,3596智易,5531鄉林,2027大成鋼,4576大銀微系統,2609陽明,2108南帝,1503士電,6592和潤企業,2023燁輝,,
4,"('3680家登', 9)",2345智邦,3035智原,2439美律,1229聯華,2608嘉里大榮,2801彰銀,1101台泥,1444力麗,2923鼎固-KY,6751智聯服務,4958臻鼎-KY,2375凱美,1710東聯,2104國際中橡,8046南電,1513中興電,3661世芯-KY,5306桂盟,,
5,"('3443創意', 9)",8422可寧衛,6277宏正,6279胡連,5274信驊,8422可寧衛,1590亞德客-KY,2801彰銀,1532勤美,1808潤隆,6488環球晶,2330台積電,2031新光鋼,3022威強電,2439美律,,1605華新,6732昇佳電子,1598岱宇,,
6,"('2049上銀', 8)",6202盛群,5274信驊,6548長科*,2308台達電,5007三星,2409友達,2633台灣高鐵,1907永豐餘,,5903全家,6670復盛應用,8422可寧衛,2501國建,6279胡連,,1736喬山,9941裕融,4943康控-KY,,
7,"('2707晶華', 8)",6277宏正,8482商億-KY,2375凱美,3380明泰,4576大銀微系統,1102亞泥,2227裕日車,1909榮成,,3443創意,2540愛山林,5007三星,2328廣宇,2027大成鋼,,1904正隆,6005群益證,1515力山,,
8,"('3529力旺', 8)",5274信驊,2308台達電,2031新光鋼,3023信邦,1229聯華,3481群創,2371大同,2010春源,,6414樺漢,2498宏達電,2421建準,2882國泰金,6548長科*,,2006東和鋼鐵,1736喬山,2034允強,,
9,"('3152璟德', 8)",8482商億-KY,2373震旦行,2345智邦,6409旭隼,3035智原,5269祥碩,2542興富發,2204中華,,,3005神基,6188廣明,1718中纖,2375凱美,,2049上銀,2206三陽工業,6279胡連,,
10,"('6409旭隼', 8)",2597潤弘,5289宜鼎,6213聯茂,8341日友,6277宏正,2377微星,5903全家,2515中工,,,3413京鼎,1304台聚,2049上銀,2031新光鋼,,2204中華,2634漢翔,4438廣越,,
11,"('5903全家', 8)",2308台達電,3022威強電,2608嘉里大榮,1614三洋電,5274信驊,4743合一,5904寶雅,2547日勝生,,,6533晶心科,8482商億-KY,2887台新金,2345智邦,,2301光寶科,1909榮成,2614東森,,
12,"('1513中興電', 8)",2373震旦行,1773勝一,8422可寧衛,2351順德,8482商億-KY,2227裕日車,3023信邦,2812台中銀,,,6561是方,1710東聯,2417圓剛,6213聯茂,,2324仁寶,4174浩鼎,,,
13,"('4904遠傳', 8)",5289宜鼎,6409旭隼,5007三星,2707晶華,2308台達電,2354鴻準,3293鈊象,2836高雄銀,,,2908特力,2597潤弘,2883開發金,2608嘉里大榮,,2344華邦電,1503士電,,,
14,"('6592和潤企業', 8)",3022威強電,8341日友,4576大銀微系統,3045台灣大,2373震旦行,2371大同,2809京城銀,2849安泰銀,,,8255朋程,2338光罩,1707葡萄王,8422可寧衛,,2352佳世達,1513中興電,,,
15,"('2455全新', 8)",3023信邦,1419新紡,2421建準,2049上銀,3532台勝科,1605華新,3443創意,2855統一證,,,5903全家,2208台船,3026禾伸堂,5007三星,,2354鴻準,1313聯成,,,
16,"('9941裕融', 8)",8070長華*,6576逸達,1229聯華,2889國票金,5289宜鼎,2542興富發,2812台中銀,2885元大金,,,3406玉晶光,3380明泰,2888新光金,4576大銀微系統,,2375凱美,2548華固,,,
17,"('3293鈊象', 8)",1773勝一,1234黑松,1101台泥,2912統一超,3022威強電,3293鈊象,6592和潤企業,3673TPK-KY,,,3189景碩,2204中華,6116彩晶,2421建準,,2379瑞昱,2855統一證,,,
18,"('3034聯詠', 8)",9914美利達,6492生華科,6202盛群,8462柏文,8070長華*,2376技嘉,2915潤泰全,3706神達,,,6446藥華藥,2328廣宇,2324仁寶,1229聯華,,2385群光,6670復盛應用,,,
19,"('2231為升', 8)",6409旭隼,3264欣銓,6188廣明,3081聯亞,1773勝一,6213聯茂,3661世芯-KY,4532瑞智,,,8046南電,2855統一證,2102泰豐,1101台泥,,2392正崴,1785光洋科,,,
20,"('6732昇佳電子', 8)",8341日友,8464億豐,3035智原,1590亞德客-KY,6409旭隼,2809京城銀,2101南港,5469瀚宇博,,,4766南寶,8070長華*,2323中環,6202盛群,,2409友達,6196帆宣,,,
21,"('5269祥碩', 7)",8358金居,5531鄉林,1304台聚,3673TPK-KY,8341日友,6592和潤企業,3152璟德,5531鄉林,,,1319東陽,1773勝一,3260威剛,6188廣明,,2421建準,9802鈺齊-KY,,,
22,"('6196帆宣', 7)",8210勤誠,2727王品,6277宏正,2395研華,8358金居,2915潤泰全,9941裕融,6005群益證,,,,1307三芳,2353宏碁,3035智原,,2449京元電子,3545敦泰,,,
23,"('2454聯發科', 7)",3264欣銓,2449京元電子,5274信驊,2362藍天,1419新紡,3661世芯-KY,2838聯邦銀,9904寶成,,,,4306炎洲,1714和桐,1304台聚,,2454聯發科,8016矽創,,,
24,"('3042晶技', 7)",4961天鈺,2337旺宏,8482商億-KY,3260威剛,2606裕民,1904正隆,2439美律,,,,,6409旭隼,4966譜瑞-KY,6277宏正,,2492華新科,3673TPK-KY,,,
25,"('8255朋程', 7)",8464億豐,2327國巨,2597潤弘,1513中興電,3264欣銓,2101南港,6285啟碁,,,,,1301台塑,6582申豐,5274信驊,,2603長榮,4961天鈺,,,
26,"('8016矽創', 7)",4958臻鼎-KY,2707晶華,2338光罩,1714和桐,8464億豐,6732昇佳電子,2108南帝,,,,,8358金居,1215卜蜂,8482商億-KY,,2633台灣高鐵,3006晶豪科,,,
27,"('2330台積電', 7)",2449京元電子,2049上銀,2308台達電,1503士電,4958臻鼎-KY,3152璟德,4128中天,,,,,8210勤誠,5876上海商銀,1710東聯,,2884玉山金,6582申豐,,,
28,"('3014聯陽', 7)",2337旺宏,9938百和,2373震旦行,3707漢磊,2449京元電子,9941裕融,2634漢翔,,,,,2606裕民,3682亞太電,2597潤弘,,2888新光金,6023元大期,,,
29,"('3078僑威', 7)",2327國巨,6411晶焱,3532台勝科,8908欣雄,2327國巨,2838聯邦銀,3227原相,,,,,1718中纖,5457宣德,2338光罩,,3006晶豪科,2515中工,,,
