,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2382廣達,2454聯發科,3008大立光,2883開發金,,1301台塑,,
1,,2324仁寶,3045台灣大,8046南電,,2881富邦金,,
2,,1504東元,2207和泰車,3443創意,,2382廣達,,
3,,2845遠東銀,2880華南金,2009第一銅,,5871中租-KY,,
4,,3131弘塑,2474可成,6411晶焱,,2357華碩,,
5,,,2883開發金,,,1476儒鴻,,
6,,,8046南電,,,5483中美晶,,
7,,,6409旭隼,,,2324仁寶,,
8,,,2353宏碁,,,6409旭隼,,
9,,,1605華新,,,3231緯創,,
10,,,2383台光電,,,2356英業達,,
11,,,6213聯茂,,,2360致茂,,
12,,,3443創意,,,6121新普,,
13,,,2201裕隆,,,2385群光,,
14,,,9917中保科,,,1605華新,,
15,,,2204中華,,,1504東元,,
16,,,6510精測,,,6213聯茂,,
17,,,2392正崴,,,3443創意,,
18,,,1785光洋科,,,3665貿聯-KY,,
19,,,1312國喬,,,2204中華,,
20,,,3006晶豪科,,,1723中碳,,
21,,,3703欣陸,,,6510精測,,
22,,,3691碩禾,,,1319東陽,,
23,,,3035智原,,,1785光洋科,,
24,,,3707漢磊,,,3673TPK-KY,,
25,,,8210勤誠,,,6282康舒,,
26,,,6284佳邦,,,3708上緯投控,,
27,,,,,,1519華城,,
28,,,,,,3707漢磊,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
