,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
15,,,6561是方,1605華新,6116彩晶,,,1702南僑,2324仁寶,1605華新,,9933中鼎,6582申豐,2449京元電子,2376技嘉,5871中租-KY,2603長榮
16,,,5306桂盟,2609陽明,9917中保科,,,2208台船,6239力成,1504東元,,2059川湖,1598岱宇,1477聚陽,1907永豐餘,3034聯詠,2409友達
17,,,6182合晶,1504東元,1314中石化,,,1218泰山,2353宏碁,1229聯華,,3005神基,8213志超,2458義隆,2449京元電子,2357華碩,3481群創
18,,,3596智易,2313華通,3706神達,,,1201味全,2834臺企銀,2383台光電,,1723中碳,8039台虹,3661世芯-KY,2006東和鋼鐵,2603長榮,2890永豐金
19,,,8016矽創,3023信邦,4123晟德,,,2547日勝生,8299群聯,3293鈊象,,1513中興電,2535達欣工,3189景碩,3189景碩,2409友達,2049上銀
20,,,3026禾伸堂,1907永豐餘,2849安泰銀,,,1614三洋電,3406玉晶光,5820日盛金,,4142國光生,,5264鎧勝-KY,2106建大,2105正新,1476儒鴻
21,,,3703欣陸,2458義隆,4128中天,,,4414如興,1605華新,1717長興,,5534長虹,,6732昇佳電子,2606裕民,3481群創,2492華新科
22,,,2481強茂,6116彩晶,6446藥華藥,,,,1504東元,5522遠雄,,4147中裕,,2368金像電,2634漢翔,3037欣興,2615萬海
23,,,3260威剛,3189景碩,1503士電,,,,2383台光電,6147頎邦,,9938百和,,8086宏捷科,1304台聚,2049上銀,2344華邦電
24,,,2393億光,2439美律,8341日友,,,,2313華通,2812台中銀,,3596智易,,1304台聚,3081聯亞,4958臻鼎-KY,2377微星
25,,,4157太景*-KY,3005神基,2388威盛,,,,8069元太,2201裕隆,,1773勝一,,8150南茂,8436大江,1476儒鴻,9921巨大
26,,,2913農林,2634漢翔,3081聯亞,,,,3023信邦,2006東和鋼鐵,,3264欣銓,,2498宏達電,2104國際中橡,2492華新科,8464億豐
27,,,1218泰山,1909榮成,1507永大,,,,3293鈊象,2845遠東銀,,3026禾伸堂,,4968立積,4142國光生,2615萬海,2324仁寶
28,,,1515力山,1304台聚,6561是方,,,,5820日盛金,3706神達,,6230超眾,,1785光洋科,6214精誠,2344華邦電,6409旭隼
29,,,8358金居,1503士電,1707葡萄王,,,,6147頎邦,6274台燿,,8422可寧衛,,2014中鴻,6414樺漢,2377微星,4743合一
30,,,2031新光鋼,8341日友,6214精誠,,,,1907永豐餘,3036文曄,,1710東聯,,9938百和,5469瀚宇博,9921巨大,2356英業達
31,,,3131弘塑,1507永大,5534長虹,,,,2449京元電子,2439美律,,4105東洋,,6182合晶,5306桂盟,8464億豐,2354鴻準
32,,,2401凌陽,2104國際中橡,5530龍巖,,,,2812台中銀,2456奇力新,,3006晶豪科,,4915致伸,6182合晶,2324仁寶,2353宏碁
33,,,3090日電貿,5469瀚宇博,5434崇越,,,,2006東和鋼鐵,2634漢翔,,3260威剛,,2455全新,3596智易,6409旭隼,2360致茂
34,,,5287數字,1785光洋科,4147中裕,,,,2845遠東銀,3227原相,,1234黑松,,8016矽創,2103台橡,2356英業達,3702大聯大
35,,,,2014中鴻,9940信義,,,,3706神達,1909榮成,,4927泰鼎-KY,,2103台橡,3026禾伸堂,2347聯強,6121新普
36,,,,9940信義,1232大統益,,,,6274台燿,1440南紡,,6191精成科,,6443元晶,6230超眾,2354鴻準,2385群光
37,,,,6196帆宣,2373震旦行,,,,2439美律,6561是方,,8213志超,,6230超眾,2637慧洋-KY,2353宏碁,3044健鼎
38,,,,1232大統益,6547高端疫苗,,,,2456奇力新,2392正崴,,5478智冠,,3006晶豪科,1710東聯,2360致茂,2609陽明
39,,,,3218大學光,6492生華科,,,,2634漢翔,9958世紀鋼,,6180橘子,,2481強茂,3006晶豪科,3702大聯大,2542興富發
40,,,,6443元晶,2362藍天,,,,1909榮成,2104國際中橡,,6643M31,,3260威剛,3703欣陸,6121新普,1227佳格
41,,,,1710東聯,3680家登,,,,2388威盛,9940信義,,8942森鉅,,1515力山,2393億光,2385群光,2352佳世達
42,,,,3010華立,4766南寶,,,,1440南紡,6196帆宣,,6605帝寶,,8358金居,5007三星,3044健鼎,1802台玻
43,,,,4961天鈺,3264欣銓,,,,2392正崴,1312國喬,,6120達運,,8112至上,1903士紙,2609陽明,2383台光電
44,,,,6582申豐,6443元晶,,,,9958世紀鋼,6257矽格,,5508永信建,,1308亞聚,2367燿華,1227佳格,2313華通
45,,,,1598岱宇,6743安普新,,,,2104國際中橡,8016矽創,,1589永冠-KY,,3707漢磊,2908特力,2352佳世達,8069元太
46,,,,9925新保,9908大台北,,,,2014中鴻,3264欣銓,,2535達欣工,,6244茂迪,1515力山,6176瑞儀,3023信邦
47,,,,2908特力,8422可寧衛,,,,5306桂盟,3218大學光,,,,8163達方,6191精成科,1802台玻,3533嘉澤
48,,,,1702南僑,6756威鋒電子,,,,5434崇越,3010華立,,,,2031新光鋼,1444力麗,2383台光電,2376技嘉
49,,,,1234黑松,2539櫻花建,,,,6196帆宣,3006晶豪科,,,,2375凱美,1308亞聚,2313華通,5820日盛金
50,,,,1309台達化,8131福懋科,,,,1312國喬,3703欣陸,,,,1310台苯,6244茂迪,8069元太,3529力旺
51,,,,3211順達,4157太景*-KY,,,,3019亞光,2481強茂,,,,2489瑞軒,8163達方,3023信邦,6592和潤企業
52,,,,6244茂迪,9937全國,,,,1773勝一,2393億光,,,,2727王品,2031新光鋼,3533嘉澤,6269台郡
53,,,,2850新產,4137麗豐-KY,,,,6257矽格,1565精華,,,,6284佳邦,9930中聯資源,2376技嘉,2458義隆
54,,,,3228金麗科,5007三星,,,,8016矽創,2351順德,,,,3090日電貿,9911櫻花,5820日盛金,6116彩晶
55,,,,2375凱美,6023元大期,,,,3264欣銓,2331精英,,,,,2836高雄銀,6213聯茂,3661世芯-KY
56,,,,8039台虹,6803崑鼎,,,,2905三商,8406金可-KY,,,,,4532瑞智,1717長興,2889國票金
57,,,,6173信昌電,9925新保,,,,3218大學光,8358金居,,,,,3450聯鈞,3374精材,5264鎧勝-KY
58,,,,2836高雄銀,6464台數科,,,,4961天鈺,6191精成科,,,,,2489瑞軒,6147頎邦,6278台表科
59,,,,3450聯鈞,2035唐榮,,,,3006晶豪科,3691碩禾,,,,,2727王品,1907永豐餘,3152璟德
60,,,,8210勤誠,1702南僑,,,,3703欣陸,3035智原,,,,,6605帝寶,2449京元電子,2838聯邦銀
61,,,,2489瑞軒,1218泰山,,,,1104環泥,1309台達化,,,,,1614三洋電,2812台中銀,6271同欣電
62,,,,6605帝寶,1234黑松,,,,1565精華,3707漢磊,,,,,2102泰豐,6592和潤企業,3665貿聯-KY
63,,,,2417圓剛,2851中再保,,,,2913農林,6244茂迪,,,,,2534宏盛,6269台郡,3036文曄
64,,,,6120達運,1419新紡,,,,8406金可-KY,8163達方,,,,,8917欣泰,2201裕隆,6285啟碁
65,,,,5508永信建,1905華紙,,,,8081致新,8213志超,,,,,3049和鑫,2458義隆,6531愛普
66,,,,1589永冠-KY,2850新產,,,,2208台船,6177達麗,,,,,3090日電貿,6116彩晶,2108南帝
67,,,,2535達欣工,3228金麗科,,,,8358金居,3131弘塑,,,,,5508永信建,1210大成,2456奇力新
68,,,,,1537廣隆,,,,6191精成科,6173信昌電,,,,,,9917中保科,6005群益證
69,,,,,6541泰福-KY,,,,3691碩禾,8462柏文,,,,,,2006東和鋼鐵,3005神基
70,,,,,8039台虹,,,,3035智原,2401凌陽,,,,,,2889國票金,1736喬山
71,,,,,3131弘塑,,,,2328廣宇,1604聲寶,,,,,,3189景碩,6412群電
72,,,,,8482商億-KY,,,,1309台達化,8210勤誠,,,,,,5264鎧勝-KY,4174浩鼎
73,,,,,2836高雄銀,,,,3211順達,2727王品,,,,,,6278台表科,6446藥華藥
74,,,,,6579研揚,,,,3707漢磊,3530晶相光,,,,,,3152璟德,8341日友
75,,,,,4167松瑞藥,,,,8163達方,6605帝寶,,,,,,9941裕融,1507永大
76,,,,,8908欣雄,,,,8213志超,2417圓剛,,,,,,6271同欣電,6561是方
77,,,,,5536聖暉,,,,5478智冠,6284佳邦,,,,,,3036文曄,2855統一證
78,,,,,6589台康生技,,,,3228金麗科,5287數字,,,,,,2106建大,6414樺漢
79,,,,,1110東泥,,,,6177達麗,,,,,,,2441超豐,6146耕興
80,,,,,6277宏正,,,,3131弘塑,,,,,,,2439美律,5469瀚宇博
81,,,,,4506崇友,,,,6173信昌電,,,,,,,6285啟碁,2501國建
82,,,,,8942森鉅,,,,8462柏文,,,,,,,6531愛普,1789神隆
83,,,,,6751智聯服務,,,,2836高雄銀,,,,,,,2108南帝,1785光洋科
84,,,,,1614三洋電,,,,1714和桐,,,,,,,2456奇力新,5306桂盟
85,,,,,4107邦特,,,,2401凌陽,,,,,,,6005群益證,1808潤隆
86,,,,,9943好樂迪,,,,1604聲寶,,,,,,,3005神基,9940信義
87,,,,,8917欣泰,,,,4506崇友,,,,,,,1736喬山,6196帆宣
88,,,,,2010春源,,,,8210勤誠,,,,,,,6412群電,1232大統益
89,,,,,6576逸達,,,,2727王品,,,,,,,3227原相,3016嘉晶
90,,,,,1307三芳,,,,3530晶相光,,,,,,,1909榮成,6548長科*
91,,,,,5287數字,,,,1614三洋電,,,,,,,4174浩鼎,2428興勤
92,,,,,,,,,2417圓剛,,,,,,,1536和大,6491晶碩
93,,,,,,,,,6120達運,,,,,,,1304台聚,1795美時
94,,,,,,,,,6284佳邦,,,,,,,1503士電,3680家登
95,,,,,,,,,4107邦特,,,,,,,8341日友,3596智易
96,,,,,,,,,2010春源,,,,,,,1507永大,5388中磊
97,,,,,,,,,1711永光,,,,,,,2023燁輝,3324雙鴻
98,,,,,,,,,2535達欣工,,,,,,,6561是方,3218大學光
99,,,,,,,,,,,,,,,,8150南茂,4551智伸科
100,,,,,,,,,,,,,,,,3017奇鋐,6443元晶
101,,,,,,,,,,,,,,,,2231為升,3026禾伸堂
102,,,,,,,,,,,,,,,,4968立積,6230超眾
103,,,,,,,,,,,,,,,,6146耕興,3010華立
104,,,,,,,,,,,,,,,,5469瀚宇博,3413京鼎
105,,,,,,,,,,,,,,,,1785光洋科,4961天鈺
106,,,,,,,,,,,,,,,,2014中鴻,2481強茂
107,,,,,,,,,,,,,,,,5306桂盟,2393億光
108,,,,,,,,,,,,,,,,1808潤隆,4157太景*-KY
109,,,,,,,,,,,,,,,,6182合晶,6582申豐
