,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-01-10),近12月累積營收年增率連2個月增加(2022-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2408南亞科', 12)",3078僑威,1789神隆,2328廣宇,2328廣宇,1104環泥,2303聯電,2330台積電,1103嘉泥,2501國建,6223旺矽,2474可成,1789神隆,2886兆豐金,2328廣宇,3260威剛,1103嘉泥,2408南亞科,2308台達電,3552同致,4904遠傳
1,"('5347世界', 11)",2428興勤,2723美食-KY,1789神隆,1789神隆,5469瀚宇博,2886兆豐金,6505台塑化,1315達新,1710東聯,2375凱美,6147頎邦,2886兆豐金,3078僑威,3312弘憶股,2618長榮航,1229聯華,2633台灣高鐵,2303聯電,,5534長虹
2,"('2707晶華', 10)",9930中聯資源,1102亞泥,1104環泥,2886兆豐金,1304台聚,1216統一,2303聯電,1319東陽,2539櫻花建,3019亞光,3034聯詠,4935茂林-KY,5508永信建,1789神隆,2408南亞科,1312國喬,2344華邦電,3105穩懋,,2597潤弘
3,"('3105穩懋', 10)",1476儒鴻,6223旺矽,5469瀚宇博,1476儒鴻,4935茂林-KY,2891中信金,1326台化,1402遠東新,2618長榮航,6239力成,2049上銀,9930中聯資源,2885元大金,1104環泥,2498宏達電,1440南紡,9904寶成,4958臻鼎-KY,,
4,"('5274信驊', 10)",9938百和,4123晟德,1304台聚,1234黑松,1102亞泥,2884玉山金,2881富邦金,1409新纖,4414如興,6147頎邦,9941裕融,2204中華,3037欣興,5469瀚宇博,,1444力麗,2337旺宏,8464億豐,,
5,"('3023信邦', 10)",3227原相,2428興勤,2723美食-KY,3019亞光,6223旺矽,2382廣達,2002中鋼,1444力麗,1314中石化,2023燁輝,9908大台北,5508永信建,6239力成,1304台聚,,1477聚陽,2610華航,5904寶雅,,
6,"('9941裕融', 10)",2404漢唐,1476儒鴻,2501國建,6579研揚,3078僑威,6488環球晶,1216統一,1605華新,1444力麗,3034聯詠,8086宏捷科,2885元大金,6147頎邦,2723美食-KY,,1560中砂,2371大同,6561是方,,
7,"('4904遠傳', 9)",2345智邦,5508永信建,2886兆豐金,3037欣興,2428興勤,2395研華,2891中信金,2104國際中橡,3016嘉晶,6548長科*,1201味全,3227原相,2023燁輝,2501國建,,1589永冠-KY,5274信驊,2392正崴,,
8,"('2337旺宏', 9)",6239力成,9938百和,4935茂林-KY,2345智邦,1476儒鴻,5347世界,2884玉山金,2201裕隆,2103台橡,9941裕融,3042晶技,6244茂迪,3218大學光,2886兆豐金,,1590亞德客-KY,2313華通,3680家登,,
9,"('2344華邦電', 9)",8299群聯,3227原相,1102亞泥,1218泰山,2474可成,4938和碩,6488環球晶,2312金寶,4142國光生,5289宜鼎,4919新唐,2345智邦,8299群聯,4935茂林-KY,,1598岱宇,3023信邦,9908大台北,,
10,"('2330台積電', 9)",6670復盛應用,6579研揚,6223旺矽,2340光磊,8482商億-KY,2633台灣高鐵,2408南亞科,2355敬鵬,6547高端疫苗,6412群電,2401凌陽,1218泰山,5880合庫金,1102亞泥,,1609大亞,2201裕隆,5371中光電,,
11,"('5904寶雅', 9)",6548長科*,2340光磊,3078僑威,3218大學光,2375凱美,1102亞泥,5871中租-KY,2392正崴,6589台康生技,1723中碳,6257矽格,2340光磊,2903遠百,6223旺矽,,1717長興,2915潤泰全,6191精成科,,
12,"('6239力成', 9)",6269台郡,3218大學光,2428興勤,1722台肥,5508永信建,3037欣興,6415矽力-KY,2511太子,6533晶心科,5007三星,5471松翰,3218大學光,4904遠傳,3078僑威,,1718中纖,3005神基,6589台康生技,,
13,"('3653健策', 8)",6643M31,1419新紡,9930中聯資源,2049上銀,1234黑松,6669緯穎,3034聯詠,2809京城銀,3707漢磊,8086宏捷科,3545敦泰,8299群聯,2208台船,4123晟德,,1722台肥,2206三陽工業,1315達新,,
14,"('2383台光電', 8)",3005神基,6643M31,1476儒鴻,6548長科*,9938百和,2301光寶科,5347世界,2834臺企銀,1903士紙,2376技嘉,2379瑞昱,3034聯詠,9941裕融,2428興勤,,1802台玻,2634漢翔,,,
15,"('8081致新', 8)",4904遠傳,5530龍巖,2474可成,1419新紡,3227原相,2888新光金,2801彰銀,2845遠東銀,,3450聯鈞,6173信昌電,6670復盛應用,2883開發金,9930中聯資源,,1907永豐餘,8150南茂,,,
16,"('6510精測', 8)",2227裕日車,2903遠百,2375凱美,6643M31,2404漢唐,9921巨大,9910豐泰,2888新光金,,8150南茂,2303聯電,1722台肥,1723中碳,1476儒鴻,,2002中鋼,5469瀚宇博,,,
17,"('2313華通', 8)",9941裕融,3005神基,5508永信建,4904遠傳,6239力成,6409旭隼,2603長榮,2903遠百,,4915致伸,2059川湖,5434崇越,8255朋程,2474可成,,2006東和鋼鐵,6491晶碩,,,
18,"('3533嘉澤', 8)",5289宜鼎,4904遠傳,2885元大金,9908大台北,6147頎邦,3231緯創,1402遠東新,2915潤泰全,,2401凌陽,8046南電,1537廣隆,3231緯創,8482商億-KY,,2049上銀,1795美時,,,
19,"('8415大國鋼', 8)",6412群電,2520冠德,1234黑松,2455全新,2340光磊,2356英業達,3105穩懋,4532瑞智,,6257矽格,6415矽力-KY,5876上海商銀,2357華碩,2204中華,,2204中華,1773勝一,,,
20,"('4966譜瑞-KY', 8)",2455全新,2545皇翔,3019亞光,5243乙盛-KY,3218大學光,2337旺宏,1102亞泥,5469瀚宇博,,2347聯強,1808潤隆,5880合庫金,5269祥碩,2375凱美,,2206三陽工業,4766南寶,,,
21,"('6411晶焱', 8)",5457宣德,9941裕融,9938百和,1723中碳,8299群聯,6239力成,2887台新金,5531鄉林,,8070長華*,8081致新,8462柏文,2377微星,2392正崴,,2317鴻海,2511太子,,,
22,"('6415矽力-KY', 8)",6274台燿,2332友訊,3227原相,8926台汽電,3034聯詠,9914美利達,3037欣興,8213志超,,2379瑞昱,2458義隆,4904遠傳,3630新鉅科,5508永信建,,2328廣宇,6743安普新,,,
23,"('6643M31', 8)",3529力旺,2455全新,2404漢唐,8255朋程,6670復盛應用,2610華航,6669緯穎,9904寶成,,8131福懋科,4961天鈺,5371中光電,3702大聯大,2885元大金,,2337旺宏,2707晶華,,,
24,"('3035智原', 8)",3030德律,8255朋程,6579研揚,1477聚陽,1722台肥,2385群光,2301光寶科,,,3045台灣大,8016矽創,2208台船,2015豐興,1234黑松,,2344華邦電,3260威剛,,,
25,"('8464億豐', 8)",8086宏捷科,3529力旺,3037欣興,3529力旺,2049上銀,2618長榮航,5483中美晶,,,8046南電,2408南亞科,2545皇翔,2412中華電,3019亞光,,2356英業達,8131福懋科,,,
26,"('3045台灣大', 8)",5269祥碩,9925新保,2345智邦,2421建準,6548長科*,3406玉晶光,9904寶成,,,2353宏碁,6756威鋒電子,6284佳邦,2324仁寶,9938百和,,2376技嘉,5531鄉林,,,
27,"('8070長華*', 8)",2377微星,3030德律,6239力成,8086宏捷科,6269台郡,5903全家,6409旭隼,,,1409新纖,2441超豐,2548華固,3090日電貿,3227原相,,2377微星,1103嘉泥,,,
28,"('1722台肥', 8)",5483中美晶,2417圓剛,1218泰山,5269祥碩,8039台虹,5274信驊,4743合一,,,8081致新,6146耕興,5289宜鼎,2892第一金,2404漢唐,,2383台光電,2367燿華,,,
29,"('8131福懋科', 8)",9910豐泰,8086宏捷科,2340光磊,1229聯華,1419新紡,5904寶雅,2356英業達,,,3131弘塑,8942森鉅,2332友訊,1402遠東新,6579研揚,,2385群光,8112至上,,,
30,"('2379瑞昱', 8)",2015豐興,5269祥碩,3218大學光,3450聯鈞,6643M31,2923鼎固-KY,2347聯強,,,8016矽創,6531愛普,6412群電,2382廣達,6244茂迪,,2408南亞科,1444力麗,,,
31,"('9917中保科', 8)",3152璟德,8069元太,8299群聯,8069元太,5534長虹,2313華通,6239力成,,,2408南亞科,2337旺宏,2455全新,5478智冠,3037欣興,,2474可成,2328廣宇,,,
32,"('8069元太', 8)",1232大統益,5483中美晶,6670復盛應用,2412中華電,5530龍巖,1722台肥,3702大聯大,,,6756威鋒電子,2603長榮,2883開發金,6504南六,2345智邦,,2498宏達電,1726永記,,,
33,"('1216統一', 8)",5388中磊,1201味全,1722台肥,5388中磊,3376新日興,8069元太,8299群聯,,,2441超豐,2327國巨,8926台汽電,3661世芯-KY,6239力成,,2605新興,6177達麗,,,
34,"('5508永信建', 8)",9917中保科,3152璟德,6548長科*,2515中工,1103嘉泥,3532台勝科,2610華航,,,6146耕興,3035智原,8255朋程,2354鴻準,1218泰山,,2727王品,6173信昌電,,,
35,"('4105東洋', 8)",3090日電貿,2412中華電,6269台郡,9802鈺齊-KY,2104國際中橡,3533嘉澤,2385群光,,,2351順德,2454聯發科,1477聚陽,2618長榮航,6147頎邦,,2834臺企銀,8462柏文,,,
36,"('6488環球晶', 8)",4915致伸,3228金麗科,5876上海商銀,6196帆宣,3005神基,6213聯茂,2618長榮航,,,2103台橡,4128中天,3231緯創,2347聯強,2340光磊,,2891中信金,2704國賓,,,
37,"('9908大台北', 8)",2382廣達,9917中保科,8039台虹,6751智聯服務,4904遠傳,3529力旺,2371大同,,,3010華立,8415大國鋼,5007三星,5306桂盟,2023燁輝,,2908特力,2540愛山林,,,
38,"('8016矽創', 8)",6180橘子,6180橘子,5880合庫金,3406玉晶光,2520冠德,2449京元電子,1605華新,,,2327國巨,2498宏達電,2451創見,2707晶華,3218大學光,,3019亞光,1110東泥,,,
39,"('8299群聯', 8)",8917欣泰,5478智冠,1419新紡,1110東泥,2227裕日車,1477聚陽,2609陽明,,,3035智原,4966譜瑞-KY,2421建準,3045台灣大,8299群聯,,3037欣興,5243乙盛-KY,,,
40,"('6409旭隼', 8)",4958臻鼎-KY,3661世芯-KY,6643M31,8917欣泰,9941裕融,6592和潤企業,5274信驊,,,2454聯發科,2481強茂,3030德律,2356英業達,3034聯詠,,3105穩懋,2727王品,,,
41,"('2637慧洋-KY', 8)",6504南六,2360致茂,5530龍巖,3380明泰,2548華固,6269台郡,1229聯華,,,4966譜瑞-KY,4736泰博,2417圓剛,8046南電,6670復盛應用,,3231緯創,1560中砂,,,
42,"('1604聲寶', 8)",1515力山,2727王品,3376新日興,2607榮運,9908大台北,2201裕隆,2383台光電,,,2492華新科,6202盛群,2357華碩,2890永豐金,1722台肥,,3260威剛,9943好樂迪,,,
43,"('3030德律', 8)",8210勤誠,4919新唐,2903遠百,3661世芯-KY,5289宜鼎,2404漢唐,2313華通,,,2481強茂,5347世界,5269祥碩,2383台光電,2049上銀,,3324雙鴻,2597潤弘,,,
44,"('8086宏捷科', 8)",2360致茂,2401凌陽,1103嘉泥,2360致茂,2455全新,9917中保科,1722台肥,,,1256鮮活果汁-KY,1802台玻,2377微星,2353宏碁,5434崇越,,3630新鉅科,,,,
