,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-07-10),近12月累積營收年增率連2個月增加(2022-07-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 10)",2227裕日車,2913農林,6005群益證,2227裕日車,2227裕日車,2330台積電,2330台積電,1104環泥,6589台康生技,3035智原,3189景碩,2913農林,6005群益證,6005群益證,2388威盛,1210大成,2049上銀,2412中華電,5371中光電,
1,"('2520冠德', 9)",5306桂盟,6166凌華,2227裕日車,9937全國,5306桂盟,2317鴻海,2412中華電,1434福懋,2618長榮航,9933中鼎,2395研華,2227裕日車,2542興富發,2913農林,2368金像電,1307三芳,4743合一,3045台灣大,,
2,"('6643M31', 9)",9910豐泰,5306桂盟,6166凌華,1614三洋電,2542興富發,2308台達電,2303聯電,1444力麗,3576聯合再生,6223旺矽,5347世界,6166凌華,9910豐泰,6166凌華,2498宏達電,1314中石化,3023信邦,1605華新,,
3,"('2412中華電', 9)",9937全國,2542興富發,5306桂盟,2395研華,3189景碩,2303聯電,3008大立光,1532勤美,4438廣越,2201裕隆,2520冠德,5306桂盟,2707晶華,2501國建,2009第一銅,1605華新,9941裕融,1227佳格,,
4,"('4904遠傳', 9)",2707晶華,2707晶華,2542興富發,1722台肥,2478大毅,3008大立光,1216統一,2362藍天,2610華航,1560中砂,2344華邦電,2478大毅,1101台泥,5306桂盟,1560中砂,1710東聯,4123晟德,3682亞太電,,
5,"('6180橘子', 9)",2395研華,6589台康生技,2478大毅,4576大銀微系統,2707晶華,3711日月光投控,2891中信金,2524京城,6177達麗,3037欣興,6472保瑞,2035唐榮,2395研華,2542興富發,2108南帝,1736喬山,1736喬山,9933中鼎,,
6,"('3035智原', 9)",4927泰鼎-KY,2395研華,9910豐泰,8917欣泰,2395研華,2912統一超,3711日月光投控,2820華票,,2449京元電子,2498宏達電,6589台康生技,6180橘子,3189景碩,2615萬海,2006東和鋼鐵,4128中天,2392正崴,,
7,"('2330台積電', 9)",6278台表科,6180橘子,9937全國,2634漢翔,6180橘子,2892第一金,2892第一金,2836高雄銀,,2454聯發科,5530龍巖,1614三洋電,1722台肥,2478大毅,3105穩懋,2108南帝,2388威盛,1707葡萄王,,
8,"('5274信驊', 9)",6180橘子,9938百和,2707晶華,5243乙盛-KY,6202盛群,2379瑞昱,2880華南金,4157太景*-KY,,3707漢磊,5534長虹,2010春源,2504國產,2035唐榮,3653健策,2301光寶科,3017奇鋐,2373震旦行,,
9,"('3023信邦', 8)",9938百和,4576大銀微系統,1101台泥,6409旭隼,9938百和,5347世界,4904遠傳,6153嘉聯益,,2330台積電,2704國賓,6180橘子,4906正文,9910豐泰,3443創意,2308台達電,1789神隆,2511太子,,
10,"('2524京城', 8)",8917欣泰,6510精測,1532勤美,2308台達電,1722台肥,2801彰銀,5347世界,,,5274信驊,6488環球晶,1605華新,1104環泥,9937全國,,2331精英,4147中裕,6230超眾,,
11,"('6472保瑞', 8)",3152璟德,3152璟德,1614三洋電,3035智原,4576大銀微系統,5876上海商銀,2801彰銀,,,6182合晶,1560中砂,1722台肥,2882國泰金,2707晶華,,2347聯強,1795美時,9937全國,,
12,"('5269祥碩', 8)",3563牧德,3563牧德,2395研華,1789神隆,2606裕民,2633台灣高鐵,5876上海商銀,,,9802鈺齊-KY,2303聯電,4576大銀微系統,1312國喬,1101台泥,,2356英業達,3380明泰,3708上緯投控,,
13,"('9941裕融', 8)",5347世界,5347世界,2010春源,6472保瑞,2504國產,9910豐泰,2887台新金,,,,9941裕融,2504國產,2520冠德,1532勤美,,2412中華電,4157太景*-KY,2851中再保,,
14,"('6464台數科', 8)",2520冠德,2520冠德,4927泰鼎-KY,5269祥碩,8917欣泰,2345智邦,3037欣興,,,,3037欣興,4906正文,6269台郡,1614三洋電,,2455全新,4935茂林-KY,1419新紡,,
15,"('6409旭隼', 8)",6269台郡,2915潤泰全,6278台表科,1711永光,6510精測,3037欣興,2301光寶科,,,,6561是方,8917欣泰,3005神基,2395研華,,2545皇翔,9925新保,1614三洋電,,
16,"('1789神隆', 8)",3005神基,1565精華,6180橘子,2331精英,1104環泥,6669緯穎,6409旭隼,,,,8046南電,3152璟德,2915潤泰全,2010春源,,2608嘉里大榮,1444力麗,8404百和興業-KY,,
17,"('8069元太', 8)",1565精華,2379瑞昱,9938百和,6282康舒,3152璟德,2049上銀,4743合一,,,,2524京城,1312國喬,1565精華,4927泰鼎-KY,,2850新產,6541泰福-KY,1307三芳,,
18,"('3443創意', 8)",2597潤弘,4157太景*-KY,1605華新,8454富邦媒,3563牧德,4958臻鼎-KY,2356英業達,,,,2454聯發科,3630新鉅科,2597潤弘,6278台表科,,2913農林,4167松瑞藥,,,
19,"('3529力旺', 8)",2379瑞昱,2388威盛,1722台肥,2345智邦,1312國喬,5269祥碩,6239力成,,,,2330台積電,2355敬鵬,2355敬鵬,6180橘子,,3036文曄,6589台康生技,,,
20,"('6223旺矽', 8)",6173信昌電,2458義隆,4576大銀微系統,1590亞德客-KY,5347世界,9904寶成,2385群光,,,,4919新唐,1440南紡,1440南紡,6202盛群,,3042晶技,5243乙盛-KY,,,
21,"('2308台達電', 8)",2458義隆,6409旭隼,2606裕民,1110東泥,2520冠德,6409旭隼,3406玉晶光,,,,2337旺宏,2208台船,2376技嘉,9938百和,,3049和鑫,6751智聯服務,,,
22,"('4105東洋', 8)",6409旭隼,2308台達電,2504國產,3023信邦,6269台郡,2834臺企銀,5274信驊,,,,5483中美晶,2634漢翔,3702大聯大,1605華新,,4105東洋,8917欣泰,,,
23,"('4736泰博', 8)",2308台達電,2344華邦電,4906正文,6491晶碩,3376新日興,9914美利達,2313華通,,,,,2379瑞昱,6173信昌電,1722台肥,,4904遠傳,,,,
24,"('2108南帝', 8)",1785光洋科,3035智原,8917欣泰,1210大成,2915潤泰全,6121新普,1722台肥,,,,,5243乙盛-KY,2458義隆,4576大銀微系統,,6120達運,,,,
25,"('8917欣泰', 8)",5289宜鼎,5289宜鼎,6510精測,3081聯亞,1565精華,3406玉晶光,8069元太,,,,,4157太景*-KY,2101南港,2606裕民,,6153嘉聯益,,,,
26,"('2395研華', 8)",2441超豐,1789神隆,1104環泥,5388中磊,1440南紡,5903全家,3532台勝科,,,,,3702大聯大,1444力麗,2504國產,,6176瑞儀,,,,
