,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-05-10),近12月累積營收年增率連2個月增加(2022-05-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2330台積電', 12)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1104環泥,2610華航,2454聯發科,2454聯發科,8942森鉅,3630新鉅科,2454聯發科,3443創意,1218泰山,2382廣達,2330台積電,3481群創,2474可成
1,"('8069元太', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2454聯發科,2412中華電,1504東元,3576聯合再生,9933中鼎,1560中砂,3596智易,3596智易,3630新鉅科,3545敦泰,1305華夏,2379瑞昱,6505台塑化,1313聯成,
2,"('3532台勝科', 9)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2308台達電,2303聯電,1907永豐餘,4438廣越,3035智原,8046南電,9940信義,3045台灣大,8942森鉅,6582申豐,1326台化,6409旭隼,6415矽力-KY,2608嘉里大榮,
3,"('2449京元電子', 9)",5287數字,9940信義,3443創意,3035智原,6533晶心科,2303聯電,3008大立光,2201裕隆,2618長榮航,1560中砂,2303聯電,5287數字,6173信昌電,1504東元,2353宏碁,1590亞德客-KY,3532台勝科,9910豐泰,3324雙鴻,
4,"('4904遠傳', 9)",8299群聯,5287數字,6533晶心科,3533嘉澤,9940信義,3008大立光,1216統一,2239英利-KY,6589台康生技,3707漢磊,5483中美晶,9933中鼎,2101南港,3596智易,8069元太,1702南僑,1907永豐餘,2105正新,4943康控-KY,
5,"('3035智原', 9)",5289宜鼎,3035智原,9940信義,3045台灣大,5287數字,1216統一,2891中信金,2312金寶,6177達麗,5274信驊,6472保瑞,3035智原,2885元大金,3443創意,,1711永光,2201裕隆,8046南電,2355敬鵬,
6,"('2379瑞昱', 9)",3533嘉澤,6510精測,2633台灣高鐵,2607榮運,3035智原,3711日月光投控,3711日月光投控,2331精英,,6182合晶,3189景碩,2845遠東銀,2303聯電,6533晶心科,,1785光洋科,2101南港,9904寶成,,
7,"('6643M31', 9)",6239力成,5289宜鼎,5287數字,1560中砂,2049上銀,2207和泰車,3045台灣大,2354鴻準,,6223旺矽,2520冠德,8299群聯,2317鴻海,9940信義,,1802台玻,2903遠百,2834臺企銀,,
8,"('2520冠德', 9)",3045台灣大,3533嘉澤,9933中鼎,2634漢翔,8299群聯,2912統一超,4904遠傳,2849安泰銀,,2201裕隆,2395研華,6510精測,2388威盛,2633台灣高鐵,,1905華紙,6271同欣電,9914美利達,,
9,"('8917欣泰', 9)",4551智伸科,2614東森,3035智原,9958世紀鋼,6510精測,2379瑞昱,5347世界,2903遠百,,2449京元電子,5534長虹,3045台灣大,1402遠東新,5287數字,,2049上銀,2206三陽工業,2385群光,,
10,"('1476儒鴻', 8)",2206三陽工業,1598岱宇,2845遠東銀,5243乙盛-KY,5289宜鼎,5876上海商銀,2801彰銀,2905三商,,2330台積電,5347世界,1503士電,8482商億-KY,9933中鼎,,2201裕隆,6547高端疫苗,1605華新,,
11,"('2345智邦', 8)",6213聯茂,4551智伸科,8299群聯,3552同致,3533嘉澤,2633台灣高鐵,2345智邦,3022威強電,,3037欣興,2498宏達電,3026禾伸堂,1711永光,3035智原,,2204中華,3680家登,1229聯華,,
12,"('5269祥碩', 8)",3014聯陽,3014聯陽,6510精測,3653健策,6239力成,9910豐泰,1402遠東新,3481群創,,9802鈺齊-KY,2344華邦電,3530晶相光,1710東聯,2049上銀,,2303聯電,2905三商,1717長興,,
13,"('5274信驊', 8)",9914美利達,1560中砂,5289宜鼎,8422可寧衛,2481強茂,2345智邦,3037欣興,6414樺漢,,,5530龍巖,2206三陽工業,3708上緯投控,2845遠東銀,,2313華通,3312弘憶股,6592和潤企業,,
14,"('3152璟德', 8)",1560中砂,6706惠特,3533嘉澤,8046南電,3026禾伸堂,3037欣興,2301光寶科,6605帝寶,,,6488環球晶,6213聯茂,3264欣銓,8299群聯,,2317鴻海,6277宏正,2006東和鋼鐵,,
15,"('2412中華電', 8)",6173信昌電,8436大江,2614東森,2231為升,4551智伸科,6669緯穎,4958臻鼎-KY,,,,2330台積電,6173信昌電,6282康舒,6510精測,,2324仁寶,8917欣泰,3706神達,,
16,"('6223旺矽', 8)",6706惠特,3653健策,6239力成,1201味全,3530晶相光,2049上銀,8454富邦媒,,,,2524京城,1309台達化,3217優群,5289宜鼎,,2330台積電,2597潤弘,9941裕融,,
17,"('4107邦特', 8)",2015豐興,8422可寧衛,2481強茂,5269祥碩,6213聯茂,4958臻鼎-KY,2356英業達,,,,3037欣興,2634漢翔,1723中碳,3533嘉澤,,2345智邦,,2106建大,,
18,"('1590亞德客-KY', 8)",8436大江,2231為升,3045台灣大,3529力旺,3014聯陽,5269祥碩,6239力成,,,,9941裕融,2015豐興,2401凌陽,2614東森,,2353宏碁,,1440南紡,,
19,"('9941裕融', 8)",3653健策,1201味全,1503士電,6643M31,2607榮運,1476儒鴻,3406玉晶光,,,,6561是方,9958世紀鋼,1477聚陽,1598岱宇,,2356英業達,,2023燁輝,,
20,"('1560中砂', 8)",2352佳世達,4128中天,1304台聚,2308台達電,9914美利達,9904寶成,2371大同,,,,2337旺宏,1102亞泥,2890永豐金,2023燁輝,,2363矽統,,1513中興電,,
21,"('4736泰博', 8)",8422可寧衛,2388威盛,4551智伸科,1711永光,1560中砂,2356英業達,1605華新,,,,4919新唐,4938和碩,2387精元,6239力成,,2371大同,,3017奇鋐,,
22,"('5347世界', 8)",5388中磊,4157太景*-KY,3530晶相光,3707漢磊,6173信昌電,9914美利達,5274信驊,,,,2704國賓,5388中磊,5425台半,2481強茂,,2379瑞昱,,6214精誠,,
23,"('3443創意', 8)",3665貿聯-KY,6166凌華,2206三陽工業,1722台肥,3008大立光,6121新普,1227佳格,,,,,3665貿聯-KY,3702大聯大,3045台灣大,,2388威盛,,1789神隆,,
24,"('3023信邦', 8)",1227佳格,5269祥碩,6213聯茂,3016嘉晶,6706惠特,3406玉晶光,1229聯華,,,,,2231為升,6257矽格,3231緯創,,2408南亞科,,5434崇越,,
25,"('6464台數科', 8)",5269祥碩,3529力旺,3014聯陽,1614三洋電,2015豐興,2371大同,2313華通,,,,,1201味全,8213志超,1503士電,,2409友達,,2373震旦行,,
26,"('2303聯電', 8)",3529力旺,6643M31,2607榮運,1319東陽,8436大江,5903全家,1722台肥,,,,,2388威盛,1216統一,1304台聚,,2458義隆,,2608嘉里大榮,,
27,"('5287數字', 8)",6643M31,4506崇友,9914美利達,6472保瑞,9958世紀鋼,2352佳世達,8069元太,,,,,5434崇越,2347聯強,3026禾伸堂,,2474可成,,6547高端疫苗,,
28,"('5530龍巖', 7)",4506崇友,3105穩懋,1560中砂,2009第一銅,3653健策,1229聯華,3532台勝科,,,,,5269祥碩,4906正文,4551智伸科,,2520冠德,,6492生華科,,
29,"('6488環球晶', 7)",3105穩懋,8482商億-KY,6173信昌電,5274信驊,1102亞泥,2923鼎固-KY,3533嘉澤,,,,,2891中信金,2324仁寶,3530晶相光,,2534宏盛,,5388中磊,,
30,"('2912統一超', 7)",8482商億-KY,1702南僑,6706惠特,3680家登,1802台玻,2313華通,3443創意,,,,,6643M31,3023信邦,2206三陽工業,,2606裕民,,3324雙鴻,,
31,"('2534宏盛', 7)",1702南僑,2308台達電,1309台達化,6282康舒,8422可寧衛,1722台肥,2449京元電子,,,,,1402遠東新,2408南亞科,6213聯茂,,2608嘉里大榮,,4551智伸科,,
32,"('6472保瑞', 7)",2308台達電,6279胡連,2634漢翔,8917欣泰,8046南電,8069元太,3682亞太電,,,,,2312金寶,2412中華電,3014聯陽,,2633台灣高鐵,,2312金寶,,
33,"('5425台半', 7)",6412群電,5471松翰,2015豐興,1536和大,2303聯電,3532台勝科,3189景碩,,,,,2368金像電,3661世芯-KY,2607榮運,,2704國賓,,1710東聯,,
34,"('6409旭隼', 7)",6279胡連,9925新保,8436大江,6182合晶,2231為升,3023信邦,9941裕融,,,,,3260威剛,5347世界,9914美利達,,2834臺企銀,,2481強茂,,
35,"('2458義隆', 7)",2441超豐,5483中美晶,5243乙盛-KY,1218泰山,5269祥碩,3374精材,3665貿聯-KY,,,,,5876上海商銀,1301台塑,1560中砂,,2892第一金,,2520冠德,,
