,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-08-10),近12月累積營收年增率連2個月增加(2022-08-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 11)",1216統一,1216統一,1904正隆,1723中碳,5478智冠,2317鴻海,2317鴻海,1234黑松,2610華航,3037欣興,2520冠德,1256鮮活果汁-KY,2408南亞科,1904正隆,2851中再保,1314中石化,2886兆豐金,1402遠東新,6213聯茂,
1,"('6643M31', 9)",1256鮮活果汁-KY,1256鮮活果汁-KY,1216統一,4105東洋,9908大台北,2303聯電,2303聯電,1444力麗,4438廣越,6223旺矽,2704國賓,5478智冠,2892第一金,1216統一,5388中磊,1409新纖,2880華南金,2049上銀,3529力旺,
2,"('9941裕融', 9)",3005神基,5478智冠,2845遠東銀,5388中磊,1723中碳,3023信邦,6412群電,1714和桐,3576聯合再生,6182合晶,3037欣興,1723中碳,3005神基,2845遠東銀,2368金像電,1503士電,2801彰銀,3293鈊象,1314中石化,
3,"('4904遠傳', 8)",2520冠德,2408南亞科,1256鮮活果汁-KY,2207和泰車,6531愛普,6412群電,6510精測,1718中纖,6177達麗,2449京元電子,2498宏達電,2892第一金,1503士電,1256鮮活果汁-KY,9941裕融,1519華城,4958臻鼎-KY,6213聯茂,3189景碩,
4,"('2330台積電', 8)",2347聯強,2520冠德,5478智冠,2331精英,2408南亞科,3673TPK-KY,2548華固,2239英利-KY,6589台康生技,5274信驊,6561是方,1503士電,2347聯強,5478智冠,3105穩懋,1582信錦,5269祥碩,1717長興,3312弘憶股,
5,"('5904寶雅', 8)",8464億豐,8464億豐,9908大台北,2351順德,2520冠德,3380明泰,3673TPK-KY,2312金寶,2618長榮航,9802鈺齊-KY,9941裕融,2347聯強,3711日月光投控,9908大台北,1605華新,1598岱宇,1476儒鴻,6274台燿,3035智原,
6,"('8069元太', 8)",6411晶焱,6411晶焱,6005群益證,1808潤隆,1308亞聚,6643M31,2511太子,2354鴻準,,3707漢磊,2524京城,8464億豐,1440南紡,6005群益證,6669緯穎,1609大亞,5904寶雅,9941裕融,1309台達化,
7,"('5274信驊', 8)",6274台燿,4105東洋,1723中碳,2345智邦,8464億豐,6751智聯服務,3380明泰,2355敬鵬,,3035智原,5534長虹,2355敬鵬,2888新光金,1723中碳,3293鈊象,1711永光,5820日盛金,2108南帝,6120達運,
8,"('3023信邦', 8)",4105東洋,4157太景*-KY,2408南亞科,6561是方,3711日月光投控,2102泰豐,6282康舒,2362藍天,,1560中砂,6488環球晶,4105東洋,5388中磊,6531愛普,4961天鈺,1714和桐,6278台表科,2501國建,,
9,"('6472保瑞', 8)",5388中磊,2458義隆,2892第一金,2607榮運,3037欣興,1560中砂,6643M31,2363矽統,,2201裕隆,3189景碩,4157太景*-KY,4958臻鼎-KY,2408南亞科,2388威盛,1718中纖,2849安泰銀,1312國喬,,
10,"('3105穩懋', 8)",4958臻鼎-KY,2915潤泰全,3005神基,2340光磊,6411晶焱,,6277宏正,2387精元,,2454聯發科,2344華邦電,1773勝一,2610華航,2892第一金,3374精材,1722台肥,1736喬山,3545敦泰,,
11,"('2308台達電', 8)",2207和泰車,8341日友,2520冠德,1319東陽,1440南紡,,6751智聯服務,2474可成,,9933中鼎,5347世界,6605帝寶,2351順德,3005神基,8069元太,1904正隆,1513中興電,4105東洋,,
12,"('4105東洋', 8)",2458義隆,2923鼎固-KY,1503士電,3552同致,6274台燿,,2102泰豐,2547日勝生,,2330台積電,2337旺宏,1907永豐餘,2345智邦,2520冠德,1305華夏,2103台橡,3017奇鋐,6464台數科,,
13,"('3293鈊象', 7)",8131福懋科,5531鄉林,2347聯強,1795美時,4105東洋,,1560中砂,2812台中銀,,,5483中美晶,2368金像電,2324仁寶,1503士電,2409友達,2206三陽工業,5534長虹,1305華夏,,
14,"('5269祥碩', 7)",8341日友,1598岱宇,1308亞聚,8926台汽電,1773勝一,,,2834臺企銀,,,6472保瑞,4958臻鼎-KY,2379瑞昱,2347聯強,2367燿華,2239英利-KY,3019亞光,1218泰山,,
15,"('2524京城', 7)",9930中聯資源,6706惠特,8464億豐,3661世芯-KY,2368金像電,,,2849安泰銀,,,1560中砂,2458義隆,1101台泥,2704國賓,2014中鴻,2313華通,6153嘉聯益,1309台達化,,
16,"('6277宏正', 7)",2345智邦,6223旺矽,3711日月光投控,8255朋程,2393億光,,,2851中再保,,,5530龍巖,2331精英,1312國喬,1308亞聚,6285啟碁,2354鴻準,9907統一實,2031新光鋼,,
17,"('8255朋程', 7)",6706惠特,4107邦特,3037欣興,6282康舒,2458義隆,,,2867三商壽,,,4919新唐,2915潤泰全,2603長榮,8464億豐,3596智易,2355敬鵬,2312金寶,6173信昌電,,
18,"('5425台半', 7)",6223旺矽,6561是方,6411晶焱,3016嘉晶,3264欣銓,,,2887台新金,,,2454聯發科,3703欣陸,2417圓剛,3711日月光投控,,2360致茂,3413京鼎,8404百和興業-KY,,
19,"('4536拓凱', 7)",2206三陽工業,2379瑞昱,1326台化,3081聯亞,2915潤泰全,,,4306炎洲,,,2303聯電,2478大毅,9941裕融,3037欣興,,2368金像電,4137麗豐-KY,,,
20,"('6464台數科', 7)",4107邦特,8482商億-KY,2355敬鵬,6643M31,8131福懋科,,,4532瑞智,,,2395研華,1808潤隆,3105穩懋,6411晶焱,,2382廣達,5371中光電,,,
21,"('5483中美晶', 7)",6561是方,3014聯陽,1440南紡,8917欣泰,2478大毅,,,5820日盛金,,,2330台積電,9930中聯資源,2881富邦金,1326台化,,2393億光,9925新保,,,
22,"('3035智原', 7)",6121新普,2340光磊,2031新光鋼,6244茂迪,8341日友,,,6153嘉聯益,,,8046南電,4147中裕,6176瑞儀,2867三商壽,,2504國產,2331精英,,,
23,"('1476儒鴻', 7)",8299群聯,2547日勝生,6274台燿,1434福懋,2351順德,,,6605帝寶,,,,5531鄉林,3576聯合再生,2355敬鵬,,2524京城,4536拓凱,,,
24,"('2395研華', 7)",4915致伸,2327國巨,4105東洋,2308台達電,2923鼎固-KY,,,,,,,1598岱宇,2885元大金,1440南紡,,2539櫻花建,2367燿華,,,
25,"('5347世界', 7)",2379瑞昱,2417圓剛,2888新光金,2912統一超,6706惠特,,,,,,,2239英利-KY,6488環球晶,2031新光鋼,,2618長榮航,1234黑松,,,
26,"('8917欣泰', 7)",8482商億-KY,9941裕融,2851中再保,5274信驊,6223旺矽,,,,,,,2312金寶,3682亞太電,6274台燿,,2881富邦金,1519華城,,,
27,"('1590亞德客-KY', 7)",3014聯陽,2727王品,5388中磊,8454富邦媒,1301台塑,,,,,,,2206三陽工業,4174浩鼎,4105東洋,,2882國泰金,2387精元,,,
28,"('6409旭隼', 7)",2327國巨,2059川湖,6605帝寶,1536和大,4107邦特,,,,,,,6023元大期,2344華邦電,4157太景*-KY,,2884玉山金,3211順達,,,
29,"('2360致茂', 7)",9941裕融,3105穩懋,1907永豐餘,2634漢翔,6561是方,,,,,,,2317鴻海,1102亞泥,2888新光金,,2891中信金,2545皇翔,,,
30,"('9940信義', 7)",6548長科*,2539櫻花建,2368金像電,3680家登,2637慧洋-KY,,,,,,,2324仁寶,2880華南金,1773勝一,,2892第一金,8163達方,,,
31,"('3529力旺', 7)",2059川湖,2524京城,4958臻鼎-KY,9802鈺齊-KY,6121新普,,,,,,,4915致伸,8255朋程,2851中再保,,3211順達,2239英利-KY,,,
32,"('3443創意', 7)",3105穩懋,2913農林,2207和泰車,1582信錦,8299群聯,,,,,,,2379瑞昱,1513中興電,5388中磊,,3312弘憶股,2363矽統,,,
33,"('6561是方', 7)",6176瑞儀,2545皇翔,2393億光,3707漢磊,2379瑞昱,,,,,,,2607榮運,3081聯亞,6605帝寶,,3376新日興,3078僑威,,,
34,"('2379瑞昱', 7)",3324雙鴻,6277宏正,2458義隆,1789神隆,8482商億-KY,,,,,,,3630新鉅科,1402遠東新,1907永豐餘,,3530晶相光,1714和桐,,,
35,"('2303聯電', 7)",6277宏正,1795美時,2331精英,5904寶雅,1312國喬,,,,,,,5007三星,3034聯詠,2368金像電,,3596智易,8255朋程,,,
36,"('5871中租-KY', 6)",5469瀚宇博,1234黑松,2915潤泰全,3045台灣大,2607榮運,,,,,,,2603長榮,2439美律,4958臻鼎-KY,,3703欣陸,6751智聯服務,,,
37,"('3218大學光', 6)",6669緯穎,6182合晶,8131福懋科,2633台灣高鐵,5007三星,,,,,,,2327國巨,5347世界,2207和泰車,,4915致伸,6605帝寶,,,
38,"('6213聯茂', 6)",3312弘憶股,6488環球晶,2478大毅,8069元太,3014聯陽,,,,,,,3704合勤控,6576逸達,2393億光,,4935茂林-KY,3630新鉅科,,,
39,"('3078僑威', 6)",6278台表科,4137麗豐-KY,8341日友,1614三洋電,2340光磊,,,,,,,2417圓剛,3481群創,2458義隆,,5425台半,8917欣泰,,,
40,"('6285啟碁', 6)",6488環球晶,1702南僑,2351順德,1232大統益,2548華固,,,,,,,9907統一實,2308台達電,2610華航,,5478智冠,4306炎洲,,,
41,"('3596智易', 6)",3010華立,2449京元電子,2923鼎固-KY,2009第一銅,2603長榮,,,,,,,5820日盛金,2357華碩,2331精英,,5483中美晶,1307三芳,,,
42,"('1722台肥', 6)",6239力成,8436大江,1808潤隆,1722台肥,2327國巨,,,,,,,3105穩懋,4927泰鼎-KY,3264欣銓,,6153嘉聯益,3090日電貿,,,
43,"('5478智冠', 6)",4137麗豐-KY,2344華邦電,9930中聯資源,6409旭隼,6732昇佳電子,,,,,,,1605華新,5871中租-KY,2498宏達電,,8070長華*,,,,
