,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,1907永豐餘,2002中鋼,2454聯發科,2317鴻海,2610華航,,2882國泰金,1301台塑,2317鴻海
1,3218大學光,2912統一超,2379瑞昱,2308台達電,2618長榮航,,2881富邦金,1303南亞,2454聯發科
2,2727王品,2353宏碁,2344華邦電,1303南亞,2031新光鋼,,2002中鋼,2882國泰金,2412中華電
3,,2383台光電,2823中壽,2882國泰金,2009第一銅,,2891中信金,1326台化,2308台達電
4,,5820日盛金,2347聯強,3008大立光,4306炎洲,,2382廣達,3008大立光,1303南亞
5,,2006東和鋼鐵,1504東元,2886兆豐金,,,2912統一超,2886兆豐金,1216統一
6,,1909榮成,1802台玻,1216統一,,,1101台泥,2002中鋼,2912統一超
7,,9940信義,2376技嘉,2891中信金,,,4904遠傳,1216統一,2327國巨
8,,6196帆宣,6147頎邦,2382廣達,,,2474可成,2891中信金,2885元大金
9,,3703欣陸,2812台中銀,5880合庫金,,,1102亞泥,2912統一超,5871中租-KY
10,,8358金居,2201裕隆,2327國巨,,,2883開發金,4904遠傳,3034聯詠
11,,6191精成科,5264鎧勝-KY,5871中租-KY,,,1476儒鴻,5876上海商銀,2379瑞昱
12,,3707漢磊,2606裕民,4904遠傳,,,2347聯強,2345智邦,2357華碩
13,,3131弘塑,2104國際中橡,3481群創,,,2360致茂,1402遠東新,2603長榮
14,,,6146耕興,1476儒鴻,,,2385群光,2888新光金,2409友達
15,,,2014中鴻,2492華新科,,,2542興富發,2344華邦電,3481群創
16,,,6491晶碩,2377微星,,,1504東元,2823中壽,6669緯穎
17,,,8016矽創,6409旭隼,,,1434福懋,5483中美晶,2049上銀
18,,,3264欣銓,4966譜瑞-KY,,,2376技嘉,9904寶成,1476儒鴻
19,,,6230超眾,2834臺企銀,,,2015豐興,4966譜瑞-KY,2492華新科
20,,,2637慧洋-KY,3406玉晶光,,,1477聚陽,2353宏碁,2615萬海
21,,,3006晶豪科,1605華新,,,2849安泰銀,3702大聯大,2344華邦電
22,,,2481強茂,2609陽明,,,2606裕民,3406玉晶光,2377微星
23,,,2351順德,5904寶雅,,,3005神基,5903全家,2823中壽
24,,,3035智原,2352佳世達,,,2204中華,2352佳世達,9921巨大
25,,,8163達方,1722台肥,,,2855統一證,6176瑞儀,8464億豐
26,,,2031新光鋼,1434福懋,,,2867三商壽,1229聯華,4966譜瑞-KY
27,,,3228金麗科,3023信邦,,,2897王道銀行,1722台肥,2347聯強
28,,,2034允強,3293鈊象,,,4105東洋,1434福懋,2353宏碁
29,,,6173信昌電,1717長興,,,2367燿華,3532台勝科,9914美利達
30,,,8462柏文,2449京元電子,,,2034允強,3023信邦,6121新普
31,,,2401凌陽,2015豐興,,,,3533嘉澤,3044健鼎
32,,,1604聲寶,2458義隆,,,,1907永豐餘,9945潤泰新
33,,,8210勤誠,9917中保科,,,,1314中石化,2609陽明
