,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2353宏碁,2383台光電,2454聯發科,2317鴻海,2610華航,2385群光,2357華碩,1301台塑,2317鴻海
1,6230超眾,5820日盛金,2409友達,1301台塑,2618長榮航,5243乙盛-KY,2883開發金,1303南亞,2454聯發科
2,8163達方,6561是方,2492華新科,3008大立光,,,2301光寶科,2882國泰金,2412中華電
3,2727王品,2014中鴻,8464億豐,2002中鋼,,,2347聯強,1326台化,2308台達電
4,,3218大學光,6409旭隼,1216統一,,,3702大聯大,3008大立光,1216統一
5,,2481強茂,2385群光,3711日月光投控,,,2385群光,2002中鋼,2382廣達
6,,8358金居,1504東元,2382廣達,,,2542興富發,1216統一,2912統一超
7,,3707漢磊,8069元太,5880合庫金,,,1504東元,2891中信金,5880合庫金
8,,8213志超,3023信邦,2327國巨,,,1434福懋,5871中租-KY,2327國巨
9,,3131弘塑,2376技嘉,2880華南金,,,2376技嘉,9910豐泰,2885元大金
10,,,2812台中銀,5871中租-KY,,,5522遠雄,1402遠東新,5871中租-KY
11,,,2006東和鋼鐵,2357華碩,,,2809京城銀,2409友達,6415矽力-KY
12,,,5264鎧勝-KY,3481群創,,,1477聚陽,2105正新,3034聯詠
13,,,3706神達,2890永豐金,,,3005神基,2823中壽,2379瑞昱
14,,,2439美律,2344華邦電,,,2204中華,8464億豐,2357華碩
15,,,2104國際中橡,2377微星,,,1319東陽,9904寶成,1590亞德客-KY
16,,,6146耕興,2823中壽,,,2014中鴻,4966譜瑞-KY,2603長榮
17,,,6196帆宣,2324仁寶,,,,6239力成,2409友達
18,,,3026禾伸堂,4743合一,,,,2353宏碁,3481群創
19,,,3010華立,2347聯強,,,,9945潤泰新,2890永豐金
20,,,3703欣陸,6239力成,,,,5903全家,2049上銀
21,,,2351順德,2834臺企銀,,,,1722台肥,1476儒鴻
22,,,2851中再保,3406玉晶光,,,,1434福懋,2492華新科
23,,,6191精成科,1605華新,,,,1477聚陽,2615萬海
24,,,1309台達化,2609陽明,,,,3682亞太電,2344華邦電
25,,,3211順達,2352佳世達,,,,2006東和鋼鐵,2377微星
26,,,6173信昌電,1722台肥,,,,3036文曄,9921巨大
27,,,2401凌陽,1434福懋,,,,2606裕民,8464億豐
28,,,8210勤誠,1717長興,,,,3081聯亞,2324仁寶
29,,,2417圓剛,6147頎邦,,,,6561是方,6409旭隼
30,,,6284佳邦,1907永豐餘,,,,8150南茂,4743合一
31,,,,2449京元電子,,,,2498宏達電,2356英業達
32,,,,1477聚陽,,,,2104國際中橡,2347聯強
33,,,,2201裕隆,,,,2548華固,2354鴻準
34,,,,2458義隆,,,,2014中鴻,2353宏碁
35,,,,6116彩晶,,,,2867三商壽,6121新普
36,,,,2838聯邦銀,,,,6196帆宣,2385群光
37,,,,6271同欣電,,,,3016嘉晶,3044健鼎
38,,,,6285啟碁,,,,3673TPK-KY,2609陽明
39,,,,2456奇力新,,,,3218大學光,2542興富發
40,,,,3005神基,,,,3026禾伸堂,5904寶雅
41,,,,6412群電,,,,6230超眾,2352佳世達
42,,,,1909榮成,,,,2637慧洋-KY,6176瑞儀
43,,,,1503士電,,,,2897王道銀行,1802台玻
44,,,,2388威盛,,,,1710東聯,2383台光電
45,,,,1440南紡,,,,3703欣陸,8069元太
46,,,,1507永大,,,,2481強茂,3023信邦
47,,,,8150南茂,,,,3260威剛,3533嘉澤
48,,,,6182合晶,,,,8131福懋科,2376技嘉
49,,,,9940信義,,,,5007三星,5820日盛金
50,,,,1312國喬,,,,2367燿華,1717長興
51,,,,8016矽創,,,,8358金居,3529力旺
52,,,,3264欣銓,,,,1444力麗,1907永豐餘
53,,,,2637慧洋-KY,,,,1905華紙,2201裕隆
54,,,,8422可寧衛,,,,6244茂迪,2458義隆
55,,,,4961天鈺,,,,8163達方,6116彩晶
56,,,,3006晶豪科,,,,1532勤美,2889國票金
57,,,,2393億光,,,,2239英利-KY,5264鎧勝-KY
58,,,,4157太景*-KY,,,,9930中聯資源,6278台表科
59,,,,3552同致,,,,9911櫻花,3706神達
60,,,,1903士紙,,,,2034允強,3152璟德
61,,,,4536拓凱,,,,6173信昌電,2838聯邦銀
62,,,,2913農林,,,,2836高雄銀,6271同欣電
63,,,,8406金可-KY,,,,5471松翰,3665貿聯-KY
64,,,,1702南僑,,,,4532瑞智,2439美律
65,,,,2421建準,,,,1310台苯,6285啟碁
66,,,,1515力山,,,,2727王品,2108南帝
67,,,,1234黑松,,,,2417圓剛,2456奇力新
68,,,,3035智原,,,,2534宏盛,6005群益證
69,,,,6244茂迪,,,,1560中砂,3005神基
70,,,,2850新產,,,,3049和鑫,6412群電
71,,,,3228金麗科,,,,3090日電貿,6446藥華藥
72,,,,1532勤美,,,,2535達欣工,1503士電
73,,,,9930中聯資源,,,,,1507永大
74,,,,2375凱美,,,,,6561是方
75,,,,8462柏文,,,,,3017奇鋐
76,,,,2836高雄銀,,,,,2855統一證
77,,,,1604聲寶,,,,,6414樺漢
78,,,,4506崇友,,,,,6146耕興
79,,,,2489瑞軒,,,,,5469瀚宇博
80,,,,1614三洋電,,,,,2501國建
81,,,,1560中砂,,,,,1789神隆
82,,,,3090日電貿,,,,,1785光洋科
83,,,,5287數字,,,,,5306桂盟
84,,,,,,,,,1808潤隆
85,,,,,,,,,6182合晶
86,,,,,,,,,9940信義
87,,,,,,,,,6196帆宣
88,,,,,,,,,1232大統益
89,,,,,,,,,3016嘉晶
90,,,,,,,,,6548長科*
91,,,,,,,,,2428興勤
92,,,,,,,,,6491晶碩
93,,,,,,,,,1795美時
94,,,,,,,,,3596智易
95,,,,,,,,,5388中磊
96,,,,,,,,,3324雙鴻
97,,,,,,,,,3218大學光
98,,,,,,,,,4551智伸科
99,,,,,,,,,2511太子
100,,,,,,,,,6443元晶
101,,,,,,,,,3026禾伸堂
102,,,,,,,,,6230超眾
103,,,,,,,,,2897王道銀行
104,,,,,,,,,8422可寧衛
105,,,,,,,,,3010華立
106,,,,,,,,,4961天鈺
107,,,,,,,,,2481強茂
108,,,,,,,,,2393億光
109,,,,,,,,,4157太景*-KY
110,,,,,,,,,6582申豐
111,,,,,,,,,3552同致
112,,,,,,,,,5425台半
113,,,,,,,,,2515中工
114,,,,,,,,,1903士紙
115,,,,,,,,,9925新保
116,,,,,,,,,2351順德
117,,,,,,,,,4536拓凱
118,,,,,,,,,3708上緯投控
119,,,,,,,,,2913農林
120,,,,,,,,,2908特力
121,,,,,,,,,2421建準
122,,,,,,,,,4919新唐
123,,,,,,,,,1218泰山
124,,,,,,,,,1515力山
125,,,,,,,,,1234黑松
126,,,,,,,,,2851中再保
127,,,,,,,,,6191精成科
128,,,,,,,,,3211順達
129,,,,,,,,,3707漢磊
