,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-09-30),連續三年EPS均大於0且近一季EPS也大於0(2022-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-09-30),近6月累積營收年增率連2個月增加(2022-11-10),近12月累積營收年增率連2個月增加(2022-11-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-09-30),ROE連續三季成長，且近一季ROE>10%(2022-09-30),毛利率連續三季成長，且近一季毛利率>25%(2022-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('6472保瑞', 10)",2383台光電,5478智冠,2383台光電,2912統一超,2383台光電,2330台積電,2330台積電,1104環泥,2727王品,3023信邦,2330台積電,,2383台光電,2383台光電,2108南帝,1227佳格,6505台塑化,2610華航,2351順德,
1,"('2707晶華', 9)",4927泰鼎-KY,3030德律,1723中碳,9937全國,1723中碳,2317鴻海,2317鴻海,1309台達化,2501國建,9904寶成,2308台達電,,2027大成鋼,1723中碳,2727王品,1312國喬,2412中華電,3682亞太電,,
2,"('2330台積電', 9)",6669緯穎,2912統一超,2834臺企銀,3023信邦,2027大成鋼,2308台達電,2308台達電,1312國喬,3576聯合再生,6803崑鼎,6409旭隼,,2881富邦金,2834臺企銀,4968立積,1326台化,9904寶成,2059川湖,,
3,"('2308台達電', 9)",3030德律,9911櫻花,4927泰鼎-KY,2227裕日車,5534長虹,3008大立光,3008大立光,1313聯成,9958世紀鋼,2330台積電,1256鮮活果汁-KY,,8415大國鋼,2027大成鋼,2812台中銀,1440南紡,5904寶雅,,,
4,"('1256鮮活果汁-KY', 9)",2912統一超,4128中天,5478智冠,2886兆豐金,5478智冠,2207和泰車,1216統一,1314中石化,6166凌華,2059川湖,2303聯電,,2227裕日車,2103台橡,8358金居,2108南帝,1210大成,,,
5,"('6643M31', 9)",9937全國,6411晶焱,6669緯穎,2707晶華,3030德律,2382廣達,3711日月光投控,1409新纖,6443元晶,1256鮮活果汁-KY,3189景碩,,2886兆豐金,5534長虹,8069元太,2377微星,2606裕民,,,
6,"('1795美時', 9)",8150南茂,2108南帝,3030德律,1711永光,1301台塑,6488環球晶,2207和泰車,1714和桐,4157太景*-KY,2303聯電,4968立積,,2606裕民,4174浩鼎,6643M31,2451創見,1503士電,,,
7,"('5425台半', 8)",9911櫻花,8415大國鋼,9933中鼎,2308台達電,8150南茂,2892第一金,6488環球晶,2201裕隆,1307三芳,3653健策,6561是方,,6121新普,4927泰鼎-KY,2408南亞科,2607榮運,6510精測,,,
8,"('8069元太', 8)",3023信邦,8464億豐,1301台塑,6409旭隼,9911櫻花,5880合庫金,2912統一超,2355敬鵬,4142國光生,4551智伸科,6488環球晶,,2890永豐金,5478智冠,1795美時,2633台灣高鐵,2392正崴,,,
9,"('6488環球晶', 8)",6411晶焱,3014聯陽,2912統一超,1256鮮活果汁-KY,3023信邦,1101台泥,1101台泥,2375凱美,9943好樂迪,9802鈺齊-KY,9908大台北,,2534宏盛,2881富邦金,1605華新,2707晶華,8436大江,,,
