,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2845遠東銀,2330台積電,2303聯電,2883開發金,3374精材,2330台積電,,
1,,2883開發金,2880華南金,8046南電,6531愛普,2303聯電,,
2,,5820日盛金,8046南電,6548長科*,,2002中鋼,,
3,,3703欣陸,3406玉晶光,4961天鈺,,1102亞泥,,
4,,1309台達化,2383台光電,3260威剛,,2883開發金,,
5,,1604聲寶,6561是方,,,8046南電,,
6,,,5434崇越,,,5269祥碩,,
7,,,2905三商,,,2377微星,,
8,,,8406金可-KY,,,3231緯創,,
9,,,3035智原,,,6176瑞儀,,
10,,,6177達麗,,,1434福懋,,
11,,,3131弘塑,,,3374精材,,
12,,,2836高雄銀,,,5522遠雄,,
13,,,,,,2809京城銀,,
14,,,,,,3189景碩,,
15,,,,,,2723美食-KY,,
16,,,,,,2455全新,,
17,,,,,,8406金可-KY,,
18,,,,,,4919新唐,,
19,,,,,,3035智原,,
20,,,,,,1309台達化,,
21,,,,,,3211順達,,
22,,,,,,6706惠特,,
23,,,,,,6411晶焱,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
