,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
15,,,6561是方,2609陽明,9917中保科,,,2247汎德永業,2324仁寶,1605華新,,6456GIS-KY,,2449京元電子,2376技嘉,5871中租-KY,2603長榮
16,,,2104國際中橡,5903全家,6456GIS-KY,,,3016嘉晶,6239力成,1504東元,,5264鎧勝-KY,,1477聚陽,1907永豐餘,3034聯詠,2409友達
17,,,5306桂盟,2352佳世達,1314中石化,,,2637慧洋-KY,2353宏碁,1229聯華,,6732昇佳電子,,2458義隆,2449京元電子,2357華碩,3481群創
18,,,9940信義,2313華通,2838聯邦銀,,,2481強茂,2834臺企銀,2383台光電,,2059川湖,,3661世芯-KY,2006東和鋼鐵,2603長榮,2890永豐金
19,,,8016矽創,3023信邦,3036文曄,,,3260威剛,8299群聯,3293鈊象,,1723中碳,,3189景碩,3189景碩,2409友達,2049上銀
20,,,3264欣銓,6213聯茂,4123晟德,,,6166凌華,3406玉晶光,5820日盛金,,1513中興電,,5264鎧勝-KY,2106建大,2105正新,1476儒鴻
21,,,3010華立,1907永豐餘,2106建大,,,2367燿華,1605華新,1717長興,,5534長虹,,6732昇佳電子,2606裕民,3481群創,2492華新科
22,,,4961天鈺,2812台中銀,2849安泰銀,,,2208台船,1504東元,5522遠雄,,6670復盛應用,,2368金像電,2634漢翔,3037欣興,2615萬海
23,,,3703欣陸,6269台郡,2059川湖,,,3707漢磊,2383台光電,6147頎邦,,9938百和,,8086宏捷科,1304台聚,2049上銀,2344華邦電
24,,,2393億光,2458義隆,4128中天,,,2605新興,2313華通,2812台中銀,,2608嘉里大榮,,1304台聚,3081聯亞,4958臻鼎-KY,2377微星
25,,,4935茂林-KY,3189景碩,6446藥華藥,,,9911櫻花,8069元太,2201裕隆,,2428興勤,,8150南茂,8436大江,1476儒鴻,9921巨大
26,,,1515力山,6732昇佳電子,8341日友,,,2401凌陽,3023信邦,2006東和鋼鐵,,1773勝一,,2498宏達電,2104國際中橡,2492華新科,8464億豐
27,,,3228金麗科,2106建大,1507永大,,,3090日電貿,3293鈊象,2845遠東銀,,2511太子,,4968立積,4142國光生,2615萬海,2324仁寶
28,,,3131弘塑,2439美律,6561是方,,,5508永信建,5820日盛金,3706神達,,6230超眾,,1785光洋科,6214精誠,2344華邦電,6409旭隼
29,,,1614三洋電,2606裕民,1707葡萄王,,,,6147頎邦,6274台燿,,8422可寧衛,,2014中鴻,6414樺漢,2377微星,4743合一
30,,,5287數字,2634漢翔,6214精誠,,,,1907永豐餘,3036文曄,,1710東聯,,9938百和,5469瀚宇博,9921巨大,2356英業達
31,,,,1909榮成,5534長虹,,,,2449京元電子,2439美律,,3006晶豪科,,6182合晶,5306桂盟,8464億豐,2354鴻準
32,,,,1304台聚,2501國建,,,,2812台中銀,2456奇力新,,6166凌華,,4915致伸,6182合晶,2324仁寶,2353宏碁
33,,,,1507永大,5530龍巖,,,,2006東和鋼鐵,2634漢翔,,4943康控-KY,,2455全新,3596智易,6409旭隼,2360致茂
34,,,,9958世紀鋼,4147中裕,,,,2845遠東銀,3227原相,,4927泰鼎-KY,,8016矽創,2103台橡,2356英業達,3702大聯大
35,,,,5469瀚宇博,9940信義,,,,3706神達,1909榮成,,6191精成科,,2103台橡,3026禾伸堂,2347聯強,6121新普
36,,,,1785光洋科,4915致伸,,,,6274台燿,1440南紡,,8213志超,,6443元晶,6230超眾,2354鴻準,2385群光
37,,,,2014中鴻,2247汎德永業,,,,2439美律,6561是方,,5478智冠,,6230超眾,2637慧洋-KY,2353宏碁,3044健鼎
38,,,,6182合晶,1232大統益,,,,2456奇力新,2392正崴,,3228金麗科,,3006晶豪科,1710東聯,2360致茂,2609陽明
