,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-03-10),近12月累積營收年增率連2個月增加(2022-03-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8341日友', 10)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1103嘉泥,3552同致,2454聯發科,2454聯發科,3596智易,3443創意,2454聯發科,2108南帝,1304台聚,9910豐泰,2542興富發,8454富邦媒,
1,"('6488環球晶', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2308台達電,6505台塑化,1234黑松,6166凌華,9933中鼎,8942森鉅,9940信義,9940信義,3630新鉅科,,1409新纖,2883開發金,3682亞太電,,
2,"('5274信驊', 9)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2303聯電,2303聯電,1444力麗,2545皇翔,3035智原,2614東森,5287數字,3035智原,8942森鉅,,1444力麗,3044健鼎,3376新日興,,
3,"('2330台積電', 9)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2881富邦金,2891中信金,1504東元,3680家登,6510精測,1560中砂,9933中鼎,3533嘉澤,1504東元,,1605華新,5904寶雅,,,
4,"('5904寶雅', 9)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,1216統一,2884玉山金,1589永冠-KY,1736喬山,2610華航,2610華航,3035智原,6239力成,3596智易,,1907永豐餘,2352佳世達,,,
5,"('3443創意', 9)",6239力成,3035智原,9940信義,2049上銀,2633台灣高鐵,2891中信金,6488環球晶,1907永豐餘,2547日勝生,2015豐興,8046南電,2845遠東銀,3045台灣大,3443創意,,2023燁輝,1504東元,,,
6,"('3035智原', 9)",3045台灣大,6510精測,2633台灣高鐵,6510精測,5287數字,2382廣達,2395研華,2362藍天,2605新興,8046南電,2303聯電,8299群聯,2607榮運,6533晶心科,,2104國際中橡,3023信邦,,,
7,"('5425台半', 9)",4551智伸科,5289宜鼎,5287數字,3533嘉澤,8299群聯,6488環球晶,5347世界,2820華票,5531鄉林,5388中磊,4128中天,6510精測,6173信昌電,9940信義,,2105正新,5820日盛金,,,
8,"('5347世界', 9)",6213聯茂,3533嘉澤,9933中鼎,2614東森,6510精測,2912統一超,2801彰銀,2838聯邦銀,2511太子,6196帆宣,5269祥碩,5289宜鼎,3653健策,2633台灣高鐵,,2338光罩,3374精材,,,
9,"('1707葡萄王', 8)",3014聯陽,2614東森,3035智原,3045台灣大,5289宜鼎,2395研華,4938和碩,2849安泰銀,9943好樂迪,1605華新,2615萬海,3045台灣大,2352佳世達,5287數字,,2352佳世達,3682亞太電,,,
