,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-05-10),近12月累積營收年增率連2個月增加(2022-05-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8341日友', 10)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1234黑松,3552同致,2454聯發科,2454聯發科,3630新鉅科,3533嘉澤,2454聯發科,3035智原,1301台塑,2492華新科,1303南亞,1313聯成,
1,"('6643M31', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2308台達電,6505台塑化,2489瑞軒,6166凌華,9933中鼎,8942森鉅,8942森鉅,3045台灣大,3630新鉅科,3653健策,1440南紡,2371大同,1590亞德客-KY,,
2,"('2330台積電', 9)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2303聯電,2303聯電,2888新光金,2545皇翔,3035智原,2614東森,3596智易,3231緯創,8942森鉅,2637慧洋-KY,1476儒鴻,2439美律,2324仁寶,,
3,"('3653健策', 9)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2881富邦金,2891中信金,3703欣陸,3680家登,6510精測,1560中砂,9940信義,1560中砂,1504東元,3661世芯-KY,1513中興電,6446藥華藥,2337旺宏,,
4,"('5347世界', 9)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,1216統一,2884玉山金,,1736喬山,2610華航,2610華航,5287數字,3008大立光,3596智易,2108南帝,1711永光,2428興勤,1802台玻,,
5,"('6488環球晶', 9)",6239力成,3035智原,9940信義,2049上銀,2633台灣高鐵,2891中信金,6488環球晶,,2547日勝生,2015豐興,8046南電,9933中鼎,8436大江,3443創意,4736泰博,1722台肥,2332友訊,2101南港,,
6,"('5274信驊', 9)",3045台灣大,6510精測,2633台灣高鐵,3533嘉澤,5287數字,2382廣達,2395研華,,2605新興,8046南電,2303聯電,3035智原,4938和碩,6533晶心科,,2204中華,3703欣陸,6732昇佳電子,,
7,"('2605新興', 9)",4551智伸科,5289宜鼎,5287數字,2614東森,8299群聯,6488環球晶,5347世界,,5531鄉林,5388中磊,4128中天,2845遠東銀,2885元大金,9940信義,,2303聯電,4736泰博,6271同欣電,,
8,"('3035智原', 9)",6213聯茂,3533嘉澤,9933中鼎,3045台灣大,6510精測,2912統一超,2801彰銀,,2511太子,6196帆宣,5269祥碩,8299群聯,2303聯電,2633台灣高鐵,,2323中環,3030德律,2451創見,,
9,"('2637慧洋-KY', 9)",3014聯陽,2614東森,3035智原,2607榮運,5289宜鼎,2395研華,4938和碩,,9943好樂迪,1605華新,2615萬海,6510精測,2317鴻海,5287數字,,2327國巨,1234黑松,2388威盛,,
10,"('2395研華', 9)",1560中砂,1598岱宇,2845遠東銀,1560中砂,3533嘉澤,1101台泥,2887台新金,,6547高端疫苗,5274信驊,3105穩懋,5289宜鼎,2891中信金,9933中鼎,,2330台積電,8163達方,3081聯亞,,
11,"('5483中美晶', 8)",6173信昌電,4551智伸科,8299群聯,9958世紀鋼,6239力成,5347世界,3037欣興,,2331精英,1707葡萄王,8482商億-KY,3045台灣大,6643M31,3035智原,,2345智邦,1537廣隆,8150南茂,,
12,"('2388威盛', 8)",6706惠特,3014聯陽,6510精測,5243乙盛-KY,2481強茂,2357華碩,6669緯穎,,6244茂迪,2637慧洋-KY,5483中美晶,1503士電,1402遠東新,2049上銀,,2353宏碁,6180橘子,6510精測,,
13,"('3030德律', 8)",2015豐興,1560中砂,5289宜鼎,3552同致,1304台聚,4938和碩,2888新光金,,6443元晶,2439美律,2609陽明,3026禾伸堂,5876上海商銀,2845遠東銀,,2368金像電,4167松瑞藥,3042晶技,,
14,"('1707葡萄王', 8)",3653健策,6706惠特,3533嘉澤,3653健策,4551智伸科,2633台灣高鐵,5483中美晶,,2727王品,3711日月光投控,6202盛群,3530晶相光,6279胡連,8299群聯,,2371大同,8044網家,2247汎德永業,,
15,"('2912統一超', 8)",2352佳世達,8436大江,2614東森,8046南電,3530晶相光,9910豐泰,3231緯創,,9910豐泰,5347世界,5274信驊,2206三陽工業,2441超豐,6510精測,,2377微星,5243乙盛-KY,4766南寶,,
16,"('5425台半', 8)",8422可寧衛,3653健策,1598岱宇,5388中磊,3014聯陽,2474可成,2337旺宏,,2618長榮航,2548華固,2637慧洋-KY,2607榮運,2881富邦金,5289宜鼎,,2379瑞昱,3530晶相光,4551智伸科,,
17,"('3443創意', 8)",5388中磊,8422可寧衛,6239力成,3665貿聯-KY,2607榮運,1102亞泥,6239力成,,2034允強,8358金居,4536拓凱,2610華航,2609陽明,3533嘉澤,,2382廣達,,9907統一實,,
18,"('2379瑞昱', 8)",5269祥碩,2231為升,2481強茂,2231為升,9914美利達,3037欣興,2834臺企銀,,2035唐榮,2034允強,3189景碩,3008大立光,2354鴻準,2614東森,,2454聯發科,,1903士紙,,
