,出現7次,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
33,,,,,1503士電,5434崇越,,,8131福懋科,2006東和鋼鐵,2634漢翔,,5478智冠,,2455全新,3596智易,6409旭隼,2360致茂
34,,,,,8341日友,4147中裕,,,6202盛群,2845遠東銀,3227原相,,3705永信,,8016矽創,2103台橡,2356英業達,3702大聯大
35,,,,,1440南紡,9940信義,,,3704合勤控,3706神達,1909榮成,,8039台虹,,2103台橡,3026禾伸堂,2347聯強,6121新普
36,,,,,1507永大,1232大統益,,,5457宣德,6274台燿,1440南紡,,6643M31,,6443元晶,6230超眾,2354鴻準,2385群光
37,,,,,2104國際中橡,2373震旦行,,,5371中光電,2439美律,6561是方,,8942森鉅,,6230超眾,2637慧洋-KY,2353宏碁,3044健鼎
38,,,,,6214精誠,6547高端疫苗,,,5425台半,2456奇力新,2392正崴,,8404百和興業-KY,,3006晶豪科,1710東聯,2360致茂,2609陽明
39,,,,,5469瀚宇博,6492生華科,,,5007三星,2634漢翔,9958世紀鋼,,1589永冠-KY,,2481強茂,3006晶豪科,3702大聯大,2542興富發
40,,,,,1785光洋科,2362藍天,,,1104環泥,1909榮成,2104國際中橡,,2535達欣工,,3260威剛,3703欣陸,6121新普,1227佳格
41,,,,,2014中鴻,3680家登,,,2515中工,2388威盛,9940信義,,,,1515力山,2393億光,2385群光,2352佳世達
42,,,,,1808潤隆,4766南寶,,,1903士紙,1440南紡,6196帆宣,,,,8358金居,5007三星,3044健鼎,1802台玻
43,,,,,9940信義,3264欣銓,,,5531鄉林,2392正崴,1312國喬,,,,8112至上,1903士紙,2609陽明,2383台光電
44,,,,,6196帆宣,6443元晶,,,1103嘉泥,9958世紀鋼,6257矽格,,,,1308亞聚,2367燿華,1227佳格,2313華通
45,,,,,1232大統益,6743安普新,,,2331精英,2104國際中橡,8016矽創,,,,3707漢磊,2908特力,2352佳世達,8069元太
46,,,,,3324雙鴻,9908大台北,,,2913農林,2014中鴻,3264欣銓,,,,6244茂迪,1515力山,6176瑞儀,3023信邦
47,,,,,3218大學光,8422可寧衛,,,2208台船,5306桂盟,3218大學光,,,,8163達方,6191精成科,1802台玻,3533嘉澤
48,,,,,6443元晶,6756威鋒電子,,,2421建準,5434崇越,3010華立,,,,2031新光鋼,1444力麗,2383台光電,2376技嘉
49,,,,,3026禾伸堂,2539櫻花建,,,8112至上,6196帆宣,3006晶豪科,,,,2375凱美,1308亞聚,2313華通,5820日盛金
50,,,,,1710東聯,8131福懋科,,,1419新紡,1312國喬,3703欣陸,,,,1310台苯,6244茂迪,8069元太,3529力旺
51,,,,,3010華立,4157太景*-KY,,,8163達方,3019亞光,2481強茂,,,,2489瑞軒,8163達方,3023信邦,6592和潤企業
52,,,,,4961天鈺,9937全國,,,1609大亞,1773勝一,2393億光,,,,2727王品,2031新光鋼,3533嘉澤,6269台郡
