,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2880華南金,2883開發金,2330台積電,2883開發金,,2330台積電,,
1,2845遠東銀,6147頎邦,2454聯發科,8046南電,,2412中華電,,
2,,3264欣銓,2882國泰金,2542興富發,,1301台塑,,
3,,3035智原,2886兆豐金,4961天鈺,,2303聯電,,
4,,8210勤誠,5880合庫金,3260威剛,,2882國泰金,,
5,,,2327國巨,8255朋程,,1326台化,,
6,,,5876上海商銀,,,2881富邦金,,
7,,,8046南電,,,2886兆豐金,,
8,,,2834臺企銀,,,2884玉山金,,
9,,,5820日盛金,,,2892第一金,,
10,,,2812台中銀,,,5880合庫金,,
11,,,1909榮成,,,1101台泥,,
12,,,6561是方,,,2880華南金,,
13,,,2392正崴,,,4904遠傳,,
14,,,3703欣陸,,,2801彰銀,,
15,,,8406金可-KY,,,5876上海商銀,,
16,,,3691碩禾,,,4938和碩,,
17,,,1309台達化,,,2474可成,,
18,,,3131弘塑,,,1102亞泥,,
19,,,2836高雄銀,,,2883開發金,,
20,,,4414如興,,,2890永豐金,,
21,,,,,,2301光寶科,,
22,,,,,,8046南電,,
23,,,,,,5269祥碩,,
24,,,,,,2615萬海,,
25,,,,,,2377微星,,
26,,,,,,9921巨大,,
27,,,,,,3231緯創,,
28,,,,,,2356英業達,,
29,,,,,,3702大聯大,,
30,,,,,,3044健鼎,,
31,,,,,,1434福懋,,
32,,,,,,2376技嘉,,
33,,,,,,3374精材,,
34,,,,,,3529力旺,,
35,,,,,,5522遠雄,,
36,,,,,,2809京城銀,,
37,,,,,,3443創意,,
38,,,,,,2449京元電子,,
39,,,,,,1477聚陽,,
40,,,,,,2404漢唐,,
41,,,,,,2915潤泰全,,
42,,,,,,3189景碩,,
43,,,,,,2441超豐,,
44,,,,,,2108南帝,,
45,,,,,,1313聯成,,
46,,,,,,2455全新,,
47,,,,,,3264欣銓,,
48,,,,,,2312金寶,,
49,,,,,,2520冠德,,
50,,,,,,8406金可-KY,,
51,,,,,,4919新唐,,
52,,,,,,8112至上,,
53,,,,,,3035智原,,
54,,,,,,1905華紙,,
55,,,,,,1609大亞,,
56,,,,,,2338光罩,,
57,,,,,,2340光磊,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
