,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-08-10),近12月累積營收年增率連2個月增加(2022-08-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 10)",4506崇友,4506崇友,4506崇友,9908大台北,4506崇友,2317鴻海,2317鴻海,2312金寶,6443元晶,1537廣隆,2607榮運,4506崇友,,,,,,,,
1,"('6643M31', 8)",6146耕興,6146耕興,1308亞聚,3380明泰,2103台橡,2303聯電,2303聯電,2392正崴,8462柏文,9802鈺齊-KY,9925新保,6669緯穎,,,,,,,,
2,"('6472保瑞', 7)",6669緯穎,2455全新,6146耕興,2884玉山金,1308亞聚,3023信邦,6412群電,2409友達,1519華城,9910豐泰,2395研華,2455全新,,,,,,,,
3,"('5274信驊', 7)",2455全新,2360致茂,1723中碳,1227佳格,6146耕興,6412群電,6510精測,2417圓剛,2367燿華,3035智原,2330台積電,6177達麗,,,,,,,,
4,"('8069元太', 7)",2313華通,3014聯陽,6669緯穎,3680家登,2049上銀,3673TPK-KY,2548華固,2520冠德,2618長榮航,1476儒鴻,1419新紡,2313華通,,,,,,,,
5,"('2330台積電', 6)",2360致茂,2337旺宏,3049和鑫,2231為升,1723中碳,3380明泰,3673TPK-KY,2605新興,2539櫻花建,2330台積電,2303聯電,3380明泰,,,,,,,,
6,"('6488環球晶', 6)",3014聯陽,3680家登,2455全新,2912統一超,3049和鑫,6643M31,2511太子,2889國票金,2388威盛,5274信驊,2498宏達電,6443元晶,,,,,,,,
7,"('3023信邦', 6)",6121新普,5289宜鼎,6177達麗,3035智原,2455全新,6751智聯服務,3380明泰,3049和鑫,6576逸達,9938百和,8046南電,1589永冠-KY,,,,,,,,
8,"('2395研華', 6)",6269台郡,8436大江,2313華通,3218大學光,6177達麗,2102泰豐,6282康舒,3481群創,4743合一,6670復盛應用,6472保瑞,2328廣宇,,,,,,,,
9,"('5425台半', 6)",5289宜鼎,2231為升,1434福懋,1229聯華,2313華通,1560中砂,6643M31,3673TPK-KY,,2449京元電子,5347世界,3630新鉅科,,,,,,,,
10,"('3152璟德', 6)",1707葡萄王,9925新保,2360致茂,8454富邦媒,2360致茂,,6277宏正,4943康控-KY,,2454聯發科,5425台半,1537廣隆,,,,,,,,
11,"('6561是方', 6)",5457宣德,1707葡萄王,2607榮運,2308台達電,2607榮運,,6751智聯服務,6116彩晶,,3705永信,3189景碩,1609大亞,,,,,,,,
12,"('2308台達電', 6)",2912統一超,2912統一超,9908大台北,1476儒鴻,9908大台北,,2102泰豐,6120達運,,8069元太,5483中美晶,3682亞太電,,,,,,,,
13,"('6277宏正', 6)",3563牧德,3563牧德,3014聯陽,3059華晶科,3014聯陽,,1560中砂,6153嘉聯益,,4919新唐,2524京城,8436大江,,,,,,,,
14,"('1476儒鴻', 6)",2059川湖,2059川湖,6121新普,3529力旺,6121新普,,,6462神盾,,1560中砂,6488環球晶,5876上海商銀,,,,,,,,
15,"('1590亞德客-KY', 6)",9910豐泰,1903士紙,3380明泰,1582信錦,2337旺宏,,,,,3037欣興,5508永信建,2605新興,,,,,,,,
16,"('4904遠傳', 6)",3596智易,3022威強電,2337旺宏,5903全家,1537廣隆,,,,,,6576逸達,2912統一超,,,,,,,,
17,"('5269祥碩', 6)",4736泰博,4736泰博,6269台郡,2395研華,3680家登,,,,,,3533嘉澤,4414如興,,,,,,,,
18,,5388中磊,3035智原,2884玉山金,3552同致,5289宜鼎,,,,,,1560中砂,3042晶技,,,,,,,,
19,,3218大學光,6462神盾,1227佳格,4904遠傳,2637慧洋-KY,,,,,,6561是方,9910豐泰,,,,,,,,
20,,5287數字,5522遠雄,2328廣宇,6279胡連,8436大江,,,,,,3037欣興,3596智易,,,,,,,,
21,,2458義隆,3218大學光,2362藍天,5274信驊,2231為升,,,,,,,1903士紙,,,,,,,,
22,,8454富邦媒,5287數字,3260威剛,2340光磊,9925新保,,,,,,,3530晶相光,,,,,,,,
23,,2308台達電,2458義隆,1714和桐,9958世紀鋼,1707葡萄王,,,,,,,4142國光生,,,,,,,,
24,,1476儒鴻,2308台達電,3680家登,3443創意,5457宣德,,,,,,,3022威強電,,,,,,,,
25,,3529力旺,1476儒鴻,5289宜鼎,6472保瑞,8358金居,,,,,,,4736泰博,,,,,,,,
26,,6706惠特,3529力旺,2637慧洋-KY,6244茂迪,2393億光,,,,,,,5522遠雄,,,,,,,,
27,,5903全家,6706惠特,1532勤美,6491晶碩,3563牧德,,,,,,,6153嘉聯益,,,,,,,,
28,,1215卜蜂,5903全家,2231為升,5269祥碩,4961天鈺,,,,,,,5287數字,,,,,,,,
29,,3105穩懋,6182合晶,9925新保,6643M31,3042晶技,,,,,,,1229聯華,,,,,,,,
30,,8081致新,3105穩懋,4532瑞智,3152璟德,1477聚陽,,,,,,,2458義隆,,,,,,,,
