,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-12-31),連續三年EPS均大於0且近一季EPS也大於0(2022-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-12-31),近6月累積營收年增率連2個月增加(2023-04-10),近12月累積營收年增率連2個月增加(2023-04-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-12-31),ROE連續三季成長，且近一季ROE>10%(2022-12-31),毛利率連續三季成長，且近一季毛利率>25%(2022-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3661世芯-KY', 7)",6669緯穎,6279胡連,6669緯穎,1711永光,2609陽明,2886兆豐金,2412中華電,1304台聚,3545敦泰,1210大成,5289宜鼎,,,,,,,,,
1,"('5903全家', 7)",2609陽明,8422可寧衛,3019亞光,2345智邦,6279胡連,2884玉山金,3008大立光,1312國喬,3576聯合再生,6643M31,6409旭隼,,,,,,,,,
2,"('5478智冠', 6)",6279胡連,4576大銀微系統,1711永光,4576大銀微系統,6548長科*,3034聯詠,2886兆豐金,1313聯成,4123晟德,4904遠傳,8464億豐,,,,,,,,,
3,"('6409旭隼', 6)",6548長科*,6202盛群,2609陽明,1229聯華,2345智邦,2409友達,2207和泰車,1409新纖,2605新興,3596智易,5531鄉林,,,,,,,,,
4,"('3152璟德', 6)",2345智邦,3035智原,2439美律,3035智原,2608嘉里大榮,2887台新金,2884玉山金,2010春源,2923鼎固-KY,6751智聯服務,4958臻鼎-KY,,,,,,,,,
5,"('6561是方', 6)",8422可寧衛,6277宏正,6279胡連,5274信驊,8422可寧衛,3481群創,2912統一超,2317鴻海,1808潤隆,6488環球晶,2330台積電,,,,,,,,,
6,"('3443創意', 6)",6202盛群,5274信驊,6548長科*,2308台達電,5007三星,4743合一,2892第一金,2355敬鵬,,5903全家,6670復盛應用,,,,,,,,,
7,"('4904遠傳', 6)",6277宏正,8482商億-KY,2375凱美,3380明泰,4576大銀微系統,2354鴻準,5880合庫金,2417圓剛,,3443創意,2540愛山林,,,,,,,,,
8,"('6732昇佳電子', 6)",5274信驊,2308台達電,2031新光鋼,3023信邦,1229聯華,2618長榮航,1101台泥,2489瑞軒,,6414樺漢,2498宏達電,,,,,,,,,
9,"('6472保瑞', 6)",8482商億-KY,2373震旦行,2345智邦,6409旭隼,3035智原,2371大同,2885元大金,2501國建,,,3005神基,,,,,,,,,
10,"('2707晶華', 6)",2597潤弘,5289宜鼎,6213聯茂,8341日友,6277宏正,1605華新,2880華南金,2511太子,,,3413京鼎,,,,,,,,,
11,"('6277宏正', 6)",2308台達電,3022威強電,2608嘉里大榮,1210大成,5274信驊,2542興富發,5871中租-KY,2524京城,,,6533晶心科,,,,,,,,,
12,"('3293鈊象', 6)",2373震旦行,1773勝一,8422可寧衛,1614三洋電,8482商億-KY,1802台玻,2801彰銀,2547日勝生,,,6561是方,,,,,,,,,
13,"('5904寶雅', 6)",5289宜鼎,6409旭隼,5007三星,2351順德,2308台達電,3293鈊象,5876上海商銀,2605新興,,,2908特力,,,,,,,,,
14,"('6643M31', 6)",3022威強電,8341日友,4576大銀微系統,2707晶華,2373震旦行,5522遠雄,2633台灣高鐵,2855統一證,,,8255朋程,,,,,,,,,
15,,3023信邦,1419新紡,2421建準,3045台灣大,3532台勝科,2809京城銀,6669緯穎,2897王道銀行,,,5903全家,,,,,,,,,
16,,8070長華*,6576逸達,1229聯華,2889國票金,5289宜鼎,2404漢唐,2371大同,2903遠百,,,3406玉晶光,,,,,,,,,
17,,1773勝一,1234黑松,1101台泥,2912統一超,3022威強電,3661世芯-KY,5903全家,6120達運,,,3189景碩,,,,,,,,,
18,,9914美利達,6492生華科,6202盛群,8462柏文,8070長華*,2889國票金,5904寶雅,6548長科*,,,6446藥華藥,,,,,,,,,
19,,6409旭隼,3264欣銓,6188廣明,3081聯亞,1773勝一,6732昇佳電子,1227佳格,,,,8046南電,,,,,,,,,
20,,8341日友,8464億豐,3035智原,1590亞德客-KY,6409旭隼,3152璟德,3023信邦,,,,4766南寶,,,,,,,,,
21,,8358金居,5531鄉林,1304台聚,3673TPK-KY,8341日友,2838聯邦銀,3293鈊象,,,,1319東陽,,,,,,,,,
22,,8210勤誠,2727王品,6277宏正,2395研華,8358金居,2108南帝,3374精材,,,,,,,,,,,,,
23,,3264欣銓,2449京元電子,5274信驊,2362藍天,1419新紡,8415大國鋼,2809京城銀,,,,,,,,,,,,,
24,,4961天鈺,2337旺宏,8482商億-KY,3260威剛,2606裕民,6005群益證,2812台中銀,,,,,,,,,,,,,
25,,8464億豐,2327國巨,2597潤弘,1714和桐,3264欣銓,4128中天,2404漢唐,,,,,,,,,,,,,
26,,4958臻鼎-KY,2707晶華,2338光罩,1503士電,8464億豐,2634漢翔,3661世芯-KY,,,,,,,,,,,,,
27,,2449京元電子,2049上銀,2308台達電,3707漢磊,4958臻鼎-KY,3227原相,2845遠東銀,,,,,,,,,,,,,
28,,2337旺宏,9938百和,2373震旦行,8908欣雄,2449京元電子,4174浩鼎,2889國票金,,,,,,,,,,,,,
29,,2327國巨,6411晶焱,3532台勝科,9908大台北,2327國巨,2723美食-KY,2101南港,,,,,,,,,,,,,
30,,2707晶華,3563牧德,5289宜鼎,6643M31,2707晶華,1513中興電,2903遠百,,,,,,,,,,,,,
31,,6269台郡,3131弘塑,3380明泰,8917欣泰,1723中碳,9958世紀鋼,3152璟德,,,,,,,,,,,,,
32,,3045台灣大,4736泰博,3022威強電,5269祥碩,2049上銀,8436大江,2838聯邦銀,,,,,,,,,,,,,
33,,6411晶焱,3228金麗科,2501國建,2886兆豐金,2607榮運,1707葡萄王,4123晟德,,,,,,,,,,,,,
34,,3563牧德,2417圓剛,2328廣宇,3576聯合再生,3563牧德,2855統一證,2439美律,,,,,,,,,,,,,
35,,8112至上,4105東洋,3023信邦,2455全新,3131弘塑,6214精誠,2108南帝,,,,,,,,,,,,,
36,,2347聯強,1707葡萄王,2855統一證,4904遠傳,4736泰博,8926台汽電,6005群益證,,,,,,,,,,,,,
37,,3131弘塑,2912統一超,8070長華*,1536和大,4105東洋,2014中鴻,2204中華,,,,,,,,,,,,,
38,,4736泰博,6146耕興,1773勝一,2633台灣高鐵,1707葡萄王,1808潤隆,2634漢翔,,,,,,,,,,,,,
39,,4105東洋,3081聯亞,1307三芳,6510精測,6803崑鼎,4147中裕,1536和大,,,,,,,,,,,,,
40,,1707葡萄王,2547日勝生,4306炎洲,6244茂迪,9910豐泰,9940信義,6446藥華藥,,,,,,,,,,,,,
41,,6803崑鼎,4743合一,9914美利達,6751智聯服務,6146耕興,1312國喬,2723美食-KY,,,,,,,,,,,,,
42,,2535達欣工,1590亞德客-KY,6409旭隼,1504東元,1308亞聚,2362藍天,1503士電,,,,,,,,,,,,,
43,,9910豐泰,9917中保科,2892第一金,1216統一,1590亞德客-KY,2820華票,3081聯亞,,,,,,,,,,,,,
44,,2912統一超,5471松翰,8341日友,5904寶雅,9917中保科,3545敦泰,1513中興電,,,,,,,,,,,,,
45,,6146耕興,9925新保,8358金居,3152璟德,9925新保,6230超眾,8436大江,,,,,,,,,,,,,
46,,1590亞德客-KY,2395研華,3702大聯大,4137麗豐-KY,2395研華,1710東聯,2855統一證,,,,,,,,,,,,,
47,,9917中保科,2383台光電,8210勤誠,3016嘉晶,6191精成科,1718中纖,4968立積,,,,,,,,,,,,,
48,,5471松翰,2441超豐,1210大成,3552同致,2383台光電,6582申豐,8926台汽電,,,,,,,,,,,,,
49,,2395研華,2458義隆,1419新紡,3529力旺,1513中興電,1598岱宇,2501國建,,,,,,,,,,,,,
50,,6191精成科,4966譜瑞-KY,2317鴻海,8454富邦媒,2441超豐,1103嘉泥,1808潤隆,,,,,,,,,,,,,
51,,2383台光電,6582申豐,2606裕民,2227裕日車,4966譜瑞-KY,4943康控-KY,4147中裕,,,,,,,,,,,,,
52,,2441超豐,2474可成,1234黑松,3661世芯-KY,1104環泥,8358金居,9940信義,,,,,,,,,,,,,
53,,2458義隆,6643M31,3264欣銓,6561是方,9908大台北,3563牧德,2867三商壽,,,,,,,,,,,,,
54,,2015豐興,5269祥碩,4961天鈺,8255朋程,6643M31,2605新興,2820華票,,,,,,,,,,,,,
55,,4966譜瑞-KY,6182合晶,8464億豐,5903全家,8131福懋科,6244茂迪,1795美時,,,,,,,,,,,,,
56,,1232大統益,4968立積,2836高雄銀,3680家登,3017奇鋐,8213志超,3673TPK-KY,,,,,,,,,,,,,
57,,6643M31,2455全新,4958臻鼎-KY,6531愛普,8917欣泰,2355敬鵬,2332友訊,,,,,,,,,,,,,
58,,8131福懋科,4904遠傳,2449京元電子,1789神隆,4935茂林-KY,5478智冠,6230超眾,,,,,,,,,,,,,
59,,3017奇鋐,2344華邦電,1614三洋電,3443創意,6176瑞儀,6177達麗,9908大台北,,,,,,,,,,,,,
60,,9930中聯資源,4128中天,2337旺宏,1702南僑,5269祥碩,6173信昌電,3380明泰,,,,,,,,,,,,,
61,,4935茂林-KY,3374精材,3704合勤控,3653健策,6182合晶,3014聯陽,2707晶華,,,,,,,,,,,,,
62,,5457宣德,2059川湖,2327國巨,1227佳格,2504國產,6472保瑞,2539櫻花建,,,,,,,,,,,,,
63,,6176瑞儀,8436大江,2351順德,1256鮮活果汁-KY,2455全新,3078僑威,3704合勤控,,,,,,,,,,,,,
64,,5269祥碩,6510精測,2707晶華,2412中華電,4904遠傳,6589台康生技,1598岱宇,,,,,,,,,,,,,
65,,2504國產,4551智伸科,6269台郡,2231為升,3374精材,6277宏正,1103嘉泥,,,,,,,,,,,,,
66,,2455全新,9943好樂迪,3045台灣大,2105正新,2059川湖,3217優群,9925新保,,,,,,,,,,,,,
67,,4904遠傳,2454聯發科,1723中碳,2634漢翔,6121新普,2489瑞軒,4536拓凱,,,,,,,,,,,,,
68,,3374精材,6491晶碩,2049上銀,1795美時,8436大江,3530晶相光,6451訊芯-KY,,,,,,,,,,,,,
69,,2059川湖,6177達麗,9938百和,6472保瑞,6510精測,,6504南六,,,,,,,,,,,,,
70,,6121新普,3042晶技,2607榮運,2884玉山金,4551智伸科,,2605新興,,,,,,,,,,,,,
71,,4551智伸科,8016矽創,3563牧德,1582信錦,2454聯發科,,5478智冠,,,,,,,,,,,,,
72,,3596智易,8942森鉅,8112至上,6732昇佳電子,6491晶碩,,6462神盾,,,,,,,,,,,,,
73,,2454聯發科,3705永信,2347聯強,6443元晶,3042晶技,,2704國賓,,,,,,,,,,,,,
74,,6491晶碩,4506崇友,3131弘塑,3059華晶科,8016矽創,,6472保瑞,,,,,,,,,,,,,
75,,3090日電貿,2330台積電,4736泰博,2355敬鵬,4506崇友,,4167松瑞藥,,,,,,,,,,,,,
76,,3042晶技,4123晟德,2887台新金,9937全國,2330台積電,,6277宏正,,,,,,,,,,,,,
77,,8016矽創,2548華固,4105東洋,6756威鋒電子,2303聯電,,2727王品,,,,,,,,,,,,,
