,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2727王品,2912統一超,2454聯發科,2317鴻海,2610華航,,2881富邦金,1301台塑,2317鴻海
1,,2353宏碁,1476儒鴻,1303南亞,2618長榮航,,2382廣達,1303南亞,2454聯發科
2,,1504東元,2344華邦電,3008大立光,2031新光鋼,,2883開發金,2882國泰金,2412中華電
3,,2383台光電,2823中壽,2886兆豐金,2009第一銅,,1476儒鴻,1326台化,2308台達電
4,,5820日盛金,2347聯強,2002中鋼,,,2347聯強,3008大立光,1303南亞
5,,2006東和鋼鐵,3023信邦,1216統一,,,2360致茂,2886兆豐金,1216統一
6,,9940信義,2376技嘉,2382廣達,,,2385群光,2002中鋼,2912統一超
7,,6196帆宣,6147頎邦,5880合庫金,,,2542興富發,1216統一,2327國巨
8,,3218大學光,1907永豐餘,2327國巨,,,1504東元,2891中信金,2885元大金
9,,3703欣陸,2812台中銀,2885元大金,,,1434福懋,2912統一超,5871中租-KY
10,,8358金居,5264鎧勝-KY,5871中租-KY,,,2376技嘉,4904遠傳,3034聯詠
11,,3707漢磊,2504國產,5876上海商銀,,,1477聚陽,5876上海商銀,2379瑞昱
12,,3131弘塑,1909榮成,3481群創,,,3005神基,2345智邦,2357華碩
13,,1604聲寶,6561是方,2890永豐金,,,2204中華,1402遠東新,2603長榮
14,,,2104國際中橡,2301光寶科,,,,2888新光金,2409友達
15,,,6214精誠,2492華新科,,,,2344華邦電,3481群創
16,,,6146耕興,2377微星,,,,2823中壽,6669緯穎
17,,,2014中鴻,6409旭隼,,,,5483中美晶,2049上銀
18,,,8016矽創,4966譜瑞-KY,,,,9904寶成,1476儒鴻
19,,,3264欣銓,2834臺企銀,,,,4966譜瑞-KY,2492華新科
20,,,3026禾伸堂,3406玉晶光,,,,2353宏碁,2615萬海
21,,,2637慧洋-KY,2609陽明,,,,3702大聯大,2344華邦電
22,,,2481強茂,2352佳世達,,,,3406玉晶光,2377微星
23,,,4157太景*-KY,1722台肥,,,,5903全家,2823中壽
24,,,6191精成科,1434福懋,,,,2352佳世達,9921巨大
25,,,3691碩禾,3293鈊象,,,,6176瑞儀,8464億豐
26,,,3035智原,1717長興,,,,1229聯華,4966譜瑞-KY
27,,,2850新產,2449京元電子,,,,1722台肥,2347聯強
28,,,8163達方,2201裕隆,,,,1434福懋,2353宏碁
29,,,2031新光鋼,2458義隆,,,,3532台勝科,9914美利達
30,,,9930中聯資源,9917中保科,,,,3023信邦,6121新普
31,,,9911櫻花,2845遠東銀,,,,3533嘉澤,3044健鼎
32,,,6173信昌電,3189景碩,,,,1907永豐餘,9945潤泰新
33,,,8462柏文,3706神達,,,,1314中石化,2609陽明
34,,,2401凌陽,2903遠百,,,,2006東和鋼鐵,5904寶雅
35,,,8210勤誠,3152璟德,,,,3189景碩,2352佳世達
36,,,1614三洋電,2838聯邦銀,,,,3036文曄,1802台玻
37,,,6284佳邦,3665貿聯-KY,,,,2606裕民,2383台光電
38,,,,2441超豐,,,,2059川湖,3023信邦
39,,,,2439美律,,,,2504國產,2376技嘉
40,,,,2059川湖,,,,2634漢翔,5820日盛金
41,,,,2634漢翔,,,,1723中碳,1717長興
42,,,,1507永大,,,,3081聯亞,3529力旺
43,,,,8150南茂,,,,8150南茂,6147頎邦
44,,,,2392正崴,,,,2498宏達電,2809京城銀
