,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
114,,,,,,,,,4536拓凱
115,,,,,,,,,3708上緯投控
116,,,,,,,,,2913農林
117,,,,,,,,,6504南六
118,,,,,,,,,2908特力
119,,,,,,,,,2421建準
120,,,,,,,,,4919新唐
121,,,,,,,,,1218泰山
122,,,,,,,,,1515力山
123,,,,,,,,,1234黑松
124,,,,,,,,,6191精成科
125,,,,,,,,,2387精元
126,,,,,,,,,3211順達
127,,,,,,,,,3707漢磊
128,,,,,,,,,2850新產
129,,,,,,,,,8163達方
130,,,,,,,,,2031新光鋼
131,,,,,,,,,1609大亞
132,,,,,,,,,8213志超
133,,,,,,,,,3228金麗科
134,,,,,,,,,2478大毅
135,,,,,,,,,2375凱美
136,,,,,,,,,3131弘塑
137,,,,,,,,,6173信昌電
138,,,,,,,,,3014聯陽
139,,,,,,,,,4576大銀微系統
140,,,,,,,,,5471松翰
141,,,,,,,,,6472保瑞
142,,,,,,,,,6706惠特
143,,,,,,,,,4906正文
144,,,,,,,,,1582信錦
145,,,,,,,,,3078僑威
146,,,,,,,,,2401凌陽
147,,,,,,,,,3450聯鈞
148,,,,,,,,,1256鮮活果汁-KY
149,,,,,,,,,3022威強電
150,,,,,,,,,3217優群
151,,,,,,,,,8210勤誠
152,,,,,,,,,2489瑞軒
153,,,,,,,,,1614三洋電
154,,,,,,,,,2340光磊
155,,,,,,,,,2417圓剛
156,,,,,,,,,6284佳邦
157,,,,,,,,,1560中砂
158,,,,,,,,,3090日電貿
159,,,,,,,,,5287數字
160,,,,,,,,,5508永信建
161,,,,,,,,,1589永冠-KY
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
