,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-09-10),近12月累積營收年增率連2個月增加(2022-09-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2395研華', 9)",4506崇友,4506崇友,4506崇友,9908大台北,4506崇友,2317鴻海,2317鴻海,1434福懋,6443元晶,1537廣隆,2607榮運,4506崇友,,,,,,,,
1,"('6488環球晶', 8)",6146耕興,6146耕興,1308亞聚,3380明泰,2103台橡,2412中華電,2308台達電,1444力麗,8462柏文,9802鈺齊-KY,9925新保,6669緯穎,,,,,,,,
2,"('8069元太', 8)",6669緯穎,2455全新,6146耕興,2884玉山金,1308亞聚,2308台達電,2303聯電,1714和桐,1519華城,9910豐泰,2395研華,1515力山,,,,,,,,
3,"('3529力旺', 8)",2455全新,2360致茂,1723中碳,1227佳格,6146耕興,2303聯電,3008大立光,2204中華,2367燿華,3035智原,2330台積電,2313華通,,,,,,,,
4,"('2308台達電', 8)",2313華通,3014聯陽,6669緯穎,3680家登,2049上銀,3008大立光,1216統一,2239英利-KY,2618長榮航,1476儒鴻,1419新紡,2607榮運,,,,,,,,
5,"('6472保瑞', 8)",2360致茂,2337旺宏,3049和鑫,2231為升,1723中碳,1216統一,2891中信金,2352佳世達,2539櫻花建,2330台積電,2303聯電,3380明泰,,,,,,,,
6,"('1560中砂', 8)",3014聯陽,5871中租-KY,2455全新,2912統一超,3049和鑫,3711日月光投控,3711日月光投控,2387精元,2388威盛,8404百和興業-KY,2498宏達電,6269台郡,,,,,,,,
7,"('6643M31', 8)",6121新普,2923鼎固-KY,6177達麗,3035智原,2455全新,2382廣達,2382廣達,2417圓剛,6451訊芯-KY,5274信驊,8046南電,6443元晶,,,,,,,,
8,"('3443創意', 7)",6269台郡,3680家登,2313華通,3218大學光,6177達麗,6488環球晶,6488環球晶,2492華新科,6576逸達,9938百和,6472保瑞,2328廣宇,,,,,,,,
9,"('2912統一超', 7)",5871中租-KY,5289宜鼎,1434福懋,1229聯華,2313華通,2912統一超,2912統一超,2520冠德,4743合一,6670復盛應用,5347世界,3630新鉅科,,,,,,,,
10,"('1789神隆', 7)",5289宜鼎,8436大江,2360致茂,8454富邦媒,2360致茂,2892第一金,5880合庫金,2547日勝生,,2449京元電子,5425台半,1537廣隆,,,,,,,,
11,"('1216統一', 7)",1707葡萄王,2231為升,2607榮運,2308台達電,2607榮運,5880合庫金,2395研華,2809京城銀,,2454聯發科,3189景碩,1714和桐,,,,,,,,
12,"('5274信驊', 7)",5457宣德,9925新保,9908大台北,1476儒鴻,9908大台北,2395研華,1101台泥,2834臺企銀,,3705永信,5483中美晶,3682亞太電,,,,,,,,
13,"('8917欣泰', 7)",2912統一超,1707葡萄王,3014聯陽,3059華晶科,3014聯陽,1101台泥,2801彰銀,3231緯創,,8069元太,2524京城,5289宜鼎,,,,,,,,
14,"('5483中美晶', 7)",3563牧德,2912統一超,6121新普,3529力旺,6121新普,2885元大金,4938和碩,6116彩晶,,4919新唐,6488環球晶,9802鈺齊-KY,,,,,,,,
15,"('6409旭隼', 7)",2059川湖,3563牧德,3380明泰,1582信錦,2337旺宏,2801彰銀,2633台灣高鐵,9904寶成,,1560中砂,5508永信建,5876上海商銀,,,,,,,,
16,"('9911櫻花', 7)",9910豐泰,2059川湖,2337旺宏,5903全家,5871中租-KY,5876上海商銀,9910豐泰,,,3037欣興,6576逸達,2912統一超,,,,,,,,
17,"('4105東洋', 6)",3596智易,1903士紙,6269台郡,2395研華,1537廣隆,2633台灣高鐵,2345智邦,,,,3533嘉澤,4414如興,,,,,,,,
18,"('5904寶雅', 6)",4736泰博,3022威強電,2884玉山金,3552同致,3680家登,9910豐泰,2474可成,,,,1560中砂,3596智易,,,,,,,,
19,"('2539櫻花建', 6)",5388中磊,4736泰博,1227佳格,3673TPK-KY,5289宜鼎,2345智邦,1102亞泥,,,,6561是方,1903士紙,,,,,,,,
20,"('6561是方', 6)",3218大學光,3035智原,2328廣宇,4904遠傳,2637慧洋-KY,2474可成,2105正新,,,,3037欣興,3530晶相光,,,,,,,,
21,"('8255朋程', 6)",5287數字,6462神盾,5871中租-KY,6279胡連,8436大江,1402遠東新,2883開發金,,,,,4142國光生,,,,,,,,
22,"('1256鮮活果汁-KY', 6)",2458義隆,5522遠雄,2362藍天,5274信驊,2231為升,2105正新,3037欣興,,,,,3022威強電,,,,,,,,
23,"('8422可寧衛', 6)",8454富邦媒,3218大學光,3260威剛,2340光磊,9925新保,6669緯穎,6669緯穎,,,,,4736泰博,,,,,,,,
24,"('6277宏正', 6)",2308台達電,5287數字,1714和桐,9958世紀鋼,1707葡萄王,4958臻鼎-KY,2301光寶科,,,,,6462神盾,,,,,,,,
25,"('3022威強電', 6)",1476儒鴻,2458義隆,3680家登,9937全國,5457宣德,5483中美晶,5483中美晶,,,,,5522遠雄,,,,,,,,
26,"('4904遠傳', 6)",3529力旺,2308台達電,5289宜鼎,3443創意,8358金居,9921巨大,9921巨大,,,,,6153嘉聯益,,,,,,,,
27,"('9925新保', 6)",6706惠特,1476儒鴻,2637慧洋-KY,6472保瑞,2393億光,9904寶成,8464億豐,,,,,1229聯華,,,,,,,,
