,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-03-10),近12月累積營收年增率連2個月增加(2022-03-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 9)",2227裕日車,6464台數科,3680家登,1789神隆,2608嘉里大榮,2330台積電,2330台積電,1102亞泥,1710東聯,8081致新,8081致新,3680家登,,,,,,,,
1,"('8341日友', 8)",8081致新,8081致新,2608嘉里大榮,6196帆宣,2227裕日車,2308台達電,6505台塑化,1103嘉泥,2103台橡,3019亞光,2603長榮,2014中鴻,,,,,,,,
2,"('3035智原', 8)",4137麗豐-KY,1789神隆,2014中鴻,6411晶焱,6464台數科,2303聯電,2303聯電,1402遠東新,2618長榮航,3006晶豪科,3006晶豪科,6464台數科,,,,,,,,
3,"('2401凌陽', 8)",6411晶焱,4137麗豐-KY,2851中再保,2009第一銅,8081致新,2881富邦金,2891中信金,1434福懋,6547高端疫苗,2353宏碁,2458義隆,1789神隆,,,,,,,,
4,"('9941裕融', 8)",6277宏正,2520冠德,2227裕日車,1711永光,4137麗豐-KY,1216統一,2884玉山金,1444力麗,4414如興,2376技嘉,8415大國鋼,2104國際中橡,,,,,,,,
5,"('5425台半', 8)",3030德律,6411晶焱,6464台數科,6643M31,2104國際中橡,2891中信金,6488環球晶,1504東元,3016嘉晶,2850新產,8358金居,2547日勝生,,,,,,,,
6,"('8086宏捷科', 7)",4551智伸科,6277宏正,8081致新,2395研華,2520冠德,2382廣達,2395研華,1532勤美,2501國建,3131弘塑,6173信昌電,2356英業達,,,,,,,,
7,"('4966譜瑞-KY', 7)",6643M31,3030德律,3019亞光,9933中鼎,3008大立光,6488環球晶,5347世界,1589永冠-KY,3707漢磊,2103台橡,8016矽創,4766南寶,,,,,,,,
8,"('3023信邦', 7)",2850新產,4551智伸科,6505台塑化,8917欣泰,1234黑松,2912統一超,2801彰銀,2104國際中橡,1903士紙,8358金居,2344華邦電,2603長榮,,,,,,,,
9,"('5287數字', 7)",2373震旦行,6643M31,1789神隆,2345智邦,2603長榮,2395研華,4938和碩,2354鴻準,6533晶心科,8016矽創,6147頎邦,6411晶焱,,,,,,,,
10,"('6488環球晶', 7)",3131弘塑,2373震旦行,4137麗豐-KY,3443創意,6411晶焱,1101台泥,2887台新金,2392正崴,1444力麗,2344華邦電,3034聯詠,6244茂迪,,,,,,,,
11,"('2379瑞昱', 7)",2395研華,3131弘塑,2104國際中橡,4105東洋,6277宏正,5347世界,3037欣興,2474可成,2539櫻花建,3010華立,4966譜瑞-KY,3673TPK-KY,,,,,,,,
12,"('2330台積電', 7)",9937全國,2395研華,2520冠德,6488環球晶,2009第一銅,2357華碩,6669緯穎,2501國建,1314中石化,2375凱美,2408南亞科,3030德律,,,,,,,,
13,"('6643M31', 7)",2458義隆,2458義隆,2356英業達,2607榮運,3030德律,4938和碩,2888新光金,2511太子,6589台康生技,2351順德,2379瑞昱,3006晶豪科,,,,,,,,
14,"('5904寶雅', 7)",2015豐興,9925新保,1234黑松,2351順德,4551智伸科,2633台灣高鐵,5483中美晶,2515中工,4142國光生,6147頎邦,3545敦泰,2353宏碁,,,,,,,,
15,"('2395研華', 7)",8917欣泰,2360致茂,4766南寶,2801彰銀,6643M31,9910豐泰,3231緯創,2809京城銀,,3034聯詠,2303聯電,2376技嘉,,,,,,,,
16,"('5274信驊', 7)",2360致茂,8415大國鋼,2603長榮,1218泰山,2373震旦行,2474可成,2337旺宏,2820華票,,3023信邦,2027大成鋼,3704合勤控,,,,,,,,
17,"('1102亞泥', 6)",2345智邦,8436大江,6411晶焱,3081聯亞,3131弘塑,1102亞泥,6239力成,2834臺企銀,,4966譜瑞-KY,4919新唐,2820華票,,,,,,,,
18,"('6415矽力-KY', 6)",6582申豐,9940信義,6277宏正,3023信邦,1326台化,3037欣興,2834臺企銀,2836高雄銀,,2408南亞科,2401凌陽,2850新產,,,,,,,,
19,"('2707晶華', 6)",8436大江,3443創意,3673TPK-KY,5904寶雅,2395研華,6669緯穎,8299群聯,2838聯邦銀,,3036文曄,6756威鋒電子,2373震旦行,,,,,,,,
20,"('6548長科*', 6)",9940信義,9938百和,1711永光,4966譜瑞-KY,2458義隆,5483中美晶,2610華航,2845遠東銀,,2379瑞昱,2498宏達電,5876上海商銀,,,,,,,,
21,"('2337旺宏', 6)",6173信昌電,8016矽創,3030德律,8341日友,2015豐興,8464億豐,2618長榮航,2881富邦金,,8131福懋科,2609陽明,2704國賓,,,,,,,,
22,"('5269祥碩', 6)",3443創意,2344華邦電,2908特力,2412中華電,9925新保,9904寶成,3406玉晶光,2883開發金,,8150南茂,2393億光,1537廣隆,,,,,,,,
23,"('4736泰博', 6)",9938百和,4105東洋,3006晶豪科,1319東陽,8917欣泰,3231緯創,2371大同,2888新光金,,6239力成,4736泰博,2458義隆,,,,,,,,
24,"('9908大台北', 6)",8016矽創,6488環球晶,2353宏碁,8926台汽電,2360致茂,2356英業達,1605華新,2897王道銀行,,5289宜鼎,6415矽力-KY,2885元大金,,,,,,,,
25,"('5471松翰', 6)",4105東洋,3293鈊象,4551智伸科,5903全家,3264欣銓,2227裕日車,5274信驊,2903遠百,,2002中鋼,3035智原,2015豐興,,,,,,,,
26,"('8464億豐', 6)",3010華立,5287數字,2376技嘉,6579研揚,8415大國鋼,2354鴻準,2923鼎固-KY,2905三商,,2027大成鋼,1808潤隆,2103台橡,,,,,,,,
27,"('9917中保科', 6)",6488環球晶,4968立積,6643M31,3105穩懋,6582申豐,3702大聯大,2313華通,4157太景*-KY,,1256鮮活果汁-KY,8086宏捷科,9933中鼎,,,,,,,,
28,"('1565精華', 6)",3293鈊象,9943好樂迪,2820華票,4919新唐,8358金居,2610華航,1722台肥,4943康控-KY,,2401凌陽,2637慧洋-KY,6177達麗,,,,,,,,
29,"('3653健策', 6)",9910豐泰,3081聯亞,2897王道銀行,2401凌陽,8436大江,2618長榮航,1434福懋,5530龍巖,,6756威鋒電子,6182合晶,1589永冠-KY,,,,,,,,
30,"('6146耕興', 6)",5287數字,2923鼎固-KY,2106建大,6756威鋒電子,9940信義,3406玉晶光,3532台勝科,5531鄉林,,2393億光,4961天鈺,2360致茂,,,,,,,,
31,"('3532台勝科', 6)",4968立積,8422可寧衛,2850新產,5425台半,6173信昌電,3044健鼎,5522遠雄,6005群益證,,1723中碳,6531愛普,2345智邦,,,,,,,,
32,"('1590亞德客-KY', 6)",3081聯亞,3023信邦,2373震旦行,3016嘉晶,9938百和,5903全家,3443創意,6548長科*,,3035智原,6257矽格,6743安普新,,,,,,,,
33,"('3105穩懋', 6)",2439美律,5904寶雅,5876上海商銀,5243乙盛-KY,8016矽創,5904寶雅,1477聚陽,8070長華*,,1409新纖,5471松翰,8415大國鋼,,,,,,,,
