,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2327國巨,3711日月光投控,2454聯發科,2317鴻海,2610華航,6643M31,2409友達,1301台塑,2317鴻海
1,2353宏碁,2382廣達,6409旭隼,1303南亞,4968立積,,2883開發金,1303南亞,2454聯發科
2,2383台光電,2492華新科,3702大聯大,3008大立光,2031新光鋼,,3037欣興,2882國泰金,2412中華電
3,8163達方,2313華通,2352佳世達,5880合庫金,,,8299群聯,1326台化,2308台達電
4,2031新光鋼,2376技嘉,8069元太,2880華南金,,,5274信驊,3008大立光,3711日月光投控
5,,2449京元電子,5820日盛金,5876上海商銀,,,1504東元,2002中鋼,2382廣達
6,,2014中鴻,6147頎邦,2603長榮,,,2913農林,2891中信金,5880合庫金
7,,1232大統益,6116彩晶,2409友達,,,1702南僑,5876上海商銀,2327國巨
8,,3006晶豪科,2006東和鋼鐵,2105正新,,,2031新光鋼,9910豐泰,2885元大金
9,,3703欣陸,5264鎧勝-KY,3481群創,,,6223旺矽,2603長榮,5871中租-KY
10,,8358金居,3036文曄,3037欣興,,,,1402遠東新,6415矽力-KY
11,,3707漢磊,2456奇力新,2049上銀,,,,2105正新,3034聯詠
12,,8213志超,1503士電,2344華邦電,,,,2890永豐金,2379瑞昱
13,,2727王品,6561是方,2823中壽,,,,2823中壽,2357華碩
14,,6284佳邦,4968立積,8464億豐,,,,5483中美晶,1590亞德客-KY
15,,,6196帆宣,2324仁寶,,,,9904寶成,2603長榮
16,,,8016矽創,4966譜瑞-KY,,,,4966譜瑞-KY,2409友達
17,,,6230超眾,6239力成,,,,6239力成,3481群創
18,,,2481強茂,1605華新,,,,3702大聯大,2890永豐金
19,,,2393億光,2609陽明,,,,1605華新,2049上銀
20,,,2913農林,5903全家,,,,5903全家,1476儒鴻
21,,,2908特力,5274信驊,,,,2352佳世達,2492華新科
22,,,6191精成科,1227佳格,,,,2383台光電,2615萬海
23,,,3131弘塑,1504東元,,,,1722台肥,2344華邦電
24,,,6173信昌電,3023信邦,,,,1434福懋,2377微星
25,,,2401凌陽,3293鈊象,,,,3293鈊象,9921巨大
26,,,8210勤誠,3533嘉澤,,,,2376技嘉,8464億豐
27,,,3090日電貿,1717長興,,,,1907永豐餘,2324仁寶
28,,,5287數字,1907永豐餘,,,,2449京元電子,6409旭隼
29,,,,2812台中銀,,,,1314中石化,4743合一
30,,,,2458義隆,,,,2006東和鋼鐵,2356英業達
31,,,,9917中保科,,,,3036文曄,2354鴻準
32,,,,3189景碩,,,,2106建大,2353宏碁
33,,,,3706神達,,,,2606裕民,2360致茂
34,,,,2838聯邦銀,,,,2368金像電,3702大聯大
35,,,,2439美律,,,,2634漢翔,6121新普
