,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-09-30),連續三年EPS均大於0且近一季EPS也大於0(2022-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-09-30),近6月累積營收年增率連2個月增加(2022-11-10),近12月累積營收年增率連2個月增加(2022-11-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-09-30),ROE連續三季成長，且近一季ROE>10%(2022-09-30),毛利率連續三季成長，且近一季毛利率>25%(2022-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('6472保瑞', 11)",2383台光電,5478智冠,2383台光電,2912統一超,2383台光電,2330台積電,2330台積電,1434福懋,2727王品,3023信邦,2330台積電,,2881富邦金,2383台光電,2108南帝,1103嘉泥,2345智邦,,2606裕民,
1,"('2308台達電', 10)",4927泰鼎-KY,3030德律,1723中碳,9937全國,1723中碳,2317鴻海,2317鴻海,1589永冠-KY,2501國建,9904寶成,2308台達電,,3030德律,1723中碳,2014中鴻,1515力山,2354鴻準,,,
2,"('3653健策', 9)",6669緯穎,2912統一超,2834臺企銀,3023信邦,2027大成鋼,2308台達電,2308台達電,2010春源,3576聯合再生,6803崑鼎,6409旭隼,,8415大國鋼,2834臺企銀,2201裕隆,1598岱宇,3152璟德,,,
3,"('1476儒鴻', 9)",3030德律,9911櫻花,4927泰鼎-KY,1229聯華,5534長虹,3008大立光,3008大立光,2239英利-KY,9958世紀鋼,2330台積電,1256鮮活果汁-KY,,9904寶成,2027大成鋼,1515力山,2312金寶,3665貿聯-KY,,,
4,"('1256鮮活果汁-KY', 9)",2912統一超,4128中天,5478智冠,2227裕日車,5478智冠,2207和泰車,1216統一,2312金寶,6166凌華,2059川湖,2303聯電,,3014聯陽,2103台橡,2812台中銀,2323中環,2206三陽工業,,,
5,"('2330台積電', 9)",9937全國,6411晶焱,2881富邦金,2886兆豐金,3030德律,2382廣達,3711日月光投控,2323中環,6443元晶,1256鮮活果汁-KY,3189景碩,,2104國際中橡,5534長虹,2357華碩,2331精英,1513中興電,,,
6,"('2428興勤', 8)",8150南茂,2108南帝,6669緯穎,2707晶華,1301台塑,6488環球晶,2207和泰車,2354鴻準,4157太景*-KY,2303聯電,4968立積,,6456GIS-KY,4174浩鼎,8358金居,2357華碩,9958世紀鋼,,,
7,"('2231為升', 8)",9911櫻花,8415大國鋼,3030德律,1711永光,8150南茂,2892第一金,6488環球晶,2915潤泰全,1307三芳,3653健策,6561是方,,3005神基,4927泰鼎-KY,2408南亞科,2392正崴,1707葡萄王,,,
8,"('8422可寧衛', 8)",3023信邦,8464億豐,9933中鼎,2634漢翔,9911櫻花,5880合庫金,2912統一超,6153嘉聯益,4142國光生,4551智伸科,6488環球晶,,2379瑞昱,5478智冠,2376技嘉,2412中華電,2231為升,,,
9,"('3022威強電', 8)",6411晶焱,3014聯陽,1301台塑,2308台達電,3023信邦,1101台泥,1101台泥,6191精成科,9943好樂迪,9802鈺齊-KY,9908大台北,,4438廣越,2881富邦金,6472保瑞,2428興勤,6491晶碩,,,
