,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-01-10),近12月累積營收年增率連2個月增加(2022-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
21,"('1604聲寶', 8)",5457宣德,9941裕融,9938百和,8926台汽電,8299群聯,6239力成,2887台新金,,,8070長華*,8081致新,8462柏文,2357華碩,2392正崴,,,,,,
22,"('3533嘉澤', 8)",6274台燿,2332友訊,3227原相,8255朋程,3034聯詠,9914美利達,3037欣興,,,2379瑞昱,2458義隆,4904遠傳,5269祥碩,5508永信建,,,,,,
23,"('5904寶雅', 8)",3529力旺,2455全新,2404漢唐,1477聚陽,6670復盛應用,2610華航,6669緯穎,,,8131福懋科,4961天鈺,5371中光電,2377微星,2885元大金,,,,,,
24,"('9917中保科', 8)",3030德律,8255朋程,6579研揚,3529力旺,1722台肥,2385群光,2301光寶科,,,3045台灣大,8016矽創,2208台船,2376技嘉,1234黑松,,,,,,
25,"('3532台勝科', 8)",8086宏捷科,3529力旺,3037欣興,2421建準,2049上銀,2618長榮航,5483中美晶,,,8046南電,2408南亞科,2545皇翔,3630新鉅科,3019亞光,,,,,,
26,"('6411晶焱', 8)",5269祥碩,9925新保,2345智邦,8086宏捷科,6548長科*,3406玉晶光,9904寶成,,,2353宏碁,6756威鋒電子,6284佳邦,3702大聯大,9938百和,,,,,,
27,"('1216統一', 8)",2377微星,3030德律,6239力成,5269祥碩,6269台郡,5903全家,6409旭隼,,,1409新纖,2441超豐,2548華固,1201味全,3227原相,,,,,,
28,"('6488環球晶', 8)",5483中美晶,2417圓剛,1218泰山,1229聯華,8039台虹,5274信驊,4743合一,,,8081致新,6146耕興,5289宜鼎,4147中裕,2404漢唐,,,,,,
29,"('3653健策', 8)",9910豐泰,8086宏捷科,2340光磊,3450聯鈞,1419新紡,5904寶雅,2356英業達,,,3131弘塑,8942森鉅,2332友訊,2015豐興,6579研揚,,,,,,
30,"('8069元太', 8)",2015豐興,5269祥碩,3218大學光,8069元太,6643M31,2923鼎固-KY,2347聯強,,,8016矽創,6531愛普,6412群電,6023元大期,6244茂迪,,,,,,
31,"('6510精測', 8)",3152璟德,8069元太,8299群聯,2412中華電,5534長虹,2313華通,6239力成,,,2408南亞科,2337旺宏,2455全新,2412中華電,3037欣興,,,,,,
32,"('8070長華*', 8)",1232大統益,5483中美晶,6670復盛應用,5388中磊,5530龍巖,1722台肥,3702大聯大,,,6756威鋒電子,2603長榮,2883開發金,2324仁寶,2345智邦,,,,,,
33,"('6182合晶', 8)",5388中磊,1201味全,1722台肥,2515中工,3376新日興,8069元太,8299群聯,,,2441超豐,2327國巨,8926台汽電,3090日電貿,6239力成,,,,,,
34,"('6643M31', 8)",9917中保科,3152璟德,6548長科*,9802鈺齊-KY,1103嘉泥,3532台勝科,2610華航,,,6146耕興,3035智原,8255朋程,2892第一金,1218泰山,,,,,,
35,"('2455全新', 8)",3090日電貿,2412中華電,6269台郡,6196帆宣,2104國際中橡,3533嘉澤,2385群光,,,2351順德,2454聯發科,1477聚陽,1402遠東新,6147頎邦,,,,,,
36,"('4904遠傳', 8)",4915致伸,3228金麗科,5876上海商銀,6751智聯服務,3005神基,6213聯茂,2618長榮航,,,2103台橡,4128中天,3231緯創,2382廣達,2340光磊,,,,,,
37,"('3529力旺', 8)",2382廣達,9917中保科,8039台虹,3406玉晶光,4904遠傳,3529力旺,2371大同,,,3010華立,8415大國鋼,5007三星,6180橘子,2023燁輝,,,,,,
38,"('3030德律', 8)",6180橘子,6180橘子,5880合庫金,1110東泥,2520冠德,2449京元電子,1605華新,,,2327國巨,2498宏達電,2451創見,5478智冠,3218大學光,,,,,,
39,"('8086宏捷科', 8)",8917欣泰,5478智冠,1419新紡,8917欣泰,2227裕日車,1477聚陽,2609陽明,,,3035智原,4966譜瑞-KY,2421建準,3380明泰,8299群聯,,,,,,
40,"('6548長科*', 8)",4958臻鼎-KY,3661世芯-KY,6643M31,3380明泰,9941裕融,6592和潤企業,5274信驊,,,2454聯發科,2481強茂,3030德律,6504南六,3034聯詠,,,,,,
41,"('6239力成', 8)",6504南六,2360致茂,5530龍巖,2607榮運,2548華固,6269台郡,1229聯華,,,4966譜瑞-KY,4736泰博,2417圓剛,3661世芯-KY,6670復盛應用,,,,,,
42,"('5269祥碩', 8)",1515力山,2727王品,3376新日興,3661世芯-KY,9908大台北,2201裕隆,2383台光電,,,2492華新科,6202盛群,2357華碩,8210勤誠,1722台肥,,,,,,
43,"('1218泰山', 7)",8210勤誠,4919新唐,2903遠百,2633台灣高鐵,5289宜鼎,2404漢唐,2313華通,,,2481強茂,5347世界,5269祥碩,4919新唐,2049上銀,,,,,,
44,"('1722台肥', 7)",2360致茂,2401凌陽,1103嘉泥,4919新唐,2455全新,9917中保科,1722台肥,,,1256鮮活果汁-KY,1802台玻,2377微星,2354鴻準,5434崇越,,,,,,
45,"('2454聯發科', 7)",2597潤弘,2614東森,2104國際中橡,2401凌陽,5457宣德,3576聯合再生,1434福懋,,,3014聯陽,8358金居,2376技嘉,2618長榮航,6548長科*,,,,,,
46,"('4736泰博', 7)",5871中租-KY,6166凌華,3005神基,2614東森,1723中碳,6274台燿,8069元太,,,2002中鋼,2344華邦電,3450聯鈞,2347聯強,6269台郡,,,,,,
47,"('3014聯陽', 7)",3324雙鴻,1598岱宇,4904遠傳,1614三洋電,8926台汽電,9941裕融,3533嘉澤,,,1604聲寶,2609陽明,8069元太,1319東陽,1537廣隆,,,,,,
48,"('5289宜鼎', 7)",8464億豐,5871中租-KY,5371中光電,8464億豐,6274台燿,3653健策,6213聯茂,,,5347世界,6182合晶,1201味全,5471松翰,5876上海商銀,,,,,,
49,"('4506崇友', 7)",2347聯強,8464億豐,2520冠德,1560中砂,1477聚陽,6285啟碁,2449京元電子,,,8358金居,3006晶豪科,9910豐泰,5306桂盟,8039台虹,,,,,,
50,"('2337旺宏', 7)",8070長華*,5471松翰,2106建大,1319東陽,3529力旺,6531愛普,2015豐興,,,2850新產,2393億光,2015豐興,2707晶華,5880合庫金,,,,,,
51,"('5425台半', 7)",5471松翰,5306桂盟,2227裕日車,3059華晶科,5007三星,8415大國鋼,1477聚陽,,,3023信邦,2637慧洋-KY,1582信錦,3045台灣大,1419新紡,,,,,,
52,"('2373震旦行', 7)",5306桂盟,2379瑞昱,6284佳邦,2801彰銀,6191精成科,2059川湖,1210大成,,,6188廣明,2031新光鋼,3152璟德,2884玉山金,6643M31,,,,,,
53,"('1590亞德客-KY', 7)",2379瑞昱,2707晶華,9941裕融,3045台灣大,9925新保,2368金像電,9917中保科,,,2344華邦電,2615萬海,2489瑞軒,2356英業達,5534長虹,,,,,,
54,"('2327國巨', 7)",2707晶華,6415矽力-KY,2548華固,2884玉山金,2451創見,6412群電,2915潤泰全,,,3036文曄,2027大成鋼,6023元大期,8046南電,5530龍巖,,,,,,
55,"('6412群電', 7)",6173信昌電,1736喬山,9908大台北,2059川湖,3030德律,6446藥華藥,1314中石化,,,2035唐榮,,2412中華電,6415矽力-KY,3376新日興,,,,,,
56,"('6285啟碁', 7)",8131福懋科,4107邦特,5289宜鼎,8046南電,8086宏捷科,3376新日興,3576聯合再生,,,5274信驊,,2324仁寶,2890永豐金,2903遠百,,,,,,
57,"('2481強茂', 7)",3045台灣大,2524京城,9904寶成,6415矽力-KY,5269祥碩,6510精測,3189景碩,,,6803崑鼎,,4438廣越,2353宏碁,1103嘉泥,,,,,,
58,"('5388中磊', 7)",4927泰鼎-KY,6472保瑞,6412群電,1536和大,1229聯華,2392正崴,6278台表科,,,3006晶豪科,,9945潤泰新,6732昇佳電子,2104國際中橡,,,,,,
59,"('6146耕興', 7)",6415矽力-KY,2388威盛,2455全新,1773勝一,3450聯鈞,2548華固,1904正隆,,,2393億光,,1714和桐,2313華通,8462柏文,,,,,,
60,"('1723中碳', 7)",2383台光電,9943好樂迪,2883開發金,6409旭隼,8069元太,6414樺漢,6274台燿,,,2637慧洋-KY,,5388中磊,2458義隆,3005神基,,,,,,
61,"('2401凌陽', 7)",4107邦特,8081致新,5243乙盛-KY,1711永光,5483中美晶,5530龍巖,9941裕融,,,1216統一,,3228金麗科,2881富邦金,4904遠傳,,,,,,
62,"('4919新唐', 7)",6472保瑞,8422可寧衛,5457宣德,1444力麗,1305華夏,5434崇越,3665貿聯-KY,,,2368金像電,,2515中工,1773勝一,5371中光電,,,,,,
63,"('2421建準', 7)",6121新普,3131弘塑,2855統一證,8908欣雄,3530晶相光,6182合晶,4123晟德,,,3653健策,,9917中保科,2010春源,2520冠德,,,,,,
64,"('2607榮運', 7)",2313華通,1565精華,1723中碳,3016嘉晶,3217優群,9940信義,3653健策,,,3189景碩,,3090日電貿,1326台化,2106建大,,,,,,
65,"('2412中華電', 7)",8081致新,3022威強電,8926台汽電,4576大銀微系統,2015豐興,6196帆宣,2849安泰銀,,,2027大成鋼,,2892第一金,1444力麗,2208台船,,,,,,
66,"('1201味全', 7)",8422可寧衛,2458義隆,8255朋程,6756威鋒電子,3152璟德,2607榮運,6285啟碁,,,,,3406玉晶光,2367燿華,2545皇翔,,,,,,
67,"('2884玉山金', 7)",3131弘塑,1702南僑,6274台燿,4105東洋,2412中華電,2373震旦行,2606裕民,,,,,3260威剛,2408南亞科,6284佳邦,,,,,,
68,"('5508永信建', 7)",1565精華,6409旭隼,3529力旺,2330台積電,1513中興電,3016嘉晶,9933中鼎,,,,,2382廣達,8942森鉅,1609大亞,,,,,,
69,"('6223旺矽', 7)",2458義隆,8016矽創,5007三星,2351順德,9945潤泰新,2362藍天,8415大國鋼,,,,,6180橘子,6706惠特,9941裕融,,,,,,
70,"('2603長榮', 7)",1702南僑,4157太景*-KY,1315達新,2395研華,2539櫻花建,6153嘉聯益,2059川湖,,,,,4958臻鼎-KY,6531愛普,2548華固,,,,,,
71,"('9908大台北', 7)",6409旭隼,5287數字,6191精成科,6706惠特,1440南紡,3680家登,2368金像電,,,,,3380明泰,2534宏盛,9908大台北,,,,,,
72,"('8299群聯', 7)",8016矽創,2408南亞科,9925新保,3443創意,9917中保科,5388中磊,2451創見,,,,,2547日勝生,4532瑞智,5289宜鼎,,,,,,
73,"('3016嘉晶', 7)",3044健鼎,4137麗豐-KY,2451創見,6491晶碩,8150南茂,8070長華*,2634漢翔,,,,,2607榮運,2882國泰金,2332友訊,,,,,,
74,"('4536拓凱', 7)",1227佳格,2449京元電子,2421建準,3533嘉澤,3406玉晶光,3515華擎,1909榮成,,,,,6504南六,2337旺宏,9904寶成,,,,,,
75,"('2449京元電子', 7)",2352佳世達,4105東洋,2897王道銀行,9933中鼎,5478智冠,3324雙鴻,1440南紡,,,,,2360致茂,2542興富發,6412群電,,,,,,
76,"('2618長榮航', 7)",8908欣雄,6146耕興,3030德律,6561是方,8917欣泰,1215卜蜂,1723中碳,,,,,2727王品,9933中鼎,2455全新,,,,,,
77,"('3081聯亞', 7)",5287數字,2540愛山林,2357華碩,3035智原,1308亞聚,3673TPK-KY,2023燁輝,,,,,4919新唐,2603長榮,2883開發金,,,,,,
78,"('9940信義', 7)",4137麗豐-KY,2330台積電,8086宏捷科,5903全家,3042晶技,2511太子,6510精測,,,,,2354鴻準,3035智原,5243乙盛-KY,,,,,,
79,"('2395研華', 7)",1210大成,2395研華,2888新光金,1590亞德客-KY,2607榮運,9907統一實,1313聯成,,,,,2618長榮航,2889國票金,5457宣德,,,,,,
80,"('2301光寶科', 7)",4105東洋,3443創意,5269祥碩,3532台勝科,3661世芯-KY,6443元晶,2548華固,,,,,6166凌華,1303南亞,2855統一證,,,,,,
81,"('2015豐興', 7)",2441超豐,3563牧德,2377微星,5425台半,8210勤誠,2332友訊,4142國光生,,,,,2597潤弘,5425台半,1723中碳,,,,,,
82,"('5471松翰', 7)",6146耕興,4174浩鼎,2376技嘉,8406金可-KY,2360致茂,6230超眾,3017奇鋐,,,,,3324雙鴻,4938和碩,8926台汽電,,,,,,
83,"('2313華通', 7)",2330台積電,2534宏盛,1229聯華,2009第一銅,2633台灣高鐵,2637慧洋-KY,6414樺漢,,,,,8464億豐,2034允強,8255朋程,,,,,,
