,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-06-30),連續三年EPS均大於0且近一季EPS也大於0(2021-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-06-30),近6月累積營收年增率連2個月增加(2021-10-10),近12月累積營收年增率連2個月增加(2021-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-06-30),ROE連續三季成長，且近一季ROE>10%(2021-09-30),毛利率連續三季成長，且近一季毛利率>25%(2021-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8016矽創', 10)",9917中保科,9917中保科,9917中保科,1319東陽,9917中保科,6505台塑化,6505台塑化,1402遠東新,1319東陽,3481群創,8299群聯,,1532勤美,9917中保科,2108南帝,1598岱宇,9945潤泰新,3105穩懋,2428興勤,
1,"('5347世界', 10)",5306桂盟,5306桂盟,5306桂盟,5269祥碩,5306桂盟,1301台塑,2412中華電,1434福懋,3552同致,2002中鋼,1907永豐餘,,8255朋程,5306桂盟,4968立積,2301光寶科,8069元太,6414樺漢,,
2,"('3653健策', 9)",2313華通,4174浩鼎,4935茂林-KY,3552同致,8039台虹,2303聯電,1301台塑,2324仁寶,6177達麗,1303南亞,3481群創,,1304台聚,4935茂林-KY,3653健策,2323中環,5522遠雄,5534長虹,,
3,"('2455全新', 9)",2377微星,5269祥碩,2313華通,6271同欣電,2368金像電,1303南亞,2303聯電,2534宏盛,8255朋程,1723中碳,1303南亞,,2912統一超,2313華通,2915潤泰全,2324仁寶,2458義隆,1565精華,,
4,"('5425台半', 9)",5269祥碩,6177達麗,8039台虹,8255朋程,6451訊芯-KY,1326台化,1303南亞,2704國賓,3481群創,2454聯發科,8942森鉅,,2454聯發科,8039台虹,3035智原,2330台積電,2059川湖,1310台苯,,
5,"('6488環球晶', 9)",8299群聯,1216統一,2368金像電,1536和大,3264欣銓,2002中鋼,1326台化,2820華票,2002中鋼,2375凱美,2454聯發科,,3706神達,2368金像電,2881富邦金,2340光磊,2368金像電,4107邦特,,
6,"('8086宏捷科', 8)",8070長華*,6472保瑞,6451訊芯-KY,2059川湖,5269祥碩,3045台灣大,2002中鋼,2915潤泰全,1536和大,9938百和,5471松翰,,9941裕融,6451訊芯-KY,2027大成鋼,2354鴻準,2498宏達電,,,
7,"('5007三星', 8)",2597潤弘,8255朋程,2377微星,3529力旺,8299群聯,2884玉山金,1216統一,5530龍巖,2355敬鵬,8046南電,1903士紙,,2102泰豐,2377微星,6548長科*,2356英業達,3017奇鋐,,,
8,"('2458義隆', 8)",1216統一,4506崇友,1319東陽,3037欣興,6271同欣電,6488環球晶,3711日月光投控,9945潤泰新,4157太景*-KY,8150南茂,2511太子,,5471松翰,1319東陽,2498宏達電,2357華碩,4968立積,,,
9,"('6548長科*', 8)",4915致伸,3529力旺,5269祥碩,3105穩懋,2204中華,2892第一金,3045台灣大,,2231為升,4961天鈺,8081致新,,3653健策,3264欣銓,2458義隆,2363矽統,2014中鴻,,,
10,"('2915潤泰全', 8)",9937全國,8406金可-KY,8299群聯,1519華城,1907永豐餘,2408南亞科,2884玉山金,,1903士紙,2027大成鋼,9904寶成,,2704國賓,4174浩鼎,2883開發金,2382廣達,5530龍巖,,,
11,"('3152璟德', 8)",6472保瑞,2428興勤,6271同欣電,1789神隆,6472保瑞,2880華南金,6488環球晶,,1909榮成,8016矽創,2327國巨,,6510精測,5269祥碩,6411晶焱,2401凌陽,3596智易,,,
12,"('2454聯發科', 8)",4506崇友,2408南亞科,6177達麗,6561是方,4506崇友,5871中租-KY,2892第一金,,2104國際中橡,2014中鴻,2603長榮,,6153嘉聯益,2547日勝生,2481強茂,2454聯發科,5388中磊,,,
13,"('4105東洋', 8)",3529力旺,3005神基,8070長華*,2912統一超,2059川湖,3034聯詠,2408南亞科,,1305華夏,2103台橡,2379瑞昱,,6176瑞儀,8299群聯,,2455全新,5371中光電,,,
14,"('3035智原', 8)",2428興勤,2540愛山林,2597潤弘,2614東森,3529力旺,5347世界,2395研華,,6244茂迪,8112至上,8046南電,,3376新日興,3552同致,,2456奇力新,5007三星,,,
15,"('2534宏盛', 8)",3005神基,2492華新科,1310台苯,1723中碳,1303南亞,2801彰銀,2880華南金,,1314中石化,8404百和興業-KY,2609陽明,,2849安泰銀,6271同欣電,,2542興富發,2913農林,,,
16,"('9945潤泰新', 8)",2492華新科,3030德律,1532勤美,8917欣泰,8406金可-KY,2603長榮,3034聯詠,,1710東聯,6582申豐,3034聯詠,,1507永大,6177達麗,,2812台中銀,2031新光鋼,,,
17,"('8255朋程', 8)",9914美利達,3105穩懋,2010春源,2231為升,8942森鉅,1402遠東新,4904遠傳,,2027大成鋼,2637慧洋-KY,4961天鈺,,2891中信金,8070長華*,,2891中信金,5478智冠,,,
18,"('1565精華', 8)",3030德律,1789神隆,1216統一,2330台積電,2428興勤,3105穩懋,5347世界,,1307三芳,5347世界,2027大成鋼,,3035智原,2597潤弘,,2912統一超,9911櫻花,,,
19,"('3049和鑫', 8)",2108南帝,6561是方,2331精英,3653健策,2408南亞科,2887台新金,2801彰銀,,6605帝寶,1773勝一,8016矽創,,1604聲寶,1310台苯,,3016嘉晶,6541泰福-KY,,,
20,"('2401凌陽', 8)",3105穩懋,6464台數科,4915致伸,8086宏捷科,3005神基,3037欣興,2603長榮,,2035唐榮,2351順德,6531愛普,,3023信邦,1532勤美,,3034聯詠,2704國賓,,,
21,"('8069元太', 8)",6561是方,4968立積,2489瑞軒,6510精測,1304台聚,2615萬海,2345智邦,,2014中鴻,5007三星,2474可成,,6706惠特,2010春源,,3227原相,8908欣雄,,,
22,"('3105穩懋', 8)",4968立積,2912統一超,2387精元,8341日友,2540愛山林,2344華邦電,1402遠東新,,6533晶心科,2409友達,1808潤隆,,6488環球晶,1216統一,,3260威剛,2401凌陽,,,
23,"('1301台塑', 7)",2912統一超,6223旺矽,9937全國,6751智聯服務,2492華新科,5483中美晶,2409友達,,1802台玻,8415大國鋼,2539櫻花建,,6230超眾,3406玉晶光,,3264欣銓,1110東泥,,,
24,"('3045台灣大', 7)",1582信錦,2614東森,5820日盛金,3443創意,9914美利達,8454富邦媒,1102亞泥,,2637慧洋-KY,8454富邦媒,1802台玻,,1722台肥,2331精英,,3380明泰,8210勤誠,,,
25,"('6182合晶', 7)",1232大統益,2454聯發科,2352佳世達,2515中工,3030德律,4743合一,2887台新金,,3228金麗科,2347聯強,2376技嘉,,1560中砂,1313聯成,,3443創意,,,,
26,"('8454富邦媒', 7)",6279胡連,2545皇翔,1907永豐餘,8044網家,2108南帝,2337旺宏,3481群創,,2409友達,8069元太,2637慧洋-KY,,2823中壽,4915致伸,,3673TPK-KY,,,,
27,"('8415大國鋼', 7)",8917欣泰,4157太景*-KY,6472保瑞,1507永大,3105穩懋,6239力成,3037欣興,,3049和鑫,2451創見,2534宏盛,,2356英業達,5534長虹,,3702大聯大,,,,
28,"('2912統一超', 7)",9941裕融,6279胡連,8255朋程,5903全家,1789神隆,2834臺企銀,2049上銀,,1301台塑,3152璟德,2498宏達電,,3034聯詠,2204中華,,4105東洋,,,,
29,"('1434福懋', 7)",2330台積電,5478智冠,4506崇友,2607榮運,6561是方,8299群聯,2301光寶科,,6116彩晶,3545敦泰,5347世界,,6669緯穎,2489瑞軒,,5306桂盟,,,,
30,"('9938百和', 7)",3665貿聯-KY,2231為升,2002中鋼,3035智原,6464台數科,2610華航,1476儒鴻,,6505台塑化,,6202盛群,,2207和泰車,2387精元,,5388中磊,,,,
31,"('2498宏達電', 7)",5471松翰,6576逸達,1536和大,2412中華電,4968立積,2618長榮航,2615萬海,,2023燁輝,,1308亞聚,,8210勤誠,1103嘉泥,,6120達運,,,,
32,"('6415矽力-KY', 7)",3653健策,9941裕融,3529力旺,1711永光,6223旺矽,3406玉晶光,2344華邦電,,1440南紡,,2409友達,,9945潤泰新,9937全國,,6147頎邦,,,,
33,"('2395研華', 7)",9943好樂迪,2330台積電,1303南亞,6756威鋒電子,1723中碳,1605華新,5483中美晶,,4438廣越,,3049和鑫,,2474可成,5820日盛金,,6196帆宣,,,,
34,"('3443創意', 7)",8086宏捷科,5471松翰,8406金可-KY,9802鈺齊-KY,2454聯發科,9945潤泰新,2324仁寶,,,,1301台塑,,2201裕隆,2352佳世達,,6257矽格,,,,
35,"('8299群聯', 7)",6803崑鼎,1201味全,2428興勤,3023信邦,2545皇翔,2609陽明,9904寶成,,,,2303聯電,,4927泰鼎-KY,1907永豐餘,,6271同欣電,,,,
36,"('2451創見', 7)",8341日友,9943好樂迪,2408南亞科,6706惠特,6279胡連,1504東元,8454富邦媒,,,,8415大國鋼,,2353宏碁,6472保瑞,,6285啟碁,,,,
37,"('1303南亞', 7)",6176瑞儀,8086宏捷科,3037欣興,3450聯鈞,8917欣泰,1229聯華,4743合一,,,,2401凌陽,,2809京城銀,8255朋程,,6415矽力-KY,,,,
38,"('5471松翰', 7)",8131福懋科,6510精測,3005神基,6488環球晶,5478智冠,2383台光電,2347聯強,,,,2458義隆,,5876上海商銀,3481群創,,6548長科*,,,,
39,"('3563牧德', 7)",3443創意,8341日友,1304台聚,2395研華,9941裕融,1434福懋,2337旺宏,,,,2451創見,,2838聯邦銀,3703欣陸,,8016矽創,,,,
40,"('2428興勤', 7)",1227佳格,3443創意,2540愛山林,6230超眾,2330台積電,2027大成鋼,6239力成,,,,2615萬海,,5530龍巖,4506崇友,,8406金可-KY,,,,
41,"('2027大成鋼', 7)",1707葡萄王,1227佳格,2492華新科,1722台肥,1312國喬,5522遠雄,2834臺企銀,,,,2344華邦電,,5880合庫金,2002中鋼,,8926台汽電,,,,
42,"('2330台積電', 7)",2360致茂,1707葡萄王,2355敬鵬,6415矽力-KY,2375凱美,6147頎邦,9914美利達,,,,3152璟德,,2498宏達電,1536和大,,9933中鼎,,,,
43,"('4968立積', 7)",2850新產,2360致茂,9914美利達,8046南電,2548華固,3443創意,6121新普,,,,6182合晶,,3017奇鋐,2059川湖,,,,,,
44,"('1723中碳', 7)",6504南六,4123晟德,3030德律,9910豐泰,5471松翰,2449京元電子,8299群聯,,,,2441超豐,,2884玉山金,3529力旺,,,,,,
45,"('4904遠傳', 7)",9911櫻花,2337旺宏,2108南帝,3380明泰,3653健策,1210大成,2610華航,,,,3545敦泰,,2892第一金,1303南亞,,,,,,
46,"('8908欣雄', 7)",5903全家,2915潤泰全,2905三商,3019亞光,8086宏捷科,2915潤泰全,2385群光,,,,2481強茂,,2812台中銀,8406金可-KY,,,,,,
47,"('6411晶焱', 7)",8436大江,9911櫻花,3105穩懋,8358金居,3374精材,1314中石化,2618長榮航,,,,,,4743合一,8942森鉅,,,,,,
48,"('9941裕融', 7)",2301光寶科,5903全家,1519華城,8908欣雄,6510精測,3189景碩,1605華新,,,,,,2633台灣高鐵,2428興勤,,,,,,
49,"('1476儒鴻', 7)",8081致新,3035智原,1789神隆,6579研揚,6803崑鼎,6278台表科,3044健鼎,,,,,,1402遠東新,2408南亞科,,,,,,
50,"('1707葡萄王', 7)",5388中磊,2412中華電,2908特力,2207和泰車,8341日友,6732昇佳電子,9945潤泰新,,,,,,9921巨大,3037欣興,,,,,,
51,"('5530龍巖', 7)",1604聲寶,8436大江,6561是方,9933中鼎,6176瑞儀,6274台燿,2609陽明,,,,,,3049和鑫,3005神基,,,,,,
52,"('2441超豐', 7)",9940信義,8081致新,6464台數科,4576大銀微系統,3376新日興,4123晟德,1504東元,,,,,,2371大同,1304台聚,,,,,,
53,"('5483中美晶', 7)",1101台泥,9940信義,4968立積,6531愛普,8131福懋科,3653健策,1229聯華,,,,,,2323中環,2540愛山林,,,,,,
54,"('3034聯詠', 7)",3023信邦,1598岱宇,2912統一超,1419新紡,1227佳格,2441超豐,1802台玻,,,,,,2897王道銀行,2492華新科,,,,,,
55,"('3023信邦', 7)",1215卜蜂,1101台泥,6223旺矽,1808潤隆,1707葡萄王,2849安泰銀,2383台光電,,,,,,1434福懋,2355敬鵬,,,,,,
56,"('2014中鴻', 7)",3227原相,3023信邦,2614東森,3532台勝科,2360致茂,6531愛普,1722台肥,,,,,,5425台半,9914美利達,,,,,,
57,"('2449京元電子', 6)",3533嘉澤,3227原相,1723中碳,4919新唐,4123晟德,2606裕民,1434福懋,,,,,,8069元太,4142國光生,,,,,,
58,"('2231為升', 6)",3036文曄,3533嘉澤,2454聯發科,3081聯亞,5522遠雄,8415大國鋼,2027大成鋼,,,,,,3217優群,3030德律,,,,,,
59,"('2002中鋼', 6)",5457宣德,6277宏正,1582信錦,2455全新,2337旺宏,2059川湖,3533嘉澤,,,,,,3189景碩,2108南帝,,,,,,
60,"('2481強茂', 6)",2385群光,2913農林,4532瑞智,6548長科*,2915潤泰全,4128中天,5820日盛金,,,,,,2890永豐金,2905三商,,,,,,
61,"('6472保瑞', 6)",2421建準,9938百和,2605新興,1477聚陽,9911櫻花,2451創見,6213聯茂,,,,,,1229聯華,3105穩懋,,,,,,
62,"('1590亞德客-KY', 6)",6121新普,2327國巨,2545皇翔,2049上銀,2607榮運,2634漢翔,1717長興,,,,,,,1519華城,,,,,,
63,"('2637慧洋-KY', 6)",6277宏正,6488環球晶,3706神達,6166凌華,2412中華電,1536和大,6147頎邦,,,,,,,1789神隆,,,,,,
64,"('2340光磊', 6)",9938百和,2395研華,1232大統益,5904寶雅,8436大江,8086宏捷科,1907永豐餘,,,,,,,2908特力,,,,,,
65,"('5388中磊', 6)",6414樺漢,8462柏文,6279胡連,2328廣宇,6147頎邦,1503士電,2449京元電子,,,,,,,6561是方,,,,,,
66,"('8210勤誠', 6)",2327國巨,2379瑞昱,2034允強,5347世界,8081致新,2388威盛,2015豐興,,,,,,,6464台數科,,,,,,
67,"('8131福懋科', 6)",1515力山,6415矽力-KY,8917欣泰,1785光洋科,6756威鋒電子,1440南紡,6269台郡,,,,,,,4968立積,,,,,,
68,"('1229聯華', 6)",6488環球晶,1565精華,5478智冠,3661世芯-KY,1604聲寶,1723中碳,1210大成,,,,,,,2912統一超,,,,,,
69,"('6146耕興', 6)",2395研華,2340光磊,2231為升,2707晶華,9940信義,2023燁輝,9917中保科,,,,,,,6223旺矽,,,,,,
70,"('2351順德', 6)",8462柏文,2449京元電子,2845遠東銀,8926台汽電,1101台泥,8150南茂,2915潤泰全,,,,,,,2614東森,,,,,,
71,"('5306桂盟', 6)",2379瑞昱,1702南僑,2820華票,2633台灣高鐵,3023信邦,2498宏達電,1314中石化,,,,,,,1723中碳,,,,,,
72,"('6533晶心科', 6)",6230超眾,4107邦特,1409新纖,3218大學光,3227原相,2548華固,3576聯合再生,,,,,,,2454聯發科,,,,,,
73,"('4736泰博', 6)",6173信昌電,1102亞泥,9941裕融,2351順德,3533嘉澤,1707葡萄王,2006東和鋼鐵,,,,,,,1582信錦,,,,,,
74,"('1722台肥', 6)",6415矽力-KY,6579研揚,2330台積電,2101南港,3008大立光,1409新纖,3189景碩,,,,,,,4532瑞智,,,,,,
75,"('4966譜瑞-KY', 6)",2227裕日車,1795美時,1312國喬,2308台達電,2520冠德,1319東陽,6278台表科,,,,,,,2605新興,,,,,,
76,"('8341日友', 6)",9910豐泰,8422可寧衛,6284佳邦,5007三星,5457宣德,2014中鴻,1904正隆,,,,,,,2545皇翔,,,,,,
77,"('4536拓凱', 6)",1565精華,1736喬山,2375凱美,1590亞德客-KY,3042晶技,5434崇越,6274台燿,,,,,,,4157太景*-KY,,,,,,
78,"('6409旭隼', 6)",1702南僑,1256鮮活果汁-KY,6023元大期,3228金麗科,6277宏正,6196帆宣,9941裕融,,,,,,,1589永冠-KY,,,,,,
79,"('2059川湖', 6)",6274台燿,8016矽創,3665貿聯-KY,4904遠傳,1305華夏,2607榮運,3036文曄,,,,,,,3706神達,,,,,,
80,"('2108南帝', 6)",2015豐興,2332友訊,2548華固,2801彰銀,9938百和,3016嘉晶,4123晟德,,,,,,,1232大統益,,,,,,
81,"('2379瑞昱', 6)",3324雙鴻,1419新紡,2855統一證,2401凌陽,6706惠特,6548長科*,3653健策,,,,,,,6279胡連,,,,,,
82,"('1305華夏', 6)",4107邦特,4919新唐,3673TPK-KY,4167松瑞藥,9958世紀鋼,2455全新,2106建大,,,,,,,2034允強,,,,,,
83,"('1402遠東新', 6)",8908欣雄,2542興富發,5471松翰,1110東泥,3680家登,1773勝一,2441超豐,,,,,,,8917欣泰,,,,,,
84,"('2633台灣高鐵', 6)",2207和泰車,3081聯亞,1201味全,5274信驊,2327國巨,6257矽格,2439美律,,,,,,,5478智冠,,,,,,
85,"('6177達麗', 6)",2383台光電,2455全新,3653健策,1434福懋,2603長榮,8070長華*,2849安泰銀,,,,,,,2231為升,,,,,,
86,"('2383台光電', 6)",8210勤誠,3022威強電,8086宏捷科,5425台半,3450聯鈞,3545敦泰,6285啟碁,,,,,,,2845遠東銀,,,,,,
