,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-09-30),連續三年EPS均大於0且近一季EPS也大於0(2021-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-09-30),近6月累積營收年增率連2個月增加(2021-11-10),近12月累積營收年增率連2個月增加(2021-11-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-09-30),ROE連續三季成長，且近一季ROE>10%(2021-09-30),毛利率連續三季成長，且近一季毛利率>25%(2021-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('5347世界', 11)",6803崑鼎,1102亞泥,1102亞泥,4576大銀微系統,1102亞泥,6505台塑化,6505台塑化,1402遠東新,1444力麗,6803崑鼎,2454聯發科,2454聯發科,1303南亞,1102亞泥,2883開發金,1308亞聚,2330台積電,2317鴻海,1536和大,
1,"('8086宏捷科', 11)",5457宣德,2454聯發科,6803崑鼎,8069元太,6803崑鼎,2303聯電,1301台塑,1444力麗,6547高端疫苗,2454聯發科,4736泰博,1714和桐,6182合晶,6803崑鼎,3035智原,1590亞德客-KY,2412中華電,2474可成,9958世紀鋼,
2,"('5483中美晶', 10)",6269台郡,8069元太,1904正隆,1444力麗,2454聯發科,3008大立光,1303南亞,1504東元,6589台康生技,8150南茂,6182合晶,3413京鼎,2377微星,1904正隆,3037欣興,1609大亞,2308台達電,2615萬海,,
3,"('5274信驊', 10)",4736泰博,4736泰博,2454聯發科,6182合晶,8150南茂,2002中鋼,1326台化,1532勤美,4414如興,6756威鋒電子,4128中天,8069元太,6271同欣電,2454聯發科,3707漢磊,1710東聯,1301台塑,1802台玻,,
4,"('3653健策', 10)",6456GIS-KY,6182合晶,1714和桐,6756威鋒電子,3413京鼎,2891中信金,3008大立光,1907永豐餘,6533晶心科,3131弘塑,6756威鋒電子,5457宣德,6285啟碁,1714和桐,3661世芯-KY,1714和桐,1303南亞,5820日盛金,,
5,"('4966譜瑞-KY', 10)",2015豐興,2923鼎固-KY,8150南茂,8464億豐,1303南亞,3045台灣大,2886兆豐金,2239英利-KY,3016嘉晶,6223旺矽,6415矽力-KY,4736泰博,3532台勝科,8150南茂,8046南電,1723中碳,1326台化,6213聯茂,,
6,"('8046南電', 10)",8464億豐,8464億豐,1303南亞,6415矽力-KY,8069元太,2408南亞科,2002中鋼,2312金寶,1710東聯,2441超豐,2049上銀,6182合晶,5483中美晶,3413京鼎,,1736喬山,2886兆豐金,3576聯合再生,,
7,"('6182合晶', 10)",6415矽力-KY,6415矽力-KY,8069元太,8454富邦媒,5457宣德,2395研華,2891中信金,2317鴻海,2618長榮航,2353宏碁,9908大台北,4128中天,2888新光金,1303南亞,,1802台玻,1216統一,2204中華,,
8,"('3035智原', 10)",2377微星,1795美時,2323中環,6271同欣電,6269台郡,4904遠傳,3045台灣大,2323中環,2539櫻花建,2347聯強,2615萬海,8462柏文,3152璟德,4576大銀微系統,,1905華紙,3045台灣大,4174浩鼎,,
9,"('2408南亞科', 10)",8454富邦媒,5871中租-KY,5457宣德,2009第一銅,4736泰博,5347世界,2884玉山金,2324仁寶,3707漢磊,2368金像電,2441超豐,2892第一金,8926台汽電,8069元太,,2103台橡,2207和泰車,2723美食-KY,,
10,"('9941裕融', 10)",5871中租-KY,5483中美晶,6269台郡,2049上銀,6182合晶,2801彰銀,6488環球晶,2352佳世達,4142國光生,3450聯鈞,6531愛普,2015豐興,3443創意,2323中環,,2303聯電,2884玉山金,8926台汽電,,
11,"('3045台灣大', 9)",5483中美晶,1702南僑,2881富邦金,2421建準,2015豐興,4938和碩,5880合庫金,2354鴻準,2501國建,8070長華*,8942森鉅,8464億豐,2353宏碁,1444力麗,,2313華通,2912統一超,9802鈺齊-KY,,
12,"('4904遠傳', 9)",6213聯茂,3131弘塑,4736泰博,6285啟碁,2605新興,2603長榮,2408南亞科,2355敬鵬,2103台橡,8081致新,2609陽明,2883開發金,2809京城銀,5457宣德,,2354鴻準,2892第一金,6491晶碩,,
13,"('5287數字', 9)",1702南僑,6223旺矽,6182合晶,3532台勝科,6756威鋒電子,1402遠東新,2395研華,2363矽統,1903士紙,2375凱美,8081致新,6271同欣電,1326台化,6269台郡,,2379瑞昱,5880合庫金,3218大學光,,
14,"('6409旭隼', 9)",3131弘塑,6279胡連,2845遠東銀,1722台肥,8464億豐,3105穩懋,1101台泥,2409友達,1314中石化,2481強茂,6173信昌電,6285啟碁,2609陽明,2881富邦金,,2401凌陽,2395研華,1710東聯,,
15,"('8422可寧衛', 9)",8112至上,9943好樂迪,6456GIS-KY,9908大台北,6415矽力-KY,3037欣興,3034聯詠,2474可成,,2379瑞昱,2498宏達電,3532台勝科,1301台塑,4736泰博,,2478大毅,2885元大金,2913農林,,
