,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-08-10),近12月累積營收年增率連2個月增加(2022-08-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('1560中砂', 11)",4506崇友,4506崇友,4506崇友,9908大台北,4506崇友,2317鴻海,2317鴻海,1315達新,6443元晶,1537廣隆,2607榮運,4506崇友,2313華通,4506崇友,3680家登,1513中興電,2207和泰車,6547高端疫苗,4157太景*-KY,
1,"('6472保瑞', 9)",6146耕興,6146耕興,1308亞聚,3380明泰,2103台橡,2303聯電,2303聯電,1326台化,8462柏文,9802鈺齊-KY,9925新保,6669緯穎,3014聯陽,2103台橡,3035智原,1536和大,2327國巨,,,
2,"('6643M31', 9)",6669緯穎,2455全新,6146耕興,2884玉山金,1308亞聚,3023信邦,6412群電,1402遠東新,1519華城,9910豐泰,2395研華,1515力山,6121新普,1308亞聚,2458義隆,1560中砂,5871中租-KY,,,
3,"('8069元太', 9)",2455全新,2360致茂,1723中碳,1227佳格,6146耕興,6412群電,6510精測,1409新纖,2367燿華,3035智原,2330台積電,2313華通,6269台郡,6146耕興,3691碩禾,2371大同,1476儒鴻,,,
4,"('2458義隆', 8)",2313華通,3014聯陽,6669緯穎,3680家登,2049上銀,3673TPK-KY,2548華固,2204中華,2618長榮航,1476儒鴻,1419新紡,3380明泰,1227佳格,2049上銀,9941裕融,2412中華電,2492華新科,,,
5,"('2327國巨', 8)",2360致茂,2337旺宏,3049和鑫,2231為升,1723中碳,3380明泰,3673TPK-KY,2239英利-KY,2539櫻花建,2330台積電,2303聯電,6443元晶,9802鈺齊-KY,1723中碳,3545敦泰,2834臺企銀,1802台玻,,,
6,"('3035智原', 8)",3014聯陽,5871中租-KY,2455全新,2912統一超,3049和鑫,6643M31,2511太子,2324仁寶,2388威盛,8404百和興業-KY,2498宏達電,1589永冠-KY,5876上海商銀,6669緯穎,6582申豐,2912統一超,2923鼎固-KY,,,
7,"('3661世芯-KY', 8)",6121新普,2923鼎固-KY,6177達麗,3035智原,2455全新,6751智聯服務,3380明泰,2492華新科,6451訊芯-KY,5274信驊,8046南電,2328廣宇,1707葡萄王,1515力山,6285啟碁,3665貿聯-KY,2313華通,,,
8,"('4904遠傳', 8)",6269台郡,3680家登,2313華通,3218大學光,6177達麗,2102泰豐,6282康舒,2511太子,6576逸達,9938百和,6472保瑞,3630新鉅科,3596智易,3049和鑫,3661世芯-KY,,9917中保科,,,
9,"('5425台半', 7)",5871中租-KY,5289宜鼎,1434福懋,1229聯華,2313華通,1560中砂,6643M31,2524京城,4743合一,6670復盛應用,5347世界,1537廣隆,4142國光生,2455全新,2388威盛,,3665貿聯-KY,,,
10,"('1476儒鴻', 7)",5289宜鼎,8436大江,2360致茂,8454富邦媒,2360致茂,,6277宏正,2834臺企銀,,2449京元電子,5425台半,1714和桐,3035智原,6177達麗,3707漢磊,,2849安泰銀,,,
11,"('1789神隆', 7)",1707葡萄王,2231為升,2607榮運,2308台達電,2607榮運,,6751智聯服務,2836高雄銀,,2454聯發科,3189景碩,1609大亞,5522遠雄,2313華通,,,1536和大,,,
