,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-12-31),連續三年EPS均大於0且近一季EPS也大於0(2021-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-12-31),近6月累積營收年增率連2個月增加(2022-04-10),近12月累積營收年增率連2個月增加(2022-04-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-12-31),ROE連續三季成長，且近一季ROE>10%(2021-12-31),毛利率連續三季成長，且近一季毛利率>25%(2021-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8341日友', 10)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1104環泥,3552同致,2454聯發科,2454聯發科,,1504東元,2454聯發科,,2201裕隆,1227佳格,5903全家,3034聯詠,
1,"('5274信驊', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2308台達電,6505台塑化,1234黑松,6166凌華,9933中鼎,8942森鉅,,3443創意,3630新鉅科,,2382廣達,1504東元,5904寶雅,4968立積,
2,"('2605新興', 9)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2303聯電,2303聯電,1504東元,2545皇翔,3035智原,2614東森,,3533嘉澤,8942森鉅,,2542興富發,2027大成鋼,2006東和鋼鐵,,
3,"('5347世界', 9)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2881富邦金,2891中信金,1589永冠-KY,3680家登,6510精測,1560中砂,,2634漢翔,1504東元,,2603長榮,1210大成,4128中天,,
4,"('6488環球晶', 9)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,1216統一,2884玉山金,2312金寶,1736喬山,2610華航,2610華航,,8436大江,3596智易,,2607榮運,3682亞太電,3376新日興,,
5,"('2395研華', 9)",6239力成,3035智原,9940信義,2049上銀,2633台灣高鐵,2891中信金,6488環球晶,2331精英,2547日勝生,2015豐興,8046南電,,9958世紀鋼,3443創意,,2723美食-KY,2606裕民,5306桂盟,,
6,"('3443創意', 9)",3045台灣大,6510精測,2633台灣高鐵,3533嘉澤,5287數字,2382廣達,2395研華,2867三商壽,2605新興,8046南電,2303聯電,,2885元大金,6533晶心科,,4306炎洲,2206三陽工業,4147中裕,,
7,"('2308台達電', 8)",4551智伸科,5289宜鼎,5287數字,2614東森,8299群聯,6488環球晶,5347世界,2903遠百,5531鄉林,5388中磊,4128中天,,3665貿聯-KY,9940信義,,4904遠傳,2634漢翔,4137麗豐-KY,,
8,"('2330台積電', 8)",6213聯茂,3533嘉澤,9933中鼎,3045台灣大,6510精測,2912統一超,2801彰銀,3682亞太電,2511太子,6196帆宣,5269祥碩,,2891中信金,2633台灣高鐵,,4915致伸,3081聯亞,2239英利-KY,,
9,"('5483中美晶', 8)",3014聯陽,2614東森,3035智原,2607榮運,5289宜鼎,2395研華,4938和碩,4306炎洲,9943好樂迪,1605華新,2615萬海,,1402遠東新,5287數字,,5434崇越,1513中興電,1589永冠-KY,,
10,"('6643M31', 8)",1560中砂,1598岱宇,2845遠東銀,1560中砂,3533嘉澤,1101台泥,2887台新金,,6547高端疫苗,5274信驊,3105穩懋,,2368金像電,9933中鼎,,8039台虹,9958世紀鋼,,,
11,"('8415大國鋼', 7)",6173信昌電,4551智伸科,8299群聯,9958世紀鋼,6239力成,5347世界,3037欣興,,2331精英,1707葡萄王,8482商億-KY,,2308台達電,3035智原,,9958世紀鋼,6492生華科,,,
12,"('8069元太', 7)",6706惠特,3014聯陽,6510精測,5243乙盛-KY,2481強茂,2357華碩,6669緯穎,,6244茂迪,2637慧洋-KY,5483中美晶,,3707漢磊,2049上銀,,,1215卜蜂,,,
