,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-09-30),連續三年EPS均大於0且近一季EPS也大於0(2022-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-09-30),近6月累積營收年增率連2個月增加(2023-01-10),近12月累積營收年增率連2個月增加(2023-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-09-30),ROE連續三季成長，且近一季ROE>10%(2022-09-30),毛利率連續三季成長，且近一季毛利率>25%(2022-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2330台積電', 10)",2383台光電,5478智冠,2383台光電,2912統一超,2383台光電,3045台灣大,2412中華電,1102亞泥,2727王品,3023信邦,2330台積電,,2515中工,1444力麗,2889國票金,1101台泥,2330台積電,8046南電,2458義隆,1402遠東新
1,"('3529力旺', 9)",4927泰鼎-KY,3030德律,1723中碳,9937全國,1723中碳,2207和泰車,2308台達電,1313聯成,2501國建,9904寶成,2308台達電,,2883開發金,2515中工,3545敦泰,1301台塑,2317鴻海,2615萬海,6443元晶,6412群電
2,"('2308台達電', 9)",6669緯穎,2912統一超,2834臺企銀,3023信邦,2027大成鋼,5880合庫金,2207和泰車,1314中石化,3576聯合再生,6803崑鼎,6409旭隼,,3711日月光投控,4506崇友,1305華夏,1440南紡,2454聯發科,6176瑞儀,2331精英,5534長虹
3,"('6472保瑞', 9)",3030德律,9911櫻花,4927泰鼎-KY,1229聯華,5534長虹,1101台泥,2912統一超,1402遠東新,9958世紀鋼,2330台積電,1256鮮活果汁-KY,,2034允強,2883開發金,2201裕隆,1560中砂,6505台塑化,2313華通,4943康控-KY,8131福懋科
4,"('1256鮮活果汁-KY', 9)",2912統一超,4128中天,5478智冠,2227裕日車,5478智冠,2801彰銀,5880合庫金,1409新纖,6166凌華,2059川湖,2303聯電,,5876上海商銀,3711日月光投控,3034聯詠,1605華新,2412中華電,6456GIS-KY,4167松瑞藥,9930中聯資源
5,"('3227原相', 8)",9937全國,6411晶焱,2881富邦金,2886兆豐金,3030德律,5876上海商銀,1101台泥,1434福懋,6443元晶,1256鮮活果汁-KY,3189景碩,,8299群聯,8422可寧衛,,1609大亞,2308台達電,2439美律,,8908欣雄
6,"('2520冠德', 8)",8150南茂,2108南帝,6669緯穎,2707晶華,1301台塑,2474可成,2801彰銀,1504東元,4157太景*-KY,2303聯電,4968立積,,2027大成鋼,2704國賓,,1717長興,2303聯電,2206三陽工業,,
7,"('4551智伸科', 8)",9911櫻花,8415大國鋼,3030德律,1711永光,8150南茂,8454富邦媒,5876上海商銀,1532勤美,1307三芳,3653健策,6561是方,,2344華邦電,6472保瑞,,1785光洋科,1303南亞,4174浩鼎,,
8,"('2707晶華', 8)",3023信邦,8464億豐,9933中鼎,2634漢翔,9911櫻花,2227裕日車,2633台灣高鐵,1909榮成,4142國光生,4551智伸科,6488環球晶,,1234黑松,1609大亞,,2010春源,1326台化,5530龍巖,,
9,"('6561是方', 8)",6411晶焱,3014聯陽,1301台塑,2308台達電,3023信邦,2354鴻準,2345智邦,2010春源,9943好樂迪,9802鈺齊-KY,9908大台北,,4938和碩,6284佳邦,,2023燁輝,2881富邦金,2607榮運,,
10,"('6488環球晶', 8)",2108南帝,4919新唐,2912統一超,6409旭隼,6411晶焱,9914美利達,2474可成,2104國際中橡,6451訊芯-KY,3017奇鋐,8046南電,,6488環球晶,1532勤美,,2031新光鋼,2886兆豐金,2362藍天,,
11,"('8255朋程', 8)",8464億豐,2727王品,1503士電,1256鮮活果汁-KY,2108南帝,2371大同,5269祥碩,2204中華,2367燿華,5425台半,1476儒鴻,,9904寶成,1504東元,,2049上銀,2002中鋼,4551智伸科,,
12,"('4904遠傳', 8)",6278台表科,2344華邦電,2354鴻準,1201味全,8415大國鋼,9945潤泰新,2227裕日車,2239英利-KY,9910豐泰,8069元太,2903遠百,,2404漢唐,1722台肥,,2102泰豐,1216統一,2312金寶,,
