,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-09-30),連續三年EPS均大於0且近一季EPS也大於0(2022-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-09-30),近6月累積營收年增率連2個月增加(2022-10-10),近12月累積營收年增率連2個月增加(2022-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-09-30),ROE連續三季成長，且近一季ROE>10%(2022-09-30),毛利率連續三季成長，且近一季毛利率>25%(2022-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2395研華', 10)",2383台光電,5478智冠,2383台光電,2912統一超,2383台光電,2317鴻海,2317鴻海,1101台泥,1519華城,4919新唐,2330台積電,2834臺企銀,2881富邦金,2383台光電,2108南帝,1301台塑,3034聯詠,5522遠雄,2395研華,
1,"('8069元太', 10)",4927泰鼎-KY,3030德律,1723中碳,9937全國,1723中碳,2412中華電,2308台達電,1103嘉泥,6443元晶,8404百和興業-KY,9925新保,2103台橡,2108南帝,1723中碳,2014中鴻,1304台聚,9921巨大,2439美律,6756威鋒電子,
2,"('1560中砂', 10)",6669緯穎,2912統一超,2834臺企銀,3023信邦,2027大成鋼,2308台達電,2303聯電,1234黑松,6576逸達,2330台積電,2303聯電,5534長虹,3014聯陽,2834臺企銀,4438廣越,1308亞聚,2610華航,6146耕興,3035智原,
3,"('6488環球晶', 9)",3030德律,9911櫻花,4927泰鼎-KY,2227裕日車,2103台橡,2303聯電,3008大立光,1315達新,6451訊芯-KY,3705永信,3189景碩,6669緯穎,2727王品,2027大成鋼,3545敦泰,1402遠東新,2618長榮航,5534長虹,,
4,"('6643M31', 9)",2912統一超,4128中天,5478智冠,1582信錦,5534長虹,3008大立光,1216統一,1409新纖,2367燿華,2449京元電子,2524京城,1503士電,2031新光鋼,2103台橡,2409友達,1409新纖,6531愛普,1232大統益,,
5,"('2308台達電', 9)",9937全國,3023信邦,2881富邦金,1711永光,5478智冠,1216統一,2891中信金,1532勤美,8462柏文,5274信驊,5508永信建,9937全國,2104國際中橡,5534長虹,3661世芯-KY,1476儒鴻,2451創見,9907統一實,,
6,"('3443創意', 9)",8150南茂,6411晶焱,6669緯穎,2634漢翔,3030德律,3711日月光投控,3711日月光投控,1909榮成,4743合一,1560中砂,5347世界,2108南帝,6582申豐,4174浩鼎,2812台中銀,1515力山,2634漢翔,1315達新,,
7,"('6472保瑞', 9)",9911櫻花,2108南帝,3030德律,2308台達電,1301台塑,2382廣達,2382廣達,2324仁寶,2388威盛,9802鈺齊-KY,1560中砂,8415大國鋼,2707晶華,4927泰鼎-KY,8358金居,1598岱宇,1707葡萄王,,,
8,"('5483中美晶', 9)",3023信邦,8415大國鋼,9933中鼎,6409旭隼,8150南茂,6488環球晶,6488環球晶,2352佳世達,2539櫻花建,8069元太,6561是方,1229聯華,6121新普,5478智冠,8069元太,1904正隆,6146耕興,,,
9,"('6279胡連', 8)",6411晶焱,8464億豐,1301台塑,2345智邦,9911櫻花,2912統一超,2912統一超,2354鴻準,2618長榮航,9910豐泰,6488環球晶,3374精材,2379瑞昱,2881富邦金,3260威剛,1907永豐餘,1409新纖,,,
10,"('3529力旺', 8)",2108南帝,3014聯陽,2912統一超,3661世芯-KY,3023信邦,2892第一金,5880合庫金,2392正崴,,1476儒鴻,5425台半,2227裕日車,2890永豐金,6669緯穎,3443創意,1909榮成,1319東陽,,,
11,"('5904寶雅', 8)",8464億豐,4919新唐,1503士電,2340光磊,6411晶焱,5880合庫金,2395研華,2417圓剛,,1537廣隆,6576逸達,3014聯陽,2353宏碁,3030德律,2376技嘉,2014中鴻,1785光洋科,,,
12,"('5903全家', 8)",6278台表科,2727王品,2354鴻準,6589台康生技,2108南帝,2395研華,1101台泥,2534宏盛,,3035智原,5483中美晶,1582信錦,2303聯電,9933中鼎,6285啟碁,2034允強,4147中裕,,,
13,"('6409旭隼', 8)",2227裕日車,2344華邦電,9937全國,3653健策,8415大國鋼,1101台泥,2801彰銀,2547日勝生,,3037欣興,8046南電,1104環泥,2360致茂,1301台塑,3680家登,2330台積電,3545敦泰,,,
14,"('1476儒鴻', 8)",6803崑鼎,8404百和興業-KY,8150南茂,5274信驊,8464億豐,2885元大金,4938和碩,2605新興,,9938百和,6472保瑞,2392正崴,2328廣宇,2912統一超,2009第一銅,2356英業達,8016矽創,,,
15,"('3533嘉澤', 8)",2439美律,2330台積電,9911櫻花,8917欣泰,1229聯華,2801彰銀,2633台灣高鐵,2834臺企銀,,2454聯發科,2395研華,3708上緯投控,1515力山,1503士電,,2368金像電,4551智伸科,,,
16,"('1216統一', 8)",3014聯陽,5306桂盟,3023信邦,1789神隆,3374精材,5876上海商銀,9910豐泰,2855統一證,,6670復盛應用,3533嘉澤,2727王品,2883開發金,2354鴻準,,2408南亞科,3026禾伸堂,,,
