,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2912統一超,3008大立光,2454聯發科,2330台積電,2618長榮航,,6505台塑化,1301台塑,2317鴻海
1,9940信義,4904遠傳,2886兆豐金,2317鴻海,4306炎洲,,2882國泰金,1303南亞,2454聯發科
2,6196帆宣,2823中壽,2891中信金,2308台達電,,,2881富邦金,2882國泰金,2412中華電
3,3707漢磊,2347聯強,2382廣達,1303南亞,,,2891中信金,1326台化,2308台達電
4,2727王品,2353宏碁,5880合庫金,2002中鋼,,,2382廣達,3008大立光,1303南亞
5,,2383台光電,2327國巨,1216統一,,,2912統一超,2886兆豐金,1216統一
6,,5820日盛金,1476儒鴻,2885元大金,,,1101台泥,2002中鋼,2912統一超
7,,2812台中銀,2344華邦電,2880華南金,,,6415矽力-KY,1216統一,2327國巨
8,,2006東和鋼鐵,2834臺企銀,5871中租-KY,,,4904遠傳,2891中信金,2885元大金
9,,2104國際中橡,5904寶雅,5876上海商銀,,,1102亞泥,2912統一超,5871中租-KY
10,,3218大學光,2352佳世達,1102亞泥,,,2883開發金,4904遠傳,3034聯詠
11,,6230超眾,1504東元,3481群創,,,1476儒鴻,5876上海商銀,2379瑞昱
12,,3703欣陸,3293鈊象,2301光寶科,,,2347聯強,2345智邦,2357華碩
13,,8358金居,2376技嘉,2492華新科,,,2360致茂,1402遠東新,2603長榮
14,,3131弘塑,6147頎邦,2377微星,,,2385群光,2888新光金,2409友達
15,,1604聲寶,1907永豐餘,9904寶成,,,2542興富發,2344華邦電,3481群創
16,,1614三洋電,2449京元電子,6409旭隼,,,5274信驊,2823中壽,6669緯穎
17,,6284佳邦,2201裕隆,4966譜瑞-KY,,,1504東元,5483中美晶,2049上銀
18,,,9917中保科,3406玉晶光,,,1434福懋,9904寶成,1476儒鴻
19,,,2845遠東銀,5903全家,,,2376技嘉,4966譜瑞-KY,2492華新科
