,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-05-10),近12月累積營收年增率連2個月增加(2022-05-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8341日友', 11)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,1315達新,3552同致,2454聯發科,2454聯發科,3630新鉅科,3533嘉澤,2454聯發科,3035智原,1301台塑,1907永豐餘,2105正新,1590亞德客-KY,2912統一超
1,"('6643M31', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2308台達電,6505台塑化,1532勤美,6166凌華,9933中鼎,8942森鉅,8942森鉅,3045台灣大,3630新鉅科,3661世芯-KY,1503士電,1904正隆,2615萬海,2409友達,1503士電
2,"('6488環球晶', 10)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2303聯電,2303聯電,1907永豐餘,2545皇翔,3035智原,2614東森,3596智易,1560中砂,8942森鉅,,1515力山,1909榮成,2377微星,2492華新科,
3,"('3035智原', 9)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2881富邦金,2891中信金,2489瑞軒,3680家登,6510精測,1560中砂,9940信義,2352佳世達,1504東元,,1519華城,6510精測,9921巨大,4743合一,
4,"('2605新興', 9)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,1216統一,2884玉山金,2867三商壽,1736喬山,2610華航,2610華航,5287數字,4938和碩,3596智易,,2049上銀,2428興勤,3231緯創,2108南帝,
5,"('5274信驊', 9)",6239力成,3035智原,9940信義,2049上銀,2633台灣高鐵,2891中信金,6488環球晶,4414如興,2547日勝生,2015豐興,8046南電,9933中鼎,2885元大金,3443創意,,2201裕隆,6257矽格,4743合一,1909榮成,
6,"('2912統一超', 9)",3045台灣大,6510精測,2633台灣高鐵,3533嘉澤,5287數字,2382廣達,2395研華,5469瀚宇博,2605新興,8046南電,2303聯電,3035智原,2303聯電,6533晶心科,,2317鴻海,1903士紙,2385群光,6196帆宣,
7,"('5347世界', 9)",4551智伸科,5289宜鼎,5287數字,2614東森,8299群聯,6488環球晶,5347世界,,5531鄉林,5388中磊,4128中天,2845遠東銀,2317鴻海,9940信義,,2323中環,1905華紙,5903全家,1773勝一,
8,"('6510精測', 9)",6213聯茂,3533嘉澤,9933中鼎,3045台灣大,6510精測,2912統一超,2801彰銀,,2511太子,6196帆宣,5269祥碩,8299群聯,3529力旺,2633台灣高鐵,,2337旺宏,2489瑞軒,3532台勝科,8016矽創,
9,"('2395研華', 9)",3014聯陽,2614東森,3035智原,2607榮運,5289宜鼎,2395研華,4938和碩,,9943好樂迪,1605華新,2615萬海,6510精測,2891中信金,5287數字,,2353宏碁,5508永信建,1907永豐餘,4961天鈺,
