,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-10-10),近12月累積營收年增率連2個月增加(2022-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2395研華', 11)",4506崇友,4506崇友,4506崇友,3380明泰,4506崇友,2317鴻海,2317鴻海,1234黑松,6443元晶,1537廣隆,2607榮運,4506崇友,6146耕興,4506崇友,1515力山,1102亞泥,5903全家,9910豐泰,2615萬海,
1,"('3529力旺', 10)",6146耕興,6146耕興,1308亞聚,1227佳格,2103台橡,2412中華電,2308台達電,1304台聚,8462柏文,9802鈺齊-KY,9925新保,6669緯穎,2049上銀,2103台橡,4961天鈺,1402遠東新,5820日盛金,2888新光金,3529力旺,
2,"('1560中砂', 10)",6669緯穎,2455全新,6146耕興,3680家登,1308亞聚,2308台達電,2303聯電,2317鴻海,1519華城,9910豐泰,2395研華,1515力山,2337旺宏,1308亞聚,1305華夏,1476儒鴻,6456GIS-KY,6409旭隼,2006東和鋼鐵,
3,"('2308台達電', 9)",2455全新,2360致茂,1723中碳,2231為升,6146耕興,2303聯電,3008大立光,2547日勝生,2367燿華,3035智原,2330台積電,6177達麗,1609大亞,6146耕興,3545敦泰,1590亞德客-KY,8150南茂,3044健鼎,3042晶技,
4,"('6279胡連', 9)",2313華通,3014聯陽,6669緯穎,2912統一超,2049上銀,3008大立光,1216統一,2867三商壽,2618長榮航,1476儒鴻,1419新紡,6121新普,3682亞太電,2049上銀,6582申豐,2002中鋼,9958世紀鋼,2106建大,4736泰博,
5,"('3293鈊象', 9)",2360致茂,2337旺宏,3049和鑫,3218大學光,1723中碳,1216統一,2891中信金,2887台新金,2539櫻花建,2330台積電,2303聯電,3380明泰,5876上海商銀,1723中碳,1736喬山,2006東和鋼鐵,9802鈺齊-KY,2441超豐,3035智原,
6,"('9910豐泰', 9)",3014聯陽,5871中租-KY,2455全新,8454富邦媒,3049和鑫,3711日月光投控,3711日月光投控,5820日盛金,2388威盛,8404百和興業-KY,2498宏達電,6269台郡,8358金居,6669緯穎,4968立積,2031新光鋼,6492生華科,3376新日興,2545皇翔,
7,"('6409旭隼', 9)",6121新普,2923鼎固-KY,6177達麗,2308台達電,2455全新,2382廣達,2382廣達,,6451訊芯-KY,5274信驊,8046南電,1589永冠-KY,2912統一超,1515力山,2409友達,2201裕隆,3515華擎,1409新纖,2338光罩,
8,"('4536拓凱', 9)",6269台郡,3680家登,2313華通,3059華晶科,6177達麗,6488環球晶,6488環球晶,,6576逸達,9938百和,6472保瑞,2328廣宇,1477聚陽,3049和鑫,3293鈊象,2301光寶科,9937全國,1785光洋科,,
9,"('9937全國', 8)",5871中租-KY,5289宜鼎,1434福懋,3529力旺,2313華通,2912統一超,2912統一超,,4743合一,6670復盛應用,5347世界,1537廣隆,2059川湖,2455全新,,2357華碩,4536拓凱,9802鈺齊-KY,,
