,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-09-30),連續三年EPS均大於0且近一季EPS也大於0(2021-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-09-30),近6月累積營收年增率連2個月增加(2022-01-10),近12月累積營收年增率連2個月增加(2022-01-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-09-30),ROE連續三季成長，且近一季ROE>10%(2021-09-30),毛利率連續三季成長，且近一季毛利率>25%(2021-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3035智原', 10)",6803崑鼎,1102亞泥,1102亞泥,4576大銀微系統,1102亞泥,2303聯電,2330台積電,2323中環,1444力麗,6803崑鼎,2454聯發科,2812台中銀,2313華通,6579研揚,2618長榮航,1301台塑,6669緯穎,9904寶成,1802台玻,
1,"('5347世界', 10)",5457宣德,2454聯發科,6803崑鼎,8069元太,6803崑鼎,2886兆豐金,6505台塑化,2547日勝生,6547高端疫苗,2454聯發科,4736泰博,1789神隆,2006東和鋼鐵,3529力旺,3035智原,1312國喬,5269祥碩,6409旭隼,2027大成鋼,
2,"('8016矽創', 9)",6269台郡,8069元太,1904正隆,1444力麗,2454聯發科,1216統一,2303聯電,3481群創,6589台康生技,8150南茂,6182合晶,2330台積電,3661世芯-KY,2812台中銀,2408南亞科,1314中石化,6116彩晶,2227裕日車,,
3,"('5274信驊', 9)",4736泰博,4736泰博,2454聯發科,6182合晶,8150南茂,2891中信金,1326台化,9904寶成,4414如興,6756威鋒電子,4128中天,6285啟碁,2352佳世達,2392正崴,,1319東陽,6412群電,2354鴻準,,
4,"('4966譜瑞-KY', 9)",6456GIS-KY,6182合晶,1714和桐,6756威鋒電子,3413京鼎,2884玉山金,2881富邦金,,6533晶心科,3131弘塑,6756威鋒電子,2313華通,2545皇翔,1789神隆,,1477聚陽,3017奇鋐,5903全家,,
5,"('5904寶雅', 9)",2015豐興,2923鼎固-KY,8150南茂,8464億豐,1303南亞,2382廣達,2002中鋼,,3016嘉晶,6223旺矽,6415矽力-KY,2301光寶科,3044健鼎,2849安泰銀,,1532勤美,4968立積,1227佳格,,
6,"('3653健策', 9)",8464億豐,8464億豐,1303南亞,6415矽力-KY,8069元太,6488環球晶,1216統一,,1710東聯,2441超豐,2049上銀,3481群創,6548長科*,2823中壽,,1590亞德客-KY,3380明泰,1504東元,,
7,"('6146耕興', 9)",6415矽力-KY,6415矽力-KY,8069元太,8454富邦媒,5457宣德,2395研華,2891中信金,,2618長榮航,2353宏碁,9908大台北,8213志超,2409友達,2330台積電,,1598岱宇,2393億光,2027大成鋼,,
8,"('2707晶華', 9)",2377微星,1795美時,2323中環,2009第一銅,6269台郡,5347世界,2884玉山金,,2539櫻花建,2347聯強,2615萬海,2344華邦電,4938和碩,3711日月光投控,,1711永光,2421建準,3374精材,,
9,"('6409旭隼', 9)",8454富邦媒,5871中租-KY,5457宣德,2049上銀,4736泰博,4938和碩,6488環球晶,,3707漢磊,2368金像電,2441超豐,5007三星,4904遠傳,1303南亞,,1718中纖,2323中環,3529力旺,,
10,"('6415矽力-KY', 9)",5871中租-KY,5483中美晶,6269台郡,2421建準,6182合晶,2633台灣高鐵,2408南亞科,,4142國光生,3450聯鈞,6531愛普,5880合庫金,5388中磊,1434福懋,,1904正隆,2540愛山林,1477聚陽,,
11,"('9941裕融', 9)",5483中美晶,1702南僑,2881富邦金,6285啟碁,2015豐興,1102亞泥,5871中租-KY,,2501國建,8070長華*,8942森鉅,6412群電,6176瑞儀,2201裕隆,,2006東和鋼鐵,,3682亞太電,,
12,"('6182合晶', 9)",6213聯茂,3131弘塑,4736泰博,3532台勝科,2605新興,3037欣興,6415矽力-KY,,2103台橡,8081致新,2609陽明,2478大毅,5876上海商銀,6196帆宣,,2031新光鋼,,2023燁輝,,
13,"('2408南亞科', 9)",1702南僑,6223旺矽,6182合晶,9802鈺齊-KY,6756威鋒電子,6669緯穎,3034聯詠,,1903士紙,2375凱美,8081致新,2836高雄銀,2915潤泰全,6285啟碁,,2101南港,,1707葡萄王,,
14,"('8422可寧衛', 9)",3131弘塑,6279胡連,2845遠東銀,1722台肥,8464億豐,2301光寶科,5347世界,,1314中石化,2481強茂,6173信昌電,8081致新,6147頎邦,2313華通,,2102泰豐,,1409新纖,,
15,"('8081致新', 8)",8112至上,9943好樂迪,6456GIS-KY,9908大台北,6415矽力-KY,2888新光金,2801彰銀,,,2379瑞昱,2498宏達電,2891中信金,6415矽力-KY,2301光寶科,,2104國際中橡,,1789神隆,,
16,"('5287數字', 8)",6279胡連,2542興富發,2892第一金,8044網家,1795美時,9921巨大,9910豐泰,,,1723中碳,5471松翰,2845遠東銀,6592和潤企業,2368金像電,,2303聯電,,1808潤隆,,
17,"('2637慧洋-KY', 8)",9910豐泰,4107邦特,6451訊芯-KY,1419新紡,6271同欣電,6409旭隼,2603長榮,,,6412群電,2481強茂,6282康舒,3231緯創,3026禾伸堂,,2312金寶,,1232大統益,,
18,"('2330台積電', 8)",2301光寶科,1419新紡,2015豐興,2455全新,2009第一銅,3231緯創,1402遠東新,,,2492華新科,2379瑞昱,3661世芯-KY,3081聯亞,3374精材,,2313華通,,2455全新,,
19,"('3529力旺', 8)",2313華通,3152璟德,2605新興,8926台汽電,2049上銀,2356英業達,3105穩懋,,,2344華邦電,2344華邦電,8406金可-KY,2458義隆,3481群創,,2344華邦電,,6743安普新,,
20,"('6643M31', 8)",4107邦特,2455全新,8464億豐,1773勝一,5871中租-KY,2337旺宏,1102亞泥,,,2850新產,1808潤隆,2312金寶,6116彩晶,8213志超,,2347聯強,,8422可寧衛,,
21,"('4904遠傳', 8)",3152璟德,2727王品,6415矽力-KY,2340光磊,3532台勝科,6239力成,2887台新金,,,3189景碩,3042晶技,2489瑞軒,4966譜瑞-KY,1234黑松,,2455全新,,6756威鋒電子,,
22,"('9917中保科', 8)",2455全新,4968立積,2377微星,3443創意,5483中美晶,9914美利達,3037欣興,,,3035智原,3035智原,1907永豐餘,2356英業達,2344華邦電,,2606裕民,,2707晶華,,
23,"('1477聚陽', 8)",4968立積,2534宏盛,2883開發金,4906正文,6213聯茂,2610華航,6669緯穎,,,3019亞光,8086宏捷科,3044健鼎,9933中鼎,5007三星,,2618長榮航,,3552同致,,
24,"('8069元太', 8)",2441超豐,8404百和興業-KY,1795美時,6491晶碩,1229聯華,2385群光,2301光寶科,,,8086宏捷科,5347世界,2035唐榮,2421建準,4137麗豐-KY,,2637慧洋-KY,,2035唐榮,,
25,"('1590亞德客-KY', 8)",3005神基,3005神基,3596智易,8406金可-KY,3131弘塑,2618長榮航,5483中美晶,,,3653健策,8016矽創,2388威盛,3653健策,5880合庫金,,2727王品,,6191精成科,,
26,"('8086宏捷科', 8)",6414樺漢,2915潤泰全,8454富邦媒,6706惠特,1722台肥,3406玉晶光,9904寶成,,,5347世界,2393億光,2882國泰金,2892第一金,1216統一,,3006晶豪科,,1308亞聚,,
27,"('5388中磊', 8)",9930中聯資源,2340光磊,6271同欣電,3450聯鈞,6223旺矽,5903全家,6409旭隼,,,8016矽創,2603長榮,2888新光金,1215卜蜂,1609大亞,,3017奇鋐,,1905華紙,,
28,"('1604聲寶', 8)",3324雙鴻,3443創意,2355敬鵬,1476儒鴻,9908大台北,5274信驊,4743合一,,,2393億光,2474可成,1477聚陽,2385群光,2206三陽工業,,3037欣興,,2605新興,,
29,"('6510精測', 8)",1227佳格,4174浩鼎,2421建準,1507永大,6279胡連,5904寶雅,2356英業達,,,3034聯詠,3034聯詠,3034聯詠,2883開發金,6643M31,,3059華晶科,,2031新光鋼,,
30,"('6488環球晶', 8)",3443創意,6472保瑞,4938和碩,2607榮運,6191精成科,2923鼎固-KY,2347聯強,,,3010華立,2458義隆,2607榮運,2439美律,2542興富發,,3081聯亞,,2478大毅,,
31,"('6548長科*', 8)",2108南帝,8406金可-KY,6285啟碁,4927泰鼎-KY,2615萬海,2313華通,6239力成,,,1216統一,4961天鈺,9930中聯資源,3017奇鋐,6412群電,,3105穩懋,,2034允強,,
32,"('3030德律', 8)",3665貿聯-KY,5508永信建,5871中租-KY,6669緯穎,3008大立光,1722台肥,3702大聯大,,,2401凌陽,2401凌陽,8044網家,3035智原,3376新日興,,3231緯創,,8462柏文,,
33,"('6411晶焱', 8)",3078僑威,8081致新,3532台勝科,3059華晶科,2542興富發,8069元太,8299群聯,,,3006晶豪科,3006晶豪科,3665貿聯-KY,2108南帝,2478大毅,,3481群創,,4532瑞智,,
34,"('3105穩懋', 8)",6472保瑞,1476儒鴻,5483中美晶,6533晶心科,4107邦特,3532台勝科,2610華航,,,6239力成,1201味全,2337旺宏,5904寶雅,2836高雄銀,,3530晶相光,,2340光磊,,
35,"('3661世芯-KY', 8)",2347聯強,4123晟德,6213聯茂,8255朋程,1419新紡,3533嘉澤,2385群光,,,2637慧洋-KY,2637慧洋-KY,2362藍天,2382廣達,8081致新,,3532台勝科,,3630新鉅科,,
36,"('4105東洋', 8)",8070長華*,8422可寧衛,1702南僑,1723中碳,3152璟德,6213聯茂,2618長榮航,,,2376技嘉,6146耕興,3380明泰,5530龍巖,1319東陽,,3630新鉅科,,2010春源,,
37,"('3023信邦', 8)",8081致新,5471松翰,1229聯華,5269祥碩,2455全新,3529力旺,2371大同,,,6146耕興,6202盛群,9910豐泰,3264欣銓,2903遠百,,3661世芯-KY,,,,
38,"('2455全新', 8)",6173信昌電,6533晶心科,3131弘塑,6751智聯服務,8926台汽電,2449京元電子,1605華新,,,1409新纖,3545敦泰,4438廣越,,9941裕融,,4906正文,,,,
39,"('2313華通', 8)",1476儒鴻,8255朋程,9907統一實,3189景碩,2441超豐,1477聚陽,2609陽明,,,2023燁輝,1802台玻,3293鈊象,,1560中砂,,4919新唐,,,,
