,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-06-10),近12月累積營收年增率連2個月增加(2022-06-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2330台積電', 11)",2347聯強,2108南帝,2347聯強,5269祥碩,2108南帝,2330台積電,2330台積電,1315達新,6589台康生技,2201裕隆,2520冠德,,8255朋程,8255朋程,2014中鴻,1210大成,9914美利達,2408南亞科,1907永豐餘,
1,"('2520冠德', 10)",2108南帝,5269祥碩,2108南帝,3380明泰,5269祥碩,2317鴻海,2412中華電,1504東元,2618長榮航,3035智原,2524京城,,1232大統益,2428興勤,6669緯穎,1227佳格,6176瑞儀,5269祥碩,9941裕融,
2,"('3035智原', 9)",4958臻鼎-KY,4576大銀微系統,4958臻鼎-KY,4576大銀微系統,4576大銀微系統,2308台達電,2303聯電,1589永冠-KY,2610華航,1560中砂,6472保瑞,,6213聯茂,1232大統益,2498宏達電,1303南亞,3576聯合再生,2615萬海,3665貿聯-KY,
3,"('6643M31', 9)",5269祥碩,8464億豐,1310台苯,2634漢翔,6274台燿,2303聯電,3008大立光,1714和桐,3576聯合再生,9933中鼎,5530龍巖,,2317鴻海,1598岱宇,,1304台聚,6285啟碁,2347聯強,1313聯成,
4,"('2395研華', 9)",6274台燿,3227原相,5269祥碩,2540愛山林,3413京鼎,3008大立光,1216統一,2501國建,4438廣越,9802鈺齊-KY,1560中砂,,2049上銀,2206三陽工業,,1305華夏,4128中天,2385群光,1773勝一,
5,"('5274信驊', 9)",8464億豐,3563牧德,3380明泰,1722台肥,8464億豐,3711日月光投控,2891中信金,2511太子,6177達麗,3037欣興,3189景碩,,9939宏全,3023信邦,,1313聯成,1503士電,5274信驊,3380明泰,
6,"('3529力旺', 9)",3227原相,4506崇友,4576大銀微系統,2308台達電,2204中華,2912統一超,3711日月光投控,2520冠德,,2449京元電子,2395研華,,1301台塑,5903全家,,1409新纖,1513中興電,1504東元,6451訊芯-KY,
7,"('5530龍巖', 8)",3596智易,6589台康生技,6274台燿,1476儒鴻,3563牧德,2892第一金,2892第一金,2820華票,,5274信驊,5534長虹,,9914美利達,2363矽統,,1434福懋,8926台汽電,1722台肥,2489瑞軒,
8,"('4904遠傳', 8)",3563牧德,2540愛山林,1605華新,2227裕日車,4506崇友,2379瑞昱,2880華南金,2838聯邦銀,,2330台積電,9941裕融,,2412中華電,1434福懋,,1440南紡,6670復盛應用,2376技嘉,,
9,"('5388中磊', 8)",4506崇友,1598岱宇,8464億豐,8069元太,9921巨大,5347世界,4904遠傳,2849安泰銀,,3707漢磊,4919新唐,,2606裕民,1773勝一,,1532勤美,2373震旦行,1717長興,,
10,"('6409旭隼', 8)",9921巨大,5471松翰,2634漢翔,3532台勝科,2368金像電,2801彰銀,5347世界,2903遠百,,6182合晶,6561是方,,3443創意,6213聯茂,,1589永冠-KY,6547高端疫苗,3374精材,,
11,"('6472保瑞', 8)",5471松翰,6582申豐,3673TPK-KY,6472保瑞,5471松翰,5876上海商銀,2801彰銀,5371中光電,,6223旺矽,3037欣興,,2605新興,2317鴻海,,1907永豐餘,4551智伸科,3529力旺,,
12,"('8069元太', 8)",2404漢唐,4736泰博,3227原相,2360致茂,2404漢唐,2633台灣高鐵,5876上海商銀,5531鄉林,,2454聯發科,6488環球晶,,2395研華,1714和桐,,2101南港,9908大台北,1907永豐餘,,
13,"('1560中砂', 8)",6582申豐,5871中租-KY,3596智易,1216統一,6582申豐,9910豐泰,2887台新金,,,,2337旺宏,,3035智原,3545敦泰,,2104國際中橡,4105東洋,2812台中銀,,
14,"('5269祥碩', 8)",1515力山,8422可寧衛,3563牧德,6285啟碁,4736泰博,2345智邦,3037欣興,,,,2303聯電,,5876上海商銀,8163達方,,2105正新,5007三星,6456GIS-KY,,
15,"('5347世界', 8)",4736泰博,6576逸達,4506崇友,4904遠傳,5871中租-KY,3037欣興,2301光寶科,,,,2344華邦電,,6239力成,3037欣興,,2206三陽工業,2331精英,3661世芯-KY,,
16,"('2308台達電', 8)",5871中租-KY,2308台達電,2540愛山林,3529力旺,8422可寧衛,6669緯穎,6409旭隼,,,,2498宏達電,,8016矽創,2049上銀,,2323中環,1519華城,6274台燿,,
17,"('3023信邦', 8)",8422可寧衛,2373震旦行,9921巨大,5388中磊,1722台肥,2049上銀,4743合一,,,,2330台積電,,2887台新金,6269台郡,,2330台積電,1419新紡,6271同欣電,,
18,"('9941裕融', 8)",2308台達電,1476儒鴻,2368金像電,1434福懋,2308台達電,4958臻鼎-KY,2356英業達,,,,8046南電,,2324仁寶,2905三商,,2355敬鵬,1609大亞,2441超豐,,
19,"('3443創意', 8)",2373震旦行,4137麗豐-KY,5471松翰,2884玉山金,2375凱美,5269祥碩,6239力成,,,,2704國賓,,5880合庫金,2449京元電子,,2356英業達,3228金麗科,2108南帝,,
20,"('3037欣興', 7)",1476儒鴻,2520冠德,2404漢唐,5243乙盛-KY,2373震旦行,9904寶成,2385群光,,,,5483中美晶,,3682亞太電,3376新日興,,2377微星,8462柏文,2606裕民,,
21,"('4551智伸科', 7)",4137麗豐-KY,6166凌華,6582申豐,9908大台北,1476儒鴻,6409旭隼,3406玉晶光,,,,5347世界,,6005群益證,8039台虹,,2382廣達,1604聲寶,6005群益證,,
22,"('9917中保科', 7)",2227裕日車,2524京城,1309台達化,1773勝一,2201裕隆,2834臺企銀,5274信驊,,,,2454聯發科,,9910豐泰,2108南帝,,2395研華,,3081聯亞,,
23,"('9914美利達', 7)",2520冠德,9940信義,4736泰博,6409旭隼,4137麗豐-KY,9914美利達,2313華通,,,,,,6504南六,3078僑威,,2439美律,,2023燁輝,,
24,"('6464台數科', 7)",9940信義,4968立積,5871中租-KY,9937全國,2227裕日車,6121新普,1722台肥,,,,,,2023燁輝,1307三芳,,2441超豐,,2104國際中橡,,
25,"('2912統一超', 7)",6121新普,8069元太,8422可寧衛,2351順德,2002中鋼,3406玉晶光,8069元太,,,,,,3211順達,3081聯亞,,2511太子,,2855統一證,,
26,"('6803崑鼎', 7)",8069元太,4123晟德,1722台肥,1795美時,2520冠德,5903全家,3532台勝科,,,,,,2357華碩,3030德律,,2515中工,,6214精誠,,
27,"('2449京元電子', 7)",2313華通,5306桂盟,2308台達電,3374精材,2524京城,2352佳世達,3533嘉澤,,,,,,1319東陽,2027大成鋼,,2520冠德,,6414樺漢,,
28,"('4105東洋', 7)",4927泰鼎-KY,6472保瑞,2375凱美,3035智原,2049上銀,2313華通,3374精材,,,,,,2886兆豐金,2545皇翔,,2535達欣工,,5469瀚宇博,,
29,"('3665貿聯-KY', 7)",5306桂盟,5522遠雄,2892第一金,1560中砂,2609陽明,8069元太,3529力旺,,,,,,2377微星,2353宏碁,,2542興富發,,6670復盛應用,,
30,"('6561是方', 7)",6548長科*,2723美食-KY,6504南六,2395研華,9940信義,3532台勝科,3443創意,,,,,,2301光寶科,2547日勝生,,2548華固,,1785光洋科,,
31,"('3661世芯-KY', 7)",6472保瑞,3105穩懋,2373震旦行,2331精英,6121新普,3023信邦,2449京元電子,,,,,,3008大立光,2809京城銀,,2608嘉里大榮,,2014中鴻,,
32,"('6223旺矽', 7)",6670復盛應用,2360致茂,1476儒鴻,3023信邦,8069元太,3374精材,2201裕隆,,,,,,4551智伸科,9939宏全,,2727王品,,5530龍巖,,
33,"('3533嘉澤', 7)",6412群電,5425台半,2890永豐金,5903全家,5306桂盟,3529力旺,2404漢唐,,,,,,1110東泥,2035唐榮,,2834臺企銀,,2607榮運,,
34,"('3374精材', 7)",6414樺漢,1216統一,4137麗豐-KY,1218泰山,3532台勝科,2404漢唐,9917中保科,,,,,,8436大江,1301台塑,,2855統一證,,2608嘉里大榮,,
35,"('2412中華電', 7)",3105穩懋,4904遠傳,2227裕日車,1582信錦,6548長科*,9917中保科,3682亞太電,,,,,,4904遠傳,9914美利達,,2867三商壽,,6756威鋒電子,,
36,"('8422可寧衛', 7)",2360致茂,6277宏正,2002中鋼,3552同致,2006東和鋼鐵,2845遠東銀,2845遠東銀,,,,,,1326台化,2412中華電,,2880華南金,,3380明泰,,
37,"('1476儒鴻', 7)",5425台半,3529力旺,2520冠德,3443創意,1802台玻,2101南港,3189景碩,,,,,,2330台積電,2421建準,,2884玉山金,,3006晶豪科,,
38,"('4107邦特', 7)",1216統一,5530龍巖,6166凌華,6561是方,6472保瑞,3665貿聯-KY,9941裕融,,,,,,2006東和鋼鐵,2327國巨,,2886兆豐金,,6582申豐,,
39,"('4736泰博', 7)",4904遠傳,2417圓剛,2524京城,8086宏捷科,6670復盛應用,3036文曄,3665貿聯-KY,,,,,,8462柏文,1789神隆,,2892第一金,,6023元大期,,
40,"('1722台肥', 7)",6277宏正,3705永信,2881富邦金,1590亞德客-KY,3545敦泰,4123晟德,4123晟德,,,,,,6202盛群,9940信義,,2905三商,,2515中工,,
41,"('6582申豐', 7)",3529力旺,4128中天,2324仁寶,8917欣泰,5522遠雄,9933中鼎,9933中鼎,,,,,,6472保瑞,6176瑞儀,,2912統一超,,1103嘉泥,,
