,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2023-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2023-03-31),連續三年EPS均大於0且近一季EPS也大於0(2023-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2023-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2023-03-31),近6月累積營收年增率連2個月增加(2023-06-10),近12月累積營收年增率連2個月增加(2023-06-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2023-03-31),ROE連續三季成長，且近一季ROE>10%(2023-03-31),毛利率連續三季成長，且近一季毛利率>25%(2023-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3661世芯-KY', 9)",6803崑鼎,6589台康生技,6803崑鼎,2355敬鵬,6803崑鼎,2882國泰金,2886兆豐金,1102亞泥,6177達麗,8926台汽電,2498宏達電,,2451創見,6803崑鼎,3017奇鋐,1513中興電,1301台塑,3576聯合再生,,2104國際中橡
1,"('4137麗豐-KY', 9)",4105東洋,4105東洋,2355敬鵬,3380明泰,4105東洋,2886兆豐金,2207和泰車,1103嘉泥,2539櫻花建,6751智聯服務,2908特力,,8016矽創,2355敬鵬,4306炎洲,1711永光,1303南亞,2108南帝,,
2,"('5904寶雅', 8)",3324雙鴻,2344華邦電,4105東洋,3324雙鴻,2607榮運,2207和泰車,2884玉山金,1304台聚,5531鄉林,1210大成,3563牧德,,6121新普,4105東洋,,1736喬山,2886兆豐金,8436大江,,
3,"('3293鈊象', 8)",8070長華*,1598岱宇,2607榮運,1702南僑,3324雙鴻,2884玉山金,6488環球晶,1313聯成,2371大同,3218大學光,1736喬山,,2887台新金,2607榮運,,2009第一銅,1216統一,3691碩禾,,
4,"('3563牧德', 8)",3653健策,1702南僑,2820華票,2324仁寶,2451創見,5880合庫金,5880合庫金,1315達新,2501國建,4137麗豐-KY,6464台數科,,9937全國,2820華票,,2027大成鋼,5880合庫金,6244茂迪,,
5,"('2404漢唐', 8)",2373震旦行,6462神盾,9921巨大,2231為升,8070長華*,2885元大金,1101台泥,1326台化,2548華固,,4766南寶,,3023信邦,9921巨大,,2031新光鋼,1101台泥,8908欣雄,,
6,"('5269祥碩', 8)",6706惠特,9938百和,1110東泥,3653健策,1723中碳,3034聯詠,2885元大金,1402遠東新,6411晶焱,,3030德律,,6176瑞儀,1110東泥,,2104國際中橡,4904遠傳,6589台康生技,,
7,"('6732昇佳電子', 7)",2301光寶科,2231為升,3380明泰,3152璟德,2231為升,4938和碩,2633台灣高鐵,1409新纖,6451訊芯-KY,,2421建準,,2352佳世達,2344華邦電,,2363矽統,5876上海商銀,1589永冠-KY,,
8,"('2108南帝', 7)",1795美時,3653健策,3324雙鴻,1795美時,3653健策,3105穩懋,5269祥碩,1434福懋,8942森鉅,,2633台灣高鐵,,8482商億-KY,3380明泰,,2603長榮,4938和碩,,,
9,"('3023信邦', 7)",8131福懋科,2373震旦行,2451創見,3576聯合再生,3152璟德,2409友達,2227裕日車,1907永豐餘,,,2912統一超,,2101南港,1598岱宇,,2888新光金,2474可成,,,
10,"('3152璟德', 7)",5434崇越,3152璟德,2354鴻準,2886兆豐金,1795美時,1102亞泥,2610華航,2010春源,,,,,6239力成,3324雙鴻,,3034聯詠,2409友達,,,
11,"('3034聯詠', 7)",8016矽創,6706惠特,1702南僑,1229聯華,8131福懋科,3481群創,2618長榮航,2104國際中橡,,,,,2383台光電,2451創見,,3049和鑫,2105正新,,,
12,"('8436大江', 7)",3665貿聯-KY,1795美時,5880合庫金,9914美利達,2608嘉里大榮,5269祥碩,2371大同,2312金寶,,,,,2449京元電子,2354鴻準,,3227原相,2890永豐金,,,
13,"('9917中保科', 7)",2015豐興,8016矽創,8070長華*,2227裕日車,8016矽創,2377微星,2542興富發,2323中環,,,,,2330台積電,1702南僑,,3533嘉澤,2049上銀,,,
14,"('2231為升', 7)",3008大立光,4968立積,2324仁寶,1717長興,9908大台北,4743合一,5903全家,2362藍天,,,,,3264欣銓,5880合庫金,,3576聯合再生,2301光寶科,,,
