,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-12-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-12-31),連續三年EPS均大於0且近一季EPS也大於0(2022-12-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-12-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-12-31),近6月累積營收年增率連2個月增加(2023-02-10),近12月累積營收年增率連2個月增加(2023-02-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-12-31),ROE連續三季成長，且近一季ROE>10%(2022-12-31),毛利率連續三季成長，且近一季毛利率>25%(2022-12-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('3653健策', 9)",3653健策,3653健策,1513中興電,3653健策,1513中興電,,,1532勤美,3576聯合再生,3653健策,8046南電,2015豐興,1513中興電,1513中興電,3653健策,1218泰山,2615萬海,,,
1,"('1256鮮活果汁-KY', 9)",4904遠傳,4904遠傳,3042晶技,4904遠傳,3042晶技,,,1907永豐餘,9943好樂迪,3376新日興,5289宜鼎,3005神基,6582申豐,3042晶技,3105穩懋,1312國喬,9921巨大,,,
2,"('1476儒鴻', 8)",2313華通,9943好樂迪,3653健策,8255朋程,3653健策,,,2239英利-KY,8462柏文,4904遠傳,3413京鼎,3529力旺,5871中租-KY,3576聯合再生,1519華城,1313聯成,2834臺企銀,,,
3,"('4904遠傳', 8)",8464億豐,8464億豐,3376新日興,2707晶華,3376新日興,,,2534宏盛,9910豐泰,2356英業達,2303聯電,2809京城銀,1519華城,3653健策,2606裕民,1477聚陽,2923鼎固-KY,,,
4,"('3529力旺', 8)",6277宏正,3105穩懋,8213志超,4576大銀微系統,4904遠傳,,,2836高雄銀,1307三芳,3017奇鋐,6146耕興,6732昇佳電子,2356英業達,3376新日興,1589永冠-KY,1907永豐餘,3293鈊象,,,
5,"('6561是方', 8)",5871中租-KY,6582申豐,2355敬鵬,8462柏文,2313華通,,,2845遠東銀,2239英利-KY,2059川湖,1256鮮活果汁-KY,4935茂林-KY,2449京元電子,8213志超,2727王品,2324仁寶,6147頎邦,,,
6,"('4137麗豐-KY', 8)",2707晶華,6277宏正,4904遠傳,2455全新,8464億豐,,,2889國票金,2388威盛,6472保瑞,6488環球晶,2393億光,8436大江,2355敬鵬,,2353宏碁,1210大成,,,
7,"('2108南帝', 7)",3090日電貿,8255朋程,2313華通,1201味全,6582申豐,,,2903遠百,4157太景*-KY,2303聯電,6533晶心科,4743合一,5880合庫金,4904遠傳,,2356英業達,2845遠東銀,,,
8,"('3022威強電', 7)",2360致茂,5871中租-KY,9943好樂迪,6491晶碩,6277宏正,,,2923鼎固-KY,2367燿華,6146耕興,2308台達電,2301光寶科,3481群創,2313華通,,2376技嘉,6732昇佳電子,,,
9,"('1216統一', 7)",6121新普,2707晶華,8464億豐,6472保瑞,3711日月光投控,,,3049和鑫,4142國光生,1216統一,2903遠百,3019亞光,2605新興,9943好樂迪,,2385群光,6561是方,,,
10,"('6533晶心科', 7)",2449京元電子,1736喬山,2010春源,3707漢磊,8255朋程,,,3673TPK-KY,2501國建,6803崑鼎,3037欣興,2633台灣高鐵,8942森鉅,8464億豐,,2409友達,3673TPK-KY,,,
11,"('6488環球晶', 7)",4105東洋,2360致茂,3105穩懋,3045台灣大,5871中租-KY,,,6120達運,3552同致,3529力旺,6561是方,4147中裕,3705永信,2010春源,,2707晶華,2637慧洋-KY,,,
12,"('6223旺矽', 7)",2455全新,5531鄉林,6582申豐,1216統一,2707晶華,,,8070長華*,6443元晶,1256鮮活果汁-KY,4968立積,3231緯創,2880華南金,3105穩懋,,2723美食-KY,4137麗豐-KY,,,
13,"('3023信邦', 7)",5289宜鼎,4128中天,6277宏正,3673TPK-KY,2615萬海,,,,6153嘉聯益,8039台虹,6409旭隼,9925新保,2014中鴻,6582申豐,,2886兆豐金,6582申豐,,,
