,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-06-30),連續三年EPS均大於0且近一季EPS也大於0(2022-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-06-30),近6月累積營收年增率連2個月增加(2022-10-10),近12月累積營收年增率連2個月增加(2022-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-06-30),ROE連續三季成長，且近一季ROE>10%(2022-06-30),毛利率連續三季成長，且近一季毛利率>25%(2022-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2395研華', 11)",4506崇友,4506崇友,4506崇友,3380明泰,4506崇友,2317鴻海,2317鴻海,1102亞泥,6443元晶,1537廣隆,2607榮運,4506崇友,2103台橡,2383台光電,6669緯穎,1303南亞,2002中鋼,2412中華電,3008大立光,
1,"('1560中砂', 10)",6146耕興,6146耕興,1308亞聚,1227佳格,2103台橡,2412中華電,2308台達電,1304台聚,8462柏文,9802鈺齊-KY,9925新保,6669緯穎,2912統一超,1723中碳,6582申豐,1304台聚,2890永豐金,2886兆豐金,2615萬海,
2,"('1789神隆', 10)",6669緯穎,2455全新,6146耕興,3680家登,1308亞聚,2308台達電,2303聯電,1310台苯,1519華城,9910豐泰,2395研華,1515力山,8150南茂,2834臺企銀,3545敦泰,1305華夏,9904寶成,3045台灣大,2377微星,
3,"('4904遠傳', 10)",2455全新,2360致茂,1723中碳,2231為升,6146耕興,2303聯電,3008大立光,1313聯成,2367燿華,3035智原,2330台積電,6177達麗,3023信邦,2027大成鋼,2409友達,1309台達化,3231緯創,2884玉山金,2388威盛,
4,"('8131福懋科', 9)",2313華通,3014聯陽,6669緯穎,2912統一超,2049上銀,3008大立光,1216統一,1326台化,2618長榮航,1476儒鴻,1419新紡,6121新普,8464億豐,2103台橡,1305華夏,1313聯成,2227裕日車,2892第一金,2637慧洋-KY,
5,"('9917中保科', 9)",2360致茂,2337旺宏,3049和鑫,3218大學光,1723中碳,1216統一,2891中信金,1402遠東新,2539櫻花建,2330台積電,2303聯電,3380明泰,6278台表科,5534長虹,2345智邦,1444力麗,1227佳格,5880合庫金,6743安普新,
6,"('6561是方', 9)",3014聯陽,5871中租-KY,2455全新,8454富邦媒,3049和鑫,3711日月光投控,3711日月光投控,1444力麗,2388威盛,8404百和興業-KY,2498宏達電,6269台郡,6756威鋒電子,4174浩鼎,4968立積,1711永光,1504東元,2885元大金,2605新興,
7,"('2404漢唐', 9)",6121新普,2923鼎固-KY,6177達麗,2308台達電,2455全新,2382廣達,2382廣達,1504東元,6451訊芯-KY,5274信驊,8046南電,1589永冠-KY,3682亞太電,4927泰鼎-KY,2357華碩,1789神隆,5820日盛金,2880華南金,,
8,"('2308台達電', 9)",6269台郡,3680家登,2313華通,3059華晶科,6177達麗,6488環球晶,6488環球晶,1532勤美,6576逸達,9938百和,6472保瑞,2328廣宇,2031新光鋼,5478智冠,2458義隆,1795美時,2809京城銀,4904遠傳,,
9,"('3529力旺', 9)",5871中租-KY,5289宜鼎,1434福懋,3529力旺,2313華通,2912統一超,2912統一超,1589永冠-KY,4743合一,6670復盛應用,5347世界,1537廣隆,6456GIS-KY,2881富邦金,4961天鈺,2002中鋼,2015豐興,4938和碩,,
10,"('6279胡連', 9)",5289宜鼎,8436大江,2360致茂,1582信錦,2360致茂,2892第一金,5880合庫金,1710東聯,,2449京元電子,5425台半,3260威剛,2059川湖,6669緯穎,2408南亞科,2006東和鋼鐵,6592和潤企業,2883開發金,,
11,"('5483中美晶', 9)",1707葡萄王,2231為升,2607榮運,5903全家,2607榮運,5880合庫金,2395研華,1714和桐,,2454聯發科,3189景碩,3682亞太電,1402遠東新,3030德律,1477聚陽,2010春源,2404漢唐,2890永豐金,,
12,"('9911櫻花', 9)",5457宣德,9925新保,9908大台北,2395研華,9908大台北,2395研華,1101台泥,1907永豐餘,,3705永信,5483中美晶,2231為升,2353宏碁,9933中鼎,6279胡連,2014中鴻,1210大成,5483中美晶,,
13,"('6488環球晶', 8)",2912統一超,1707葡萄王,3014聯陽,3552同致,3014聯陽,1101台泥,2801彰銀,1909榮成,,8069元太,2524京城,5876上海商銀,2540愛山林,1301台塑,8086宏捷科,2023燁輝,9917中保科,2383台光電,,
14,"('2520冠德', 8)",3563牧德,2912統一超,6121新普,4904遠傳,6121新普,2885元大金,4938和碩,2010春源,,4919新唐,6488環球晶,4414如興,2393億光,2912統一超,3293鈊象,2031新光鋼,2889國票金,5522遠雄,,
15,"('8917欣泰', 8)",2059川湖,3563牧德,3380明泰,6279胡連,2337旺宏,2801彰銀,2633台灣高鐵,2023燁輝,,1560中砂,5508永信建,1477聚陽,1305華夏,1503士電,,2103台橡,2903遠百,2812台中銀,,
16,"('4536拓凱', 8)",9910豐泰,2059川湖,2337旺宏,5274信驊,5871中租-KY,5876上海商銀,9910豐泰,2317鴻海,,3037欣興,6576逸達,9910豐泰,2352佳世達,2354鴻準,,2303聯電,2108南帝,2404漢唐,,
17,"('6643M31', 8)",3596智易,1903士紙,6269台郡,9937全國,1537廣隆,2633台灣高鐵,2345智邦,2332友訊,,,3533嘉澤,3596智易,5530龍巖,9937全國,,2337旺宏,6005群益證,9917中保科,,
18,"('3023信邦', 8)",4736泰博,3022威強電,2884玉山金,3443創意,3680家登,9910豐泰,2474可成,2352佳世達,,,1560中砂,3530晶相光,2723美食-KY,8150南茂,,2353宏碁,3005神基,2845遠東銀,,
19,"('6409旭隼', 8)",5388中磊,4736泰博,1227佳格,6472保瑞,5289宜鼎,2345智邦,1102亞泥,2355敬鵬,,,6561是方,3022威強電,2049上銀,9911櫻花,,2355敬鵬,2451創見,2889國票金,,
20,"('8070長華*', 8)",3218大學光,3035智原,2328廣宇,6244茂迪,2637慧洋-KY,2474可成,2105正新,2357華碩,,,3037欣興,6462神盾,4157太景*-KY,3023信邦,,2356英業達,6412群電,2903遠百,,
21,"('3443創意', 8)",5287數字,6462神盾,5871中租-KY,6643M31,8436大江,1402遠東新,2883開發金,2392正崴,,,,5522遠雄,5347世界,6411晶焱,,2393億光,3376新日興,8341日友,,
22,"('8422可寧衛', 8)",2458義隆,5522遠雄,2362藍天,8917欣泰,2231為升,2105正新,3037欣興,2393億光,,,,6153嘉聯益,6561是方,2108南帝,,2449京元電子,8341日友,8436大江,,
23,"('1216統一', 8)",8454富邦媒,3218大學光,3260威剛,1795美時,9925新保,6669緯穎,6669緯穎,2478大毅,,,,2308台達電,3260威剛,8415大國鋼,,2455全新,6561是方,2501國建,,
24,"('3293鈊象', 8)",2308台達電,5287數字,1714和桐,4576大銀微系統,1707葡萄王,4958臻鼎-KY,2301光寶科,2501國建,,,,9907統一實,3228金麗科,8464億豐,,2504國產,2855統一證,1789神隆,,
25,"('8069元太', 8)",1476儒鴻,2458義隆,3680家登,1614三洋電,5457宣德,5483中美晶,5483中美晶,2511太子,,,,1476儒鴻,2408南亞科,9904寶成,,2520冠德,6214精誠,2014中鴻,,
26,"('3376新日興', 8)",3529力旺,2308台達電,5289宜鼎,2345智邦,8358金居,9921巨大,9921巨大,2515中工,,,,3529力旺,1303南亞,1229聯華,,2534宏盛,2501國建,5434崇越,,
27,"('2539櫻花建', 8)",6706惠特,1476儒鴻,2637慧洋-KY,8086宏捷科,2393億光,9904寶成,8464億豐,2520冠德,,,,1582信錦,2317鴻海,6278台表科,,2606裕民,5306桂盟,9938百和,,
28,"('5274信驊', 8)",5903全家,3529力旺,1532勤美,1590亞德客-KY,3563牧德,6409旭隼,9904寶成,2547日勝生,,,,1215卜蜂,6147頎邦,3374精材,,2809京城銀,1808潤隆,2820華票,,
29,"('8464億豐', 8)",1215卜蜂,6706惠特,2231為升,2633台灣高鐵,4961天鈺,3231緯創,6409旭隼,2809京城銀,,,,5536聖暉,1304台聚,6803崑鼎,,2836高雄銀,9940信義,2897王道銀行,,
30,"('2912統一超', 8)",3105穩懋,5903全家,9925新保,6285啟碁,3042晶技,2356英業達,3231緯創,2820華票,,,,8081致新,3131弘塑,6505台塑化,,2838聯邦銀,2247汎德永業,3413京鼎,,
31,"('6472保瑞', 8)",8081致新,6182合晶,5876上海商銀,3081聯亞,1477聚陽,2227裕日車,2356英業達,2836高雄銀,,,,2478大毅,2885元大金,2823中壽,,2855統一證,2608嘉里大榮,2520冠德,,
32,"('9910豐泰', 8)",3090日電貿,3105穩懋,4532瑞智,3653健策,2059川湖,2834臺企銀,2227裕日車,2838聯邦銀,,,,3090日電貿,9910豐泰,2034允強,,2880華南金,6548長科*,3708上緯投控,,
33,"('9941裕融', 7)",2395研華,8081致新,2605新興,8255朋程,3530晶相光,6121新普,2360致茂,2849安泰銀,,,,2395研華,1477聚陽,2439美律,,2885元大金,9802鈺齊-KY,1444力麗,,
34,"('9904寶成', 7)",6213聯茂,2395研華,1707葡萄王,2227裕日車,3022威強電,2385群光,2834臺企銀,2851中再保,,,,3376新日興,6191精成科,2504國產,,2886兆豐金,2820華票,1309台達化,,
35,"('9938百和', 7)",2330台積電,2330台積電,5457宣德,3045台灣大,4736泰博,5903全家,2610華航,2855統一證,,,,4915致伸,8299群聯,3231緯創,,2888新光金,8070長華*,3705永信,,
36,"('2915潤泰全', 7)",8016矽創,8016矽創,8358金居,3661世芯-KY,3035智原,5904寶雅,2385群光,2867三商壽,,,,1402遠東新,3105穩懋,8406金可-KY,,2897王道銀行,2103台橡,1726永記,,
37,"('5347世界', 7)",4915致伸,8404百和興業-KY,2912統一超,1711永光,5522遠雄,1504東元,2618長榮航,2887台新金,,,,1110東泥,8046南電,3014聯陽,,3006晶豪科,1215卜蜂,1537廣隆,,
38,"('6582申豐', 7)",2850新產,6223旺矽,2393億光,8908欣雄,3218大學光,6176瑞儀,2371大同,2889國票金,,,,8404百和興業-KY,3711日月光投控,1582信錦,,3008大立光,2905三商,2836高雄銀,,
39,"('9925新保', 7)",3078僑威,1419新紡,3563牧德,3016嘉晶,5287數字,2313華通,5903全家,2891中信金,,,,2511太子,2542興富發,1104環泥,,3014聯陽,2511太子,,,
40,"('6285啟碁', 7)",6223旺矽,4904遠傳,4961天鈺,3023信邦,1229聯華,3532台勝科,5274信驊,2897王道銀行,,,,2838聯邦銀,2395研華,2392正崴,,3019亞光,8422可寧衛,,,
41,"('2345智邦', 7)",5469瀚宇博,6279胡連,3042晶技,3707漢磊,2458義隆,3023信邦,5904寶雅,2903遠百,,,,3211順達,1717長興,3708上緯投控,,3042晶技,1710東聯,,,
42,"('8482商億-KY', 7)",3211順達,4966譜瑞-KY,2059川湖,2412中華電,2308台達電,3374精材,1504東元,2905三商,,,,4904遠傳,3481群創,4919新唐,,3231緯創,9939宏全,,,
43,"('3653健策', 7)",4904遠傳,5274信驊,9910豐泰,2105正新,1476儒鴻,3529力旺,6176瑞儀,3049和鑫,,,,6279胡連,6239力成,2727王品,,3702大聯大,8131福懋科,,,
44,"('9940信義', 7)",6279胡連,2707晶華,3596智易,1536和大,3529力旺,3443創意,2313華通,3231緯創,,,,2404漢唐,8131福懋科,3682亞太電,,4736泰博,6582申豐,,,
45,"('1590亞德客-KY', 7)",4927泰鼎-KY,2340光磊,3530晶相光,1216統一,6706惠特,6592和潤企業,8069元太,3376新日興,,,,4966譜瑞-KY,1326台化,2344華邦電,,4904遠傳,6504南六,,,
46,"('8341日友', 7)",2404漢唐,4105東洋,3022威強電,8069元太,5536聖暉,2201裕隆,3532台勝科,3450聯鈞,,,,4935茂林-KY,4536拓凱,2031新光鋼,,4906正文,1218泰山,,,
47,"('2449京元電子', 7)",4966譜瑞-KY,4107邦特,4736泰博,5904寶雅,6182合晶,2404漢唐,3529力旺,4306炎洲,,,,4105東洋,2441超豐,8404百和興業-KY,,5306桂盟,1515力山,,,
48,"('2903遠百', 7)",5274信驊,2545皇翔,3035智原,6533晶心科,3105穩懋,9917中保科,3443創意,4532瑞智,,,,6504南六,4904遠傳,1907永豐餘,,6147頎邦,2851中再保,,,
49,"('5425台半', 7)",2707晶華,2727王品,5388中磊,2634漢翔,6592和潤企業,3682亞太電,6592和潤企業,4938和碩,,,,2727王品,2615萬海,2330台積電,,6257矽格,2545皇翔,,,
50,"('3661世芯-KY', 7)",6278台表科,2428興勤,5522遠雄,4906正文,1102亞泥,3661世芯-KY,2201裕隆,5820日盛金,,,,2010春源,3293鈊象,2836高雄銀,,6285啟碁,2031新光鋼,,,
51,"('5306桂盟', 7)",4105東洋,6510精測,3218大學光,1210大成,8081致新,2845遠東銀,2404漢唐,5876上海商銀,,,,2006東和鋼鐵,2207和泰車,2886兆豐金,,8070長華*,1532勤美,,,
52,"('3705永信', 7)",4107邦特,6166凌華,5287數字,6409旭隼,2478大毅,2101南港,9917中保科,6005群益證,,,,9930中聯資源,1308亞聚,2104國際中橡,,8081致新,2478大毅,,,
53,"('6176瑞儀', 7)",3044健鼎,2913農林,1229聯華,6589台康生技,3090日電貿,2903遠百,2915潤泰全,6548長科*,,,,2890永豐金,9939宏全,1101台泥,,8112至上,9911櫻花,,,
54,"('2317鴻海', 7)",2385群光,9938百和,2458義隆,6561是方,2395研華,9941裕融,3682亞太電,6582申豐,,,,2206三陽工業,6491晶碩,2014中鴻,,8131福懋科,1537廣隆,,,
55,"('8255朋程', 7)",2428興勤,3443創意,8454富邦媒,1218泰山,3376新日興,3665貿聯-KY,2845遠東銀,8039台虹,,,,2913農林,2474可成,6456GIS-KY,,9904寶成,8039台虹,,,
56,"('9937全國', 7)",9930中聯資源,9941裕融,2308台達電,1789神隆,2330台積電,3036文曄,2101南港,8070長華*,,,,9937全國,3037欣興,5306桂盟,,,2836高雄銀,,,
57,"('2227裕日車', 7)",6456GIS-KY,6472保瑞,9907統一實,,8016矽創,4123晟德,2903遠百,8213志超,,,,3576聯合再生,2010春源,2501國建,,,1201味全,,,
58,"('1476儒鴻', 7)",2206三陽工業,6582申豐,1476儒鴻,,3078僑威,2106建大,9941裕融,9904寶成,,,,2357華碩,2915潤泰全,6582申豐,,,1582信錦,,,
59,"('2330台積電', 7)",9937全國,4137麗豐-KY,3059華晶科,,9945潤泰新,2439美律,3665貿聯-KY,,,,,6244茂迪,3045台灣大,1312國喬,,,2547日勝生,,,
60,"('4736泰博', 7)",9938百和,5347世界,3529力旺,,8404百和興業-KY,6285啟碁,4123晟德,,,,,6491晶碩,,4966譜瑞-KY,,,1714和桐,,,
61,"('1537廣隆', 7)",3443創意,6579研揚,1582信錦,,6223旺矽,2504國產,2439美律,,,,,3413京鼎,,2059川湖,,,4532瑞智,,,
62,"('3218大學光', 7)",9941裕融,2108南帝,6706惠特,,6531愛普,3005神基,6285啟碁,,,,,2836高雄銀,,3005神基,,,3450聯鈞,,,
63,"('5287數字', 7)",6472保瑞,5425台半,5903全家,,2375凱美,2206三陽工業,3005神基,,,,,2102泰豐,,2547日勝生,,,1310台苯,,,
64,"('2474可成', 7)",1717長興,5269祥碩,1215卜蜂,,1419新紡,2204中華,2368金像電,,,,,5425台半,,2606裕民,,,1604聲寶,,,
65,"('2547日勝生', 7)",6582申豐,4157太景*-KY,6182合晶,,6188廣明,6412群電,2206三陽工業,,,,,9921巨大,,2707晶華,,,9943好樂迪,,,
66,"('6277宏正', 7)",4137麗豐-KY,1565精華,3105穩懋,,5469瀚宇博,1536和大,2204中華,,,,,5269祥碩,,6121新普,,,2010春源,,,
67,"('3037欣興', 7)",5347世界,6643M31,1102亞泥,,6756威鋒電子,6446藥華藥,6412群電,,,,,2834臺企銀,,6531愛普,,,4306炎洲,,,
68,"('5903全家', 7)",8131福懋科,3152璟德,8081致新,,3211順達,1503士電,2634漢翔,,,,,3152璟德,,2379瑞昱,,,2535達欣工,,,
69,"('2412中華電', 7)",2441超豐,1795美時,2478大毅,,4904遠傳,3376新日興,6446藥華藥,,,,,8917欣泰,,4438廣越,,,,,,
70,"('2303聯電', 7)",2108南帝,5306桂盟,3090日電貿,,6279胡連,3081聯亞,3376新日興,,,,,2474可成,,1711永光,,,,,,
71,"('8081致新', 7)",5425台半,4576大銀微系統,2395研華,,2404漢唐,1513中興電,3081聯亞,,,,,1722台肥,,2890永豐金,,,,,,
72,"('1795美時', 7)",9921巨大,9943好樂迪,6213聯茂,,2027大成鋼,2392正崴,6510精測,,,,,3010華立,,3703欣陸,,,,,,
73,"('2010春源', 7)",5269祥碩,1598岱宇,3376新日興,,4966譜瑞-KY,2104國際中橡,2392正崴,,,,,8299群聯,,8482商億-KY,,,,,,
74,"('5904寶雅', 7)",2383台光電,2520冠德,2330台積電,,5274信驊,3017奇鋐,2548華固,,,,,1907永豐餘,,3705永信,,,,,,
75,"('3022威強電', 7)",1565精華,9917中保科,8016矽創,,2707晶華,2231為升,4142國光生,,,,,9914美利達,,8213志超,,,,,,
76,"('1582信錦', 7)",6643M31,1702南僑,4915致伸,,2340光磊,6214精誠,3017奇鋐,,,,,9939宏全,,1726永記,,,,,,
77,"('4107邦特', 7)",3152璟德,3228金麗科,1402遠東新,,4105東洋,6414樺漢,6414樺漢,,,,,6547高端疫苗,,2534宏盛,,,,,,
78,"('2836高雄銀', 7)",8917欣泰,2449京元電子,2850新產,,2303聯電,2501國建,6146耕興,,,,,2367燿華,,8044網家,,,,,,
79,"('2231為升', 7)",6412群電,3131弘塑,3078僑威,,4107邦特,1789神隆,5534長虹,,,,,5534長虹,,2634漢翔,,,,,,
80,"('6669緯穎', 7)",6803崑鼎,2915潤泰全,9945潤泰新,,2545皇翔,1319東陽,8926台汽電,,,,,6191精成科,,3036文曄,,,,,,
81,"('4105東洋', 7)",3010華立,5531鄉林,3708上緯投控,,3044健鼎,4147中裕,2501國建,,,,,1503士電,,3545敦泰,,,,,,
82,"('6548長科*', 7)",8299群聯,5471松翰,8404百和興業-KY,,2006東和鋼鐵,4915致伸,1789神隆,,,,,9943好樂迪,,4935茂林-KY,,,,,,
83,"('2707晶華', 7)",9914美利達,8464億豐,6223旺矽,,8046南電,2607榮運,5530龍巖,,,,,1598岱宇,,1402遠東新,,,,,,
84,"('3711日月光投控', 6)",5306桂盟,5530龍巖,2511太子,,3034聯詠,2373震旦行,5434崇越,,,,,9933中鼎,,2353宏碁,,,,,,
85,"('2501國建', 6)",6670復盛應用,8086宏捷科,3673TPK-KY,,2428興勤,9802鈺齊-KY,6182合晶,,,,,2608嘉里大榮,,3034聯詠,,,,,,
86,"('3045台灣大', 6)",8150南茂,8341日友,2375凱美,,6510精測,6153嘉聯益,4915致伸,,,,,8942森鉅,,2332友訊,,,,,,
87,"('4958臻鼎-KY', 6)",2520冠德,1590亞德客-KY,1904正隆,,9938百和,1795美時,6196帆宣,,,,,6196帆宣,,9925新保,,,,,,
88,"('3680家登', 6)",3324雙鴻,5478智冠,1419新紡,,3443創意,3596智易,1232大統益,,,,,1614三洋電,,2308台達電,,,,,,
89,"('5522遠雄', 6)",9917中保科,2454聯發科,6188廣明,,9941裕融,5388中磊,2607榮運,,,,,1702南僑,,3596智易,,,,,,
90,"('2478大毅', 6)",2345智邦,2401凌陽,5469瀚宇博,,6472保瑞,4766南寶,2373震旦行,,,,,1309台達化,,2511太子,,,,,,
91,"('2373震旦行', 6)",2449京元電子,4123晟德,3211順達,,6491晶碩,3673TPK-KY,6547高端疫苗,,,,,2355敬鵬,,6409旭隼,,,,,,
92,"('1702南僑', 6)",3131弘塑,1201味全,2892第一金,,6582申豐,3264欣銓,9802鈺齊-KY,,,,,3131弘塑,,2540愛山林,,,,,,
93,"('6504南六', 6)",5471松翰,2903遠百,4904遠傳,,4137麗豐-KY,2905三商,6492生華科,,,,,1444力麗,,2409友達,,,,,,
94,"('1604聲寶', 6)",8464億豐,1736喬山,6279胡連,,3413京鼎,2332友訊,6153嘉聯益,,,,,2915潤泰全,,2451創見,,,,,,
95,"('6414樺漢', 6)",8341日友,4968立積,4927泰鼎-KY,,5347世界,9908大台北,3680家登,,,,,5531鄉林,,2393億光,,,,,,
96,"('2633台灣高鐵', 6)",1590亞德客-KY,5483中美晶,2404漢唐,,8131福懋科,8422可寧衛,3596智易,,,,,5471松翰,,1256鮮活果汁-KY,,,,,,
97,"('5530龍巖', 6)",2548華固,3293鈊象,4966譜瑞-KY,,2441超豐,2312金寶,5388中磊,,,,,2338光罩,,3044健鼎,,,,,,
98,"('2327國巨', 6)",2352佳世達,9911櫻花,5274信驊,,2108南帝,3380明泰,3324雙鴻,,,,,8464億豐,,1707葡萄王,,,,,,
99,"('1402遠東新', 6)",2207和泰車,3081聯亞,4935茂林-KY,,5425台半,2707晶華,3673TPK-KY,,,,,1590亞德客-KY,,2820華票,,,,,,
100,"('3231緯創', 6)",2597潤弘,3653健策,2707晶華,,5269祥碩,3413京鼎,2905三商,,,,,4766南寶,,1305華夏,,,,,,
101,"('2439美律', 6)",5483中美晶,8482商億-KY,2881富邦金,,2383台光電,3703欣陸,3218大學光,,,,,2451創見,,3576聯合再生,,,,,,
102,"('1614三洋電', 6)",2382廣達,8255朋程,2340光磊,,1565精華,2539櫻花建,2511太子,,,,,2633台灣高鐵,,2845遠東銀,,,,,,
103,"('2379瑞昱', 6)",3293鈊象,6411晶焱,6278台表科,,6643M31,4736泰博,6443元晶,,,,,2352佳世達,,2352佳世達,,,,,,
104,"('3035智原', 6)",9911櫻花,6446藥華藥,4105東洋,,3152璟德,8131福懋科,2332友訊,,,,,2106建大,,2345智邦,,,,,,
105,"('3533嘉澤', 6)",3653健策,2542興富發,2303聯電,,8917欣泰,3704合勤控,9908大台北,,,,,3017奇鋐,,2303聯電,,,,,,
106,"('9943好樂迪', 6)",8482商億-KY,2534宏盛,4107邦特,,2474可成,9937全國,8422可寧衛,,,,,3374精材,,2201裕隆,,,,,,
107,"('3005神基', 6)",8112至上,9940信義,2353宏碁,,1795美時,4137麗豐-KY,2312金寶,,,,,1201味全,,2360致茂,,,,,,
108,"('2511太子', 6)",2227裕日車,2373震旦行,2545皇翔,,2603長榮,5457宣德,3380明泰,,,,,2392正崴,,5530龍巖,,,,,,
109,"('4506崇友', 6)",6411晶焱,8415大國鋼,6504南六,,6803崑鼎,3552同致,2707晶華,,,,,1736喬山,,2597潤弘,,,,,,
110,"('5508永信建', 6)",3045台灣大,3661世芯-KY,3044健鼎,,1722台肥,1598岱宇,3413京鼎,,,,,6285啟碁,,2328廣宇,,,,,,
111,"('2458義隆', 6)",2377微星,3705永信,2010春源,,8299群聯,1104環泥,4105東洋,,,,,2597潤弘,,2428興勤,,,,,,
112,"('4966譜瑞-KY', 6)",8210勤誠,1234黑松,2006東和鋼鐵,,3006晶豪科,6023元大期,3703欣陸,,,,,6230超眾,,4506崇友,,,,,,
113,"('9939宏全', 6)",9940信義,2539櫻花建,8046南電,,9914美利達,6803崑鼎,9939宏全,,,,,4968立積,,1201味全,,,,,,
114,"('3211順達', 6)",3312弘憶股,2524京城,2385群光,,9939宏全,4935茂林-KY,2539櫻花建,,,,,2409友達,,2801彰銀,,,,,,
115,"('2607榮運', 6)",1785光洋科,2327國巨,2428興勤,,5306桂盟,1103嘉泥,8131福懋科,,,,,2382廣達,,5457宣德,,,,,,
116,"('6223旺矽', 6)",2373震旦行,6180橘子,9930中聯資源,,5534長虹,9925新保,3704合勤控,,,,,2101南港,,1232大統益,,,,,,
117,"('3413京鼎', 6)",4958臻鼎-KY,2388威盛,2883開發金,,6191精成科,2331精英,9937全國,,,,,3293鈊象,,2382廣達,,,,,,
118,"('4915致伸', 6)",3661世芯-KY,6415矽力-KY,6456GIS-KY,,4576大銀微系統,4536拓凱,5457宣德,,,,,2317鴻海,,1515力山,,,,,,
119,"('2524京城', 6)",6414樺漢,3023信邦,2812台中銀,,6670復盛應用,3708上緯投控,3552同致,,,,,9911櫻花,,6510精測,,,,,,
120,"('8039台虹', 6)",3705永信,2379瑞昱,2890永豐金,,3264欣銓,2367燿華,1104環泥,,,,,3653健策,,5434崇越,,,,,,
121,"('3105穩懋', 6)",8908欣雄,3030德律,6510精測,,8150南茂,6451訊芯-KY,6282康舒,,,,,8482商億-KY,,2883開發金,,,,,,
122,"('1218泰山', 6)",8070長華*,2412中華電,4438廣越,,2608嘉里大榮,6504南六,6803崑鼎,,,,,8255朋程,,2535達欣工,,,,,,
123,"('3596智易', 6)",6176瑞儀,2547日勝生,6166凌華,,8942森鉅,1702南僑,9925新保,,,,,2880華南金,,3661世芯-KY,,,,,,
124,"('8404百和興業-KY', 6)",2015豐興,2408南亞科,2206三陽工業,,2520冠德,2421建準,6166凌華,,,,,2227裕日車,,9907統一實,,,,,,
125,"('2059川湖', 6)",2327國巨,6488環球晶,9937全國,,9917中保科,3691碩禾,2331精英,,,,,1319東陽,,4766南寶,,,,,,
126,"('2408南亞科', 6)",6180橘子,3227原相,9938百和,,3228金麗科,2387精元,4536拓凱,,,,,1513中興電,,3189景碩,,,,,,
127,"('5457宣德', 6)",6415矽力-KY,1216統一,3443創意,,2449京元電子,1905華紙,3708上緯投控,,,,,6446藥華藥,,2340光磊,,,,,,
