,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2022-03-31),連續三年毛利率大於25%且近四季毛利率也大於25%(2022-03-31),連續三年EPS均大於0且近一季EPS也大於0(2022-03-31),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2022-03-31),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2022-03-31),近6月累積營收年增率連2個月增加(2022-05-10),近12月累積營收年增率連2個月增加(2022-05-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2022-03-31),ROE連續三季成長，且近一季ROE>10%(2022-03-31),毛利率連續三季成長，且近一季毛利率>25%(2022-03-31),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('8341日友', 10)",3596智易,2454聯發科,2454聯發科,3443創意,2454聯發科,2330台積電,2330台積電,2317鴻海,3552同致,2454聯發科,2454聯發科,3630新鉅科,3533嘉澤,2454聯發科,3035智原,1201味全,2395研華,3105穩懋,,
1,"('5425台半', 10)",3443創意,3443創意,1504東元,6533晶心科,8942森鉅,2308台達電,6505台塑化,2474可成,6166凌華,9933中鼎,8942森鉅,8942森鉅,3045台灣大,3630新鉅科,2637慧洋-KY,1210大成,2887台新金,8046南電,,
2,"('6643M31', 10)",9940信義,6533晶心科,3596智易,2633台灣高鐵,3443創意,2303聯電,2303聯電,2834臺企銀,2545皇翔,3035智原,2614東森,3596智易,3231緯創,8942森鉅,6582申豐,1218泰山,3665貿聯-KY,3702大聯大,,
3,"('2637慧洋-KY', 10)",8299群聯,9940信義,3443創意,9933中鼎,6533晶心科,2881富邦金,2891中信金,2845遠東銀,3680家登,6510精測,1560中砂,9940信義,1560中砂,1504東元,,1304台聚,6446藥華藥,3406玉晶光,,
4,"('6488環球晶', 10)",5289宜鼎,5287數字,6533晶心科,3035智原,9940信義,1216統一,2884玉山金,2882國泰金,1736喬山,2610華航,2610華航,5287數字,2610華航,3596智易,,1308亞聚,6146耕興,1229聯華,,
5,"('2605新興', 9)",6239力成,3035智原,9940信義,2049上銀,2633台灣高鐵,2891中信金,6488環球晶,3703欣陸,2547日勝生,2015豐興,8046南電,9933中鼎,3008大立光,3443創意,,1310台苯,2428興勤,2027大成鋼,,
6,"('5347世界', 9)",3045台灣大,6510精測,2633台灣高鐵,3533嘉澤,5287數字,2382廣達,2395研華,6605帝寶,2605新興,8046南電,2303聯電,3035智原,4938和碩,6533晶心科,,1718中纖,3703欣陸,6592和潤企業,,
7,"('2395研華', 9)",4551智伸科,5289宜鼎,5287數字,2614東森,8299群聯,6488環球晶,5347世界,,5531鄉林,5388中磊,4128中天,2845遠東銀,2885元大金,9940信義,,1722台肥,5425台半,1314中石化,,
8,"('5274信驊', 9)",6213聯茂,3533嘉澤,9933中鼎,3045台灣大,6510精測,2912統一超,2801彰銀,,2511太子,6196帆宣,5269祥碩,8299群聯,2303聯電,2633台灣高鐵,,1785光洋科,4927泰鼎-KY,2101南港,,
9,"('3035智原', 9)",3014聯陽,2614東森,3035智原,2607榮運,5289宜鼎,2395研華,4938和碩,,9943好樂迪,1605華新,2615萬海,6510精測,2317鴻海,5287數字,,1795美時,6579研揚,6271同欣電,,
