,出現7次,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,2353宏碁,2014中鴻,2454聯發科,3711日月光投控,2317鴻海,2610華航,,1590亞德客-KY,1301台塑,2317鴻海
1,,3218大學光,2409友達,2382廣達,2308台達電,4968立積,,2603長榮,1303南亞,2454聯發科
2,,8163達方,2492華新科,2327國巨,1301台塑,2031新光鋼,,2883開發金,2882國泰金,2412中華電
3,,,2383台光電,2377微星,1303南亞,2009第一銅,,2615萬海,1326台化,2308台達電
4,,,6561是方,8464億豐,3008大立光,4306炎洲,,8299群聯,3008大立光,3711日月光投控
5,,,3010華立,6409旭隼,5880合庫金,,,2609陽明,2002中鋼,2382廣達
6,,,3703欣陸,2609陽明,2880華南金,,,5274信驊,1216統一,5880合庫金
7,,,2481強茂,8069元太,5871中租-KY,,,1504東元,2891中信金,2327國巨
8,,,8358金居,2376技嘉,2603長榮,,,1802台玻,5871中租-KY,2885元大金
9,,,3707漢磊,5820日盛金,2105正新,,,2376技嘉,9910豐泰,5871中租-KY
10,,,3131弘塑,2449京元電子,3481群創,,,2441超豐,1402遠東新,6415矽力-KY
11,,,2727王品,2812台中銀,3037欣興,,,1304台聚,2409友達,3034聯詠
12,,,,6116彩晶,2615萬海,,,9958世紀鋼,2105正新,2379瑞昱
13,,,,2006東和鋼鐵,2344華邦電,,,2103台橡,2823中壽,2357華碩
14,,,,2845遠東銀,2823中壽,,,1702南僑,8464億豐,1590亞德客-KY
15,,,,5264鎧勝-KY,2324仁寶,,,,9904寶成,2603長榮
16,,,,3036文曄,6239力成,,,,4966譜瑞-KY,2409友達
17,,,,2456奇力新,1605華新,,,,6239力成,3481群創
18,,,,8150南茂,5274信驊,,,,2353宏碁,2890永豐金
19,,,,9958世紀鋼,2352佳世達,,,,9945潤泰新,2049上銀
20,,,,4968立積,1504東元,,,,5903全家,1476儒鴻
21,,,,6196帆宣,1802台玻,,,,1722台肥,2492華新科
22,,,,3026禾伸堂,2313華通,,,,1434福懋,2615萬海
23,,,,6230超眾,3023信邦,,,,1477聚陽,2344華邦電
24,,,,2637慧洋-KY,3293鈊象,,,,3682亞太電,2377微星
25,,,,3006晶豪科,3533嘉澤,,,,2006東和鋼鐵,9921巨大
26,,,,6191精成科,6147頎邦,,,,3036文曄,8464億豐
27,,,,8213志超,2458義隆,,,,2606裕民,2324仁寶
28,,,,6173信昌電,2838聯邦銀,,,,3081聯亞,6409旭隼
29,,,,8462柏文,2439美律,,,,6561是方,4743合一
30,,,,2401凌陽,2108南帝,,,,8150南茂,2356英業達
31,,,,8210勤誠,2606裕民,,,,2498宏達電,2354鴻準
32,,,,2417圓剛,1909榮成,,,,2104國際中橡,2353宏碁
33,,,,6284佳邦,1304台聚,,,,2548華固,2360致茂
34,,,,5287數字,8341日友,,,,2014中鴻,3702大聯大
35,,,,,1507永大,,,,2867三商壽,6121新普
36,,,,,2104國際中橡,,,,6196帆宣,2385群光
37,,,,,5306桂盟,,,,3016嘉晶,3044健鼎
38,,,,,1232大統益,,,,3673TPK-KY,2609陽明
39,,,,,6491晶碩,,,,3218大學光,2542興富發
40,,,,,8016矽創,,,,3026禾伸堂,1227佳格
41,,,,,3264欣銓,,,,6230超眾,2352佳世達
42,,,,,4961天鈺,,,,2637慧洋-KY,1802台玻
43,,,,,2393億光,,,,2897王道銀行,2383台光電
44,,,,,4157太景*-KY,,,,1710東聯,2313華通
45,,,,,4935茂林-KY,,,,3703欣陸,8069元太
46,,,,,2913農林,,,,2481強茂,3023信邦
47,,,,,8406金可-KY,,,,3260威剛,3533嘉澤
48,,,,,6504南六,,,,8131福懋科,2376技嘉
49,,,,,2908特力,,,,5007三星,5820日盛金
