,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2021-09-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2021-09-30),連續三年EPS均大於0且近一季EPS也大於0(2021-09-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2021-09-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2021-09-30),近6月累積營收年增率連2個月增加(2021-10-10),近12月累積營收年增率連2個月增加(2021-10-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2021-09-30),ROE連續三季成長，且近一季ROE>10%(2021-09-30),毛利率連續三季成長，且近一季毛利率>25%(2021-09-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2455全新', 10)",9917中保科,9917中保科,9917中保科,1319東陽,9917中保科,6505台塑化,6505台塑化,1234黑松,1319東陽,3481群創,8299群聯,9917中保科,9917中保科,9917中保科,2108南帝,1598岱宇,2409友達,1513中興電,2603長榮,
1,"('5347世界', 10)",5306桂盟,5306桂盟,5306桂盟,5269祥碩,5306桂盟,1301台塑,2412中華電,1315達新,3552同致,2002中鋼,1907永豐餘,4935茂林-KY,4935茂林-KY,5306桂盟,2881富邦金,1609大亞,3481群創,9908大台北,4147中裕,
2,"('3049和鑫', 10)",2313華通,4174浩鼎,4935茂林-KY,3552同致,8039台虹,2303聯電,1301台塑,1444力麗,6177達麗,1303南亞,3481群創,2313華通,6451訊芯-KY,4935茂林-KY,9945潤泰新,1722台肥,5274信驊,4157太景*-KY,4157太景*-KY,
3,"('2383台光電', 9)",2377微星,5269祥碩,2313華通,6271同欣電,2368金像電,1303南亞,2303聯電,1589永冠-KY,8255朋程,1723中碳,1303南亞,2368金像電,8070長華*,2313華通,2498宏達電,1904正隆,2383台光電,3708上緯投控,,
4,"('8016矽創', 9)",5269祥碩,6177達麗,8039台虹,8255朋程,6451訊芯-KY,1326台化,1303南亞,2312金寶,3481群創,2454聯發科,8942森鉅,6451訊芯-KY,5820日盛金,8039台虹,2308台達電,2208台船,5820日盛金,6472保瑞,,
5,"('3152璟德', 9)",8299群聯,1216統一,2368金像電,1536和大,3264欣銓,2002中鋼,1326台化,2323中環,2002中鋼,2375凱美,2454聯發科,3264欣銓,2408南亞科,2368金像電,2458義隆,2317鴻海,6147頎邦,,,
6,"('5425台半', 9)",8070長華*,6472保瑞,6451訊芯-KY,2059川湖,5269祥碩,3045台灣大,2002中鋼,2392正崴,1536和大,9938百和,5471松翰,4174浩鼎,3037欣興,6451訊芯-KY,2481強茂,2323中環,6269台郡,,,
7,"('6488環球晶', 9)",2597潤弘,8255朋程,2377微星,3529力旺,8299群聯,2884玉山金,1216統一,2409友達,2355敬鵬,8046南電,1903士紙,5269祥碩,3005神基,2377微星,,2324仁寶,6116彩晶,,,
8,"('8086宏捷科', 9)",1216統一,4506崇友,1319東陽,3037欣興,6271同欣電,6488環球晶,3711日月光投控,2456奇力新,4157太景*-KY,8150南茂,2511太子,6271同欣電,1789神隆,1319東陽,,2337旺宏,6456GIS-KY,,,
9,"('9938百和', 8)",4915致伸,3529力旺,5269祥碩,3105穩懋,2204中華,2892第一金,3045台灣大,2489瑞軒,2231為升,4961天鈺,8081致新,6177達麗,2454聯發科,3264欣銓,,2347聯強,6278台表科,,,
10,"('1707葡萄王', 8)",9937全國,8406金可-KY,8299群聯,1519華城,1907永豐餘,2408南亞科,2884玉山金,3049和鑫,1903士紙,2027大成鋼,9904寶成,2597潤弘,2548華固,4174浩鼎,,2360致茂,2456奇力新,,,
11,"('3105穩懋', 8)",6472保瑞,2428興勤,6271同欣電,1789神隆,6472保瑞,2880華南金,6488環球晶,3481群創,1909榮成,8016矽創,2327國巨,2010春源,6510精測,5269祥碩,,2383台光電,3081聯亞,,,
12,"('5483中美晶', 8)",4506崇友,2408南亞科,6177達麗,6561是方,4506崇友,5871中租-KY,2892第一金,3673TPK-KY,2104國際中橡,2014中鴻,2603長榮,2489瑞軒,3376新日興,2547日勝生,,2392正崴,9958世紀鋼,,,
13,"('2534宏盛', 8)",3529力旺,3005神基,8070長華*,2912統一超,2059川湖,3034聯詠,2408南亞科,4906正文,1305華夏,2103台橡,2379瑞昱,9937全國,2849安泰銀,8299群聯,,2456奇力新,3019亞光,,,
14,"('5274信驊', 8)",2428興勤,2540愛山林,2597潤弘,2614東森,3529力旺,5347世界,2395研華,4958臻鼎-KY,6244茂迪,8112至上,8046南電,5820日盛金,3533嘉澤,3552同致,,2608嘉里大榮,2455全新,,,
15,"('6182合晶', 8)",3005神基,2492華新科,1310台苯,1723中碳,1303南亞,2801彰銀,2880華南金,5820日盛金,1314中石化,8404百和興業-KY,2609陽明,3703欣陸,6230超眾,6271同欣電,,2823中壽,3673TPK-KY,,,
16,"('9917中保科', 8)",2492華新科,3030德律,1532勤美,8917欣泰,8406金可-KY,2603長榮,3034聯詠,6116彩晶,1710東聯,6582申豐,3034聯詠,1536和大,2340光磊,6177達麗,,2834臺企銀,6443元晶,,,
