,出現六次以上：, 連續三年ROE均大於10%且近四季年化ROE也大於10%(2024-06-30),連續三年毛利率大於25%且近四季毛利率也大於25%(2024-06-30),連續三年EPS均大於0且近一季EPS也大於0(2024-06-30),近四季EPS逐季均為正值，近四季EPS總和 x 20=當日股價收盤價(2024-06-30),連續三年稅前淨利率大於10%且近一季稅前淨利率也大於10%(2024-06-30),近6月累積營收年增率連2個月增加(2024-07-10),近12月累積營收年增率連2個月增加(2024-07-10),股價低於淨值且當日成交量較5個交易日平均成交量成長50%以上(2021-03-31),近一季稅前淨利較上季轉虧為盈或近一季稅前淨利較去年同期轉虧為盈，且對應季別營收成長30%以上(2024-06-30),ROE連續三季成長，且近一季ROE>10%(2024-06-30),毛利率連續三季成長，且近一季毛利率>25%(2024-06-30),大股東持股比率 6個月(24週) 以來增加 5% 以上或大股東持股比率 連續3個月 上升,外資連續買超5個交易日以上或投信連續買超5個交易日以上,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比>=25%,近20交易日盤整（20%）且今日資減券增,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9日K.D 黃金交叉，K或D值在20以下且9週K.D 黃金交叉，K或D值在20以下,近120個交易日最高股價收盤價高於最低股價收盤價30%以上，且目前股價低於該最高股價之10%，且出現下長T線，或十字線之周K線,過去三個月盤整且今日跳空
0,"('2379瑞昱', 9)",8454富邦媒,2308台達電,3090日電貿,2308台達電,2923鼎固-KY,2330台積電,2330台積電,1101台泥,6180橘子,6669緯穎,2923鼎固-KY,,,,,,,,,
1,"('3533嘉澤', 8)",2360致茂,2923鼎固-KY,2308台達電,8454富邦媒,2360致茂,2454聯發科,2317鴻海,1102亞泥,8086宏捷科,2379瑞昱,3704合勤控,,,,,,,,,
2,"('2454聯發科', 8)",6176瑞儀,2360致茂,8454富邦媒,2360致茂,2539櫻花建,6505台塑化,2454聯發科,1234黑松,1515力山,2454聯發科,1307三芳,,,,,,,,,
3,"('5347世界', 7)",2395研華,2539櫻花建,5876上海商銀,1419新紡,9911櫻花,2308台達電,6505台塑化,1304台聚,3691碩禾,5904寶雅,9958世紀鋼,,,,,,,,,
4,"('3293鈊象', 7)",6409旭隼,6576逸達,2923鼎固-KY,6443元晶,9940信義,1301台塑,1301台塑,1308亞聚,6446藥華藥,8299群聯,3260威剛,,,,,,,,,
5,"('6409旭隼', 7)",2345智邦,9911櫻花,2360致茂,5903全家,1419新紡,2303聯電,2303聯電,1313聯成,4968立積,,1582信錦,,,,,,,,,
6,"('1476儒鴻', 7)",1590亞德客-KY,1419新紡,2539櫻花建,3312弘憶股,6146耕興,1303南亞,1303南亞,1326台化,2545皇翔,,5522遠雄,,,,,,,,,
7,"('5274信驊', 7)",6488環球晶,5903全家,9911櫻花,2395研華,6176瑞儀,1326台化,1326台化,1402遠東新,1532勤美,,1590亞德客-KY,,,,,,,,,
8,"('8069元太', 7)",5274信驊,6146耕興,2634漢翔,6732昇佳電子,2395研華,2002中鋼,2881富邦金,1434福懋,3228金麗科,,2504國產,,,,,,,,,
9,"('2330台積電', 7)",2313華通,2395研華,9940信義,5306桂盟,6732昇佳電子,3711日月光投控,3008大立光,1714和桐,2609陽明,,2511太子,,,,,,,,,
10,"('2383台光電', 7)",2303聯電,6732昇佳電子,2357華碩,3706神達,6803崑鼎,3045台灣大,2002中鋼,1718中纖,1314中石化,,2379瑞昱,,,,,,,,,
11,"('2360致茂', 6)",8069元太,5306桂盟,2834臺企銀,1101台泥,5306桂盟,2884玉山金,1216統一,1907永豐餘,2637慧洋-KY,,4968立積,,,,,,,,,
12,"('4904遠傳', 6)",3034聯詠,6462神盾,1419新紡,3532台勝科,2603長榮,2382廣達,3711日月光投控,1909榮成,3105穩懋,,3533嘉澤,,,,,,,,,
13,"('3035智原', 6)",8464億豐,8404百和興業-KY,6443元晶,8255朋程,1101台泥,2408南亞科,3045台灣大,2511太子,8039台虹,,1532勤美,,,,,,,,,
14,"('8299群聯', 6)",6669緯穎,2344華邦電,5903全家,9933中鼎,3532台勝科,2327國巨,2382廣達,2820華票,,,1736喬山,,,,,,,,,
15,"('3374精材', 6)",2379瑞昱,1234黑松,3312弘憶股,1503士電,3406玉晶光,1101台泥,2408南亞科,2923鼎固-KY,,,1319東陽,,,,,,,,,
16,"('1101台泥', 6)",2383台光電,3406玉晶光,6146耕興,8462柏文,3218大學光,6415矽力-KY,2327國巨,5469瀚宇博,,,9943好樂迪,,,,,,,,,
17,"('1773勝一', 6)",2385群光,2201裕隆,6176瑞儀,2887台新金,8255朋程,2379瑞昱,1101台泥,9904寶成,,,5534長虹,,,,,,,,,
18,"('5306桂盟', 6)",2454聯發科,3218大學光,2395研華,2351順德,2915潤泰全,4904遠傳,6415矽力-KY,,,,3152璟德,,,,,,,,,
19,"('2059川湖', 6)",3533嘉澤,2915潤泰全,6732昇佳電子,6751智聯服務,6464台數科,5347世界,2379瑞昱,,,,6191精成科,,,,,,,,,
20,"('1560中砂', 6)",5904寶雅,6180橘子,6803崑鼎,5880合庫金,9914美利達,2357華碩,4904遠傳,,,,6547高端疫苗,,,,,,,,,
21,"('3653健策', 6)",1476儒鴻,6464台數科,6005群益證,8086宏捷科,2458義隆,2801彰銀,5347世界,,,,6531愛普,,,,,,,,,
22,"('5289宜鼎', 6)",3293鈊象,2458義隆,5306桂盟,4506崇友,2301光寶科,5876上海商銀,2357華碩,,,,6510精測,,,,,,,,,
23,"('5534長虹', 6)",5269祥碩,4107邦特,2375凱美,2377微星,4107邦特,9910豐泰,4938和碩,,,,,,,,,,,,,
