,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且券資比≥25%,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,投信連續買超5個交易日以上,大股東持股比率連續3個月上升,近12月累積營收年增率連2個月增加
0,5820日盛金,2912統一超,2454聯發科,2317鴻海,,8464億豐,6505台塑化,1301台塑,2317鴻海
1,3703欣陸,2353宏碁,1303南亞,2886兆豐金,,8081致新,1303南亞,1303南亞,2454聯發科
2,2727王品,2383台光電,3008大立光,2002中鋼,,,2881富邦金,2882國泰金,2412中華電
3,,2006東和鋼鐵,2382廣達,1216統一,,,2891中信金,1326台化,2308台達電
4,,9940信義,2344華邦電,5880合庫金,,,2207和泰車,3008大立光,1303南亞
5,,6196帆宣,2823中壽,2327國巨,,,2382廣達,2886兆豐金,1216統一
6,,3218大學光,1504東元,5871中租-KY,,,2912統一超,2002中鋼,2912統一超
7,,8358金居,3533嘉澤,2379瑞昱,,,2395研華,1216統一,2327國巨
8,,3707漢磊,6147頎邦,4904遠傳,,,1101台泥,2891中信金,2885元大金
9,,3131弘塑,1907永豐餘,2345智邦,,,5871中租-KY,2912統一超,5871中租-KY
10,,5287數字,2812台中銀,3481群創,,,6415矽力-KY,4904遠傳,3034聯詠
11,,,2201裕隆,1476儒鴻,,,4904遠傳,5876上海商銀,2379瑞昱
12,,,9917中保科,2492華新科,,,2345智邦,2345智邦,2357華碩
13,,,2845遠東銀,8464億豐,,,1402遠東新,1402遠東新,2603長榮
14,,,5264鎧勝-KY,4966譜瑞-KY,,,1102亞泥,2888新光金,2409友達
15,,,1909榮成,2347聯強,,,1476儒鴻,2344華邦電,3481群創
16,,,2392正崴,2834臺企銀,,,2347聯強,2823中壽,6669緯穎
17,,,2104國際中橡,3406玉晶光,,,2360致茂,5483中美晶,2049上銀
18,,,2855統一證,3044健鼎,,,2385群光,9904寶成,1476儒鴻
19,,,6146耕興,5274信驊,,,2542興富發,4966譜瑞-KY,2492華新科
20,,,8016矽創,5904寶雅,,,5274信驊,2353宏碁,2615萬海
21,,,2103台橡,2352佳世達,,,1504東元,3702大聯大,2344華邦電
22,,,3264欣銓,3023信邦,,,1434福懋,3406玉晶光,2377微星
23,,,2481強茂,3293鈊象,,,3533嘉澤,5903全家,2823中壽
24,,,4919新唐,2376技嘉,,,2915潤泰全,2352佳世達,9921巨大
25,,,6191精成科,1717長興,,,2845遠東銀,6176瑞儀,8464億豐
26,,,3035智原,2449京元電子,,,2849安泰銀,1229聯華,4966譜瑞-KY
27,,,8163達方,2458義隆,,,6005群益證,1722台肥,2347聯強
28,,,2401凌陽,1210大成,,,3005神基,1434福懋,2353宏碁
29,,,1604聲寶,3189景碩,,,2451創見,3532台勝科,9914美利達
30,,,1614三洋電,3706神達,,,2204中華,3023信邦,6121新普
31,,,6284佳邦,2903遠百,,,2855統一證,3533嘉澤,3044健鼎
32,,,,2439美律,,,9938百和,1907永豐餘,9945潤泰新
33,,,,2059川湖,,,2867三商壽,1314中石化,2609陽明
34,,,,2504國產,,,6491晶碩,2006東和鋼鐵,5904寶雅
35,,,,2634漢翔,,,2820華票,3189景碩,2352佳世達
36,,,,3227原相,,,2897王道銀行,3036文曄,1802台玻
37,,,,6561是方,,,4919新唐,2606裕民,2383台光電
38,,,,8150南茂,,,,2059川湖,3023信邦
39,,,,9958世紀鋼,,,,2504國產,2376技嘉
40,,,,6214精誠,,,,2634漢翔,5820日盛金
